"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.601388888888889,60,0.527247002864868,-3.66167082276908,0.00680647390263544,0.0264070716824052
"2210408F21Rik",0.38855421686747,83,-0.616671360448494,-0.639654561258396,0.25802753178747,0.750801915802637
"2610035D17Rik",0.976190476190476,42,5.83289001416474,0,1,1
"2610307P16Rik",0.388888888888889,27,-0.807354922057604,-8.59714023362243,3.37450804703424e-05,0.000159260318805153
"3110082I17Rik",0.49685534591195,53,-0.129283016944966,0.918399994072523,1,1
"4632427E13Rik",0.452380952380952,70,-0.0703893278913981,1.47202561322734,1,1
"4732440D04Rik",0.203125,64,-2.15919859484925,-3.26566901772192,0.0105990197545173,0.0405118088394883
"4732471J01Rik",0.634408602150538,93,0.758991900496205,1.00387547370146,1,1
"4933406I18Rik",0.432831325301205,166,-0.347923303420307,1.10652856928021,1,1
"5031425E22Rik",0.60974358974359,130,0.750021746991652,1.53349985419447,1,1
"5033421B08Rik",0.507575757575758,66,0.0721497857558351,1.12557906865496,1,1
"9530026P05Rik",0.524702380952381,48,-0.145850866463455,-54.8956952572559,1.08865186992287e-25,3.58560232902257e-24
"AW554918",0.48952380952381,70,0.0874628412503395,-11.937550901706,1.0279269030979e-06,5.66274322418345e-06
"Aak1",0.396713615023474,71,-0.406625259462643,-1.93787635786013,0.0489883384852675,0.171959065703388
"Abca1",0.502294447190641,289,0.134509935811679,6.67074595426777,1,1
"Abca8a",0.568025493025493,18,0,-48.241986498271,8.99691884925054e-23,2.32120506310664e-21
"Abca9",0.542272727272727,220,0.186654640100013,52.1950416847943,1,1
"Abcc1",0.601449275362319,92,0.481126689736616,1.27128161495816,1,1
"Abcc3",0.5,57,-0.169925001442312,1.21670972619999,1,1
"Abhd12",0.508771929824561,76,-0.0857298740258843,-0.385617944330207,0.379834991636359,1
"Abi1",0.517202181876095,184,0.313660478903762,-7.57622160530698,9.91699019240427e-05,0.000451514729936524
"Abl2",0.538617886178862,82,0.132450296023649,-0.49166666361856,0.321377244628989,0.89962382402473
"Ablim1",0.461022050865801,64,0.15200309344505,-107.935868206991,7.19285281065189e-49,5.56726807544456e-46
"Ablim3",0.47463768115942,23,0.211504105193712,-14.9490463149008,4.55360567087998e-08,2.87713533817233e-07
"Abr",0.59775641025641,104,0.559427408614019,-17.2272246834212,4.36344178400604e-09,3.15635882319689e-08
"Abtb2",0.413690476190476,42,-0.29373120305671,-2.86302403330034,0.0167150570854551,0.0616069246863915
"Acap2",0.434959349593496,82,-0.398549376490275,-3.22487157004774,0.01109683842853,0.0423101130230651
"Acer3",0.562141541699553,181,0.36118752533459,37.2077204672219,1,1
"Actr2",0.515151515151515,154,-0.084888897586513,5.82030733176538,1,1
"Actr3",0.446687370600414,161,-0.284303022587445,3.00561668296766,1,1
"Acvr1",0.617021276595745,47,0.454565863465481,-0.246204761142558,0.482854436103957,1
"Acvr2a",0.414814814814815,90,-0.574236094128098,1.44528537026808,1,1
"Acyp2",0.367222222222222,60,-0.84799690655495,-11.896295871682,1.07294626906439e-06,5.86897817848648e-06
"Adam10",0.535140562248996,83,0.278301162487104,-3.82377318921299,0.00568495915390195,0.0222792829626335
"Adam17",0.407142857142857,70,-0.366782330671623,1.35922493810666,1,1
"Adam19",0.56980056980057,117,0.666576266274808,0.146635296739049,1,1
"Adam22",0.284722222222222,60,-1.14886338591448,1.15360684397227,1,1
"Adam9",0.4996336996337,91,0.175849835399418,-0.0387554141830293,0.780699435603583,1
"Adamts9",0.568475073313783,31,0.148098638989134,-30.9889738044353,3.47325221509477e-15,4.51814657896362e-14
"Adamtsl3",0.417233560090703,21,-0.658963082164933,-17.8826345861285,2.22580628880141e-09,1.69731435224857e-08
"Adap2",0.48478835978836,126,-0.131244533278252,0.411555165997726,1,1
"Adap2os",0.561224489795918,49,0.229481846122768,1.5391828850379,1,1
"Adarb1",0.258771929824561,38,-1.34103691783507,-1.57157227368778,0.0762466744902031,0.257707100678678
"Adcy7",0.582352941176471,85,0.485426827170242,1.28441811089246,1,1
"Adcy9",0.4898753894081,107,0,0.968540886444302,1,1
"Adgre1",0.568927064496685,158,0.429251358498545,-30.8263303642513,4.09713110569977e-15,5.19865487837971e-14
"Adgrf5",0.583333333333333,38,0.369233809665719,4.68319743258549,1,1
"Adgrg6",0.391710114702815,137,-0.647698256069119,-23.7212652402291,5.66403605406689e-12,5.54932139980731e-11
"Adgrl2",0.642857142857143,35,0.432959407276106,0.929524973552269,1,1
"Adgrl4",0.400573764859479,42,-0.234465253637023,-77.6033456713687,1.26190183421059e-35,1.05980284553146e-33
"Adipor2",0.513020833333333,64,-0.0356239097307212,0.647143533830359,1,1
"Adk",0.291594202898551,115,-1.30985526258679,-12.8953239425029,3.80527829216905e-07,2.20620629074071e-06
"Afap1l1",0.598870056497175,59,0.472068444315223,-3.21710956714831,0.0111942357951995,0.0425766019925525
"Aff1",0.423341946597761,129,-0.53726575868986,-32.5185740474442,7.34993516311028e-16,1.03433633022679e-14
"Afg2a",0.405637254901961,68,-0.69389687227432,0.19605799322828,1,1
"Aftph",0.412021072796935,174,-0.445625819112267,-59.1750926397807,1.4532632275196e-27,5.92013546368511e-26
"Agap1",0.420258620689655,116,-0.41990325445066,-0.582146910801242,0.280576816320089,0.804320206784256
"Agfg1",0.505188679245283,106,-0.0703893278913981,-14.3483755414782,8.46456204806591e-08,5.19965954381192e-07
"Agmo",0.51761316872428,135,0.230297619421794,-1.38566655986901,0.0959662064925652,0.313408623735213
"Ago3",0.513779527559055,127,0.0489096004809459,0.298412448951694,1,1
"Agps",0.494605654761905,128,-0.173648087485029,-0.448100489370091,0.343802414952112,0.948674043397271
"Ahnak",0.472148859543818,119,-0.227410496103073,-16.2016580883554,1.25272514522444e-08,8.6960471964459e-08
"Ahr",0.386904761904762,56,-0.601450623509725,0.221488800507188,1,1
"Aig1",0.377314814814815,72,-0.955605880641547,-0.192196157114736,0.535261867663598,1
"Airn",0.795833333333333,56,1.58496250072116,-14.9631571596741,4.48780652237369e-08,2.84718217075183e-07
"Akap10",0.515070921985816,94,0.0480942882010451,-0.401060968460811,0.370459701579487,1
"Akap13",0.390396825396825,150,-0.551015168797818,11.7666549824764,1,1
"Akt3",0.420696721311475,122,-0.419084332341546,-46.8338631651758,3.73196769735054e-22,9.02669686796663e-21
"Alcam",0.384616759284644,217,-0.559245330612781,-3.12703593716901,0.0123908151213898,0.0466690554937018
"Alox5",0.470149253731343,67,-0.0317088597273383,-0.748837449377561,0.22102946358433,0.655926267285695
"Alox5ap",0.486394557823129,49,-0.096215315259303,7.53897084719831,1,1
"Alpk1",0.373713646532438,149,-0.791413378188583,1.17885297168343,1,1
"Ambra1",0.429824561403509,133,-0.253756592245783,-13.8607513176664,1.40096801491085e-07,8.4557706864463e-07
"Anapc1",0.453125,64,-0.338801913451758,1.79595413880233,1,1
"Ank2",0.221741360758702,173,-1.53119124428018,-11.6263621670793,1.42049086065797e-06,7.68853095209277e-06
"Ankhd1",0.484496124031008,172,-0.0897966703506454,7.54481713710248,1,1
"Ankib1",0.544372294372294,77,0.280107919192735,0.550322475517902,1,1
"Ankrd11",0.550543024227235,228,0.211874549422449,23.6067683433055,1,1
"Ankrd12",0.477366255144033,81,-0.0857298740258843,-6.26951500123693,0.000398539133927174,0.00173297353741367
"Ankrd17",0.482261904761905,200,0.0264722113611913,17.4584632413573,1,1
"Ankrd33b",0.334677419354839,62,-1.12775554719837,-0.215171271879797,0.511820915107278,1
"Ankrd44",0.508195020746888,241,-0.0844745681635362,34.9293100626428,1,1
"Anks1",0.418606701940035,189,-0.667923949736555,1.80539798116433,1,1
"Ano6",0.4285,200,-0.218498505231957,3.99827283094027,1,1
"Antxr2",0.575207034237481,199,0.47145080818411,-9.72441474689634,1.03331145379895e-05,5.14329945492208e-05
"Anxa2",0.400537634408602,62,-0.656045598782639,-0.249666755804796,0.479793117857888,1
"Anxa3",0.65819209039548,59,0.973032952399731,-0.0130397711783274,0.871706213377302,1
"Aoah",0.553898635477583,171,0.311944006314741,-41.3237160785137,9.80751393228816e-20,1.89775394589776e-18
"Aopep",0.611168054665812,223,0.631460962821048,-3.67346845741417,0.00671771152829437,0.0261281845371851
"Ap1b1",0.551587301587302,84,0.385290155884792,-0.504414373583401,0.315183598517103,0.883884439319702
"Ap1g1",0.527777777777778,87,0,0.701927798438362,1,1
"Ap2a2",0.475509461426492,229,-0.118836229509851,11.2999048500411,1,1
"Ap2b1",0.482040229885057,116,0.0201778819376299,1.0443813140393,1,1
"Ap3b1",0.488888888888889,138,0.0473057147783571,3.39672534848316,1,1
"Ap3s1",0.56,50,0.137503523749935,-5.7915508785252,0.000665538368395545,0.00285388751877093
"Apaf1",0.523979591836735,98,0.232173442129033,-1.51419874495599,0.0818187892712639,0.274146073142676
"Apba1",0.574492753623188,115,0.541709302767272,-49.1664058461315,3.53657220754694e-23,9.60458557418012e-22
"Apbb1ip",0.521833333333333,100,0.127379306476228,-0.523822814363626,0.306049943450705,0.864535241718416
"Apbb2",0.503787878787879,55,-0.0931094043914817,-42.439268301951,3.17268558253397e-20,6.37833413215921e-19
"Apc",0.46326164874552,93,-0.281770968415379,0.26935492442361,1,1
"Aplp2",0.507575757575758,66,0,0.850088239809864,1,1
"Apobec1",0.601466666666667,125,0.433653177446191,-0.221951520991041,0.505244614182912,1
"Apoe",0.779222909636295,254,1.57268417094272,16.3165638653306,1,1
"App",0.774876362891685,383,1.84549005094438,-5.08030319651635,0.00143473422589495,0.00593841866760798
"Appbp2",0.557971014492754,46,-0.0458036896131251,0.715793269834421,1,1
"Arb2a",0.477197346600332,201,-0.202389396688824,3.37714335668798,1,1
"Arf4",0.493589743589744,52,-0.129283016944966,0.681577911000026,1,1
"Arfgef1",0.403153153153153,111,-0.455194625750827,-0.0899505343787155,0.671458274265409,1
"Arhgap10",0.418075117370892,142,-0.274439169106043,-34.0117679993599,1.61555604790011e-16,2.33727174032651e-15
"Arhgap12",0.48005698005698,117,-0.0759488532332986,1.71822703618113,1,1
"Arhgap15",0.615476190476191,168,0.620712525670358,22.8087071730914,1,1
"Arhgap17",0.495614035087719,76,0.0310268956206246,0.314350972986119,1,1
"Arhgap18",0.437087912087912,182,-0.301655699861101,13.8320490173715,1,1
"Arhgap21",0.410902255639098,95,-0.520007058880386,-0.552810219494432,0.293035953172432,0.836936633783995
"Arhgap22",0.398148148148148,108,-0.593090381604557,-0.331290177481378,0.415650456323647,1
"Arhgap24",0.687074829931973,21,0.632268215499512,-25.2272689210956,1.21957480790275e-12,1.26704818968688e-11
"Arhgap25",0.549180327868853,61,0.403355694231208,1.86317829144035,1,1
"Arhgap26",0.422748928631282,153,-0.40243746249921,-0.954667709082202,0.167037100168249,0.513042521945336
"Arhgap30",0.471590909090909,88,-0.137503523749935,1.06751502729401,1,1
"Arhgap45",0.496124031007752,129,0.0351894284622998,-5.48432599191167,0.000926661442575852,0.00390864281500659
"Arhgef10l",0.479591836734694,49,-0.0901978089715785,1.31221850296586,1,1
"Arhgef11",0.457831325301205,83,-0.17687776208408,1.08908168852516,1,1
"Arhgef12",0.527822580645161,124,0.158697746019058,-18.3877130032993,1.32550551454759e-09,1.04156473935008e-08
"Arhgef2",0.508196721311475,61,0,1.31679395203746,1,1
"Arhgef3",0.636162732295329,181,0.624490864907794,-18.0837398225592,1.81067056585805e-09,1.40061898381366e-08
"Arid1a",0.424731182795699,93,-0.464668267003444,-8.13829413185101,5.47360773021361e-05,0.000251428628082216
"Arid1b",0.523011963406052,203,-0.082936340982072,8.26169378269782,1,1
"Arid2",0.549450549450549,91,0.0489096004809464,0.433124885896973,1,1
"Arid4b",0.416872427983539,81,-0.347923303420307,0.597833106444497,1,1
"Arid5b",0.598039215686274,85,0.284729476933113,-10.7451907189357,3.55607879047998e-06,1.84725166700101e-05
"Arih1",0.504703260614591,203,0.138328156547973,16.0661035762595,1,1
"Arl15",0.467723453017571,187,-0.181606806489948,-1.94916980513574,0.0483338540166142,0.170047286403906
"Arl8b",0.452380952380952,63,-0.31315788525963,1.07621413975964,1,1
"Armh3",0.547619047619048,49,0.0874628412503395,0.021765275362327,1,1
"Arnt",0.519157088122605,87,0.204358498506187,1.02412048440989,1,1
"Arpc2",0.504436450839329,139,-0.0607540310790959,2.89068992467529,1,1
"Arrb1",0.535211267605634,71,0.131244533278252,1.1516353134794,1,1
"Arrdc3",0.538888888888889,60,0.314108590428063,-0.296521126882006,0.441245103478145,1
"Asah1",0.485185185185185,90,-0.0766212816029124,0.134560312758481,1,1
"Asap1",0.571636384654136,169,0.291339775053939,-15.1554535250613,3.68050455759769e-08,2.354306221141e-07
"Asb3",0.529850746268657,67,0.206450877467426,0.666192150001493,1,1
