"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"2210408F21Rik",0.455284552845528,82,-0.407175381505873,0.70868407335918,1,1
"2610307P16Rik",0.4748,125,-0.167944637314072,0.979076017405731,1,1
"4632427E13Rik",0.521551724137931,116,0.0424352663203966,0.921149336196578,1,1
"4732440D04Rik",0.191666666666667,60,-1.85798099512757,0.131864609764662,0.99,1
"4833422C13Rik",0.727213541666667,128,1.38605843230708,0.780007569564077,1,1
"5031425E22Rik",0.546666666666667,125,0.31315788525963,0.726358172981548,1,1
"9330188P03Rik",0.510204081632653,49,0.362570079384708,0.71917423632781,1,1
"9530026P05Rik",0.514635477003435,568,0.15726176617656,13.844392071601,1,1
"A830082K12Rik",0.565543071161049,89,0.551015168797818,0.708230061441327,1,1
"AW554918",0.455555555555556,120,-0.0759488532332986,0.926035896230076,1,1
"Abca6",0.455182072829132,119,-0.249027547839914,0.515870366369256,1,1
"Abca8a",0.776280892103677,237,1.85663582482882,-23.1796545061273,0,0
"Abca8b",0.725177304964539,94,1.50250034052918,0.406743217107064,1,1
"Abca9",0.509259259259259,90,0.0794344674944045,0.710134891843197,1,1
"Abcc9",0.429628104844243,347,-0.437580067929932,-77.1914852799182,0,0
"Abhd17b",0.487272727272727,55,-0.084888897586513,0.156665854048001,1,1
"Abi1",0.60219298245614,190,0.77632802643698,3.01147779661201,1,1
"Abi2",0.560109289617486,122,0.277533975528909,1.13883644743129,1,1
"Abl2",0.537037037037037,54,0.0874628412503391,0.335377030775199,1,1
"Ablim1",0.392543859649123,76,-0.53605290024021,0.597695454597343,1,1
"Abr",0.497942386831276,81,-0.061400544664143,0.299083969179549,1,1
"Acadsb",0.5,55,0.175086706558091,0.167167134291645,1,1
"Acap2",0.546728971962617,107,0.192645077942396,0.101235527179767,1,1
"Acer2",0.541801075268817,124,0.280107919192735,1.01111325060609,1,1
"Actr2",0.5,88,-0.0285691521967708,0.200207445827914,1,1
"Actr3",0.596168582375479,87,0.476438043942987,0.609007286202072,1,1
"Acyp2",0.339495305164319,142,-0.944290567413713,0.569295771675769,1,1
"Adam22",0.675,80,0.889817082249577,0.198471346457822,1,1
"Adam9",0.446428571428571,56,-0.415037499278843,0.591744005218303,1,1
"Adamts12",0.455938697318008,174,-0.174029399775049,2.26044429568836,1,1
"Adamts17",0.741935483870968,31,1.8073549220576,-0.00202149069297874,0.65,1
"Adamts2",0.588141025641026,104,0.517399216908522,0.713114572642041,1,1
"Adamts9",0.529454253611557,89,-0.192645077942395,-17.6147586538667,0,0
"Adap2",0.434666666666667,250,-0.397147340382955,14.5662535706272,1,1
"Adcy6",0.419082125603865,138,-0.523561956057013,0.601815583076643,1,1
"Adcy9",0.442592592592593,135,-0.192645077942396,0.63340345614489,1,1
"Adgrl2",0.573825503355705,149,0.397335497545385,0.579415416412445,1,1
"Adgrl3",0.458422301304864,281,-0.0754074026580225,46.4957272431067,1,1
"Afap1l2",0.444600938967136,71,-0.434402824145775,0.312913532315861,1,1
"Aff1",0.465,150,-0.349149563622387,0.575452644855233,1,1
"Afg2a",0.377777777777778,90,-0.729910836632255,0.20242572244527,1,1
"Agap1",0.415841584158416,101,-0.393663848486277,0.406799355230675,1,1
"Agmo",0.696969696969697,110,1.1797060222349,0.674259087952734,1,1
"Ago3",0.533475783475784,117,0.253118936968711,1.25361782371056,1,1
"Agtr1a",0.620689655172414,87,0.62148837674627,0.199301553386164,1,1
"Aig1",0.732732732732733,111,1.4626269577971,-12.1383341407605,0,0
"Airn",0.958405954974582,459,4.4254042148371,-13.9889509259907,0,0
"Akap13",0.4625,160,-0.0874628412503395,1.13298544527976,1,1
"Akap6",0.629496402877698,139,0.745070643803261,0.901923992757986,1,1
"Akt3",0.51763698630137,292,-0.0477531314483679,73.3334076243729,1,1
"Aldh1a1",0.425925925925926,54,-0.351472370501378,0.335212403968079,1,1
"Alpk1",0.52078431372549,85,0.214124805352847,0.811078184684177,1,1
"Ambra1",0.523310023310023,143,0.134301091711591,0.979461703930497,1,1
"Amotl1",0.532738095238095,84,0.32862274746137,0.497627679456457,1,1
"Ank2",0.586546184738956,332,0.572023445013658,-34.2835963292243,0,0
"Ank3",0.315068493150685,73,-1.05062607306997,0.210728056970503,1,1
"Ankhd1",0.513211382113821,164,0.0865876849960907,0.82338917275348,1,1
"Ankib1",0.5,80,0.241008099503795,0.397743775480222,1,1
"Ankrd11",0.507388316151203,194,0.0598714559773987,1.97070431123186,1,1
"Ankrd12",0.516339869281046,102,0.23703919730085,0.610943133923342,1,1
