"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"9530026P05Rik",0.65,15,0.637429920615292,NA,NA,NA
"Cacna1c",0.534,25,-0.273018494406416,NA,NA,NA
"Cacnb2",0.491656565656566,25,0.134929580086108,NA,NA,NA
"Cald1",0.402797202797203,22,-0.222392421336448,NA,NA,NA
"Carmn",0.43702380952381,20,-0.497499659470817,NA,NA,NA
"Cped1",0.389583333333333,16,-0.502500340529183,NA,NA,NA
"Dlc1",0.429986772486772,30,-0.0972972013549149,NA,NA,NA
"Ebf1",0.437053571428571,24,-0.343954401217361,NA,NA,NA
"Errfi1",0.403703703703704,18,-0.321928094887362,NA,NA,NA
"Filip1",0.555555555555556,16,0.440572591385981,NA,NA,NA
"Fry",0.363768115942029,23,-1.3536369546147,NA,NA,NA
"Gucy1a2",0.439814814814815,18,-0.160464672193246,NA,NA,NA
"Itpr1",0.453787878787879,22,-1,NA,NA,NA
"Kcnab1",0.342028730796847,27,-1.1096244911745,NA,NA,NA
"Lhfpl6",0.430555555555556,18,0,NA,NA,NA
"Lpp",0.60291737248259,23,1.1926450779424,NA,NA,NA
"Malat1",0.477112539020512,32,-0.13390577864133,NA,NA,NA
"Mast4",0.454336829281212,29,-0.399270183420527,NA,NA,NA
"Msrb3",0.397789929368877,19,-0.0740005814437767,NA,NA,NA
"Myh11",0.579777777777778,25,0.436099114806673,NA,NA,NA
"Myom1",0.579437229437229,21,0.917537839808027,NA,NA,NA
"Pakap",0.503968253968254,21,0.0874628412503394,NA,NA,NA
"Pde3a",0.577612769245629,29,0.173331602885562,NA,NA,NA
"Pdlim5",0.659495329232171,19,0.362570079384708,NA,NA,NA
"Plce1",0.567329545454546,16,0,NA,NA,NA
"Plcl1",0.393939393939394,22,-1.29545588352617,NA,NA,NA
"Ppp1r12a",0.40419411506368,23,-0.270089163367744,NA,NA,NA
"Prkg1",0.18644685146786,28,-2.40439025507934,NA,NA,NA
"Rasal2",0.434210526315789,19,-0.440572591385981,NA,NA,NA
"Rbpms",0.606419043919044,24,0.618909832644494,NA,NA,NA
"Rgs6",0.410714285714286,14,-0.917537839808027,NA,NA,NA
"Rock1",0.557142857142857,21,0.584962500721156,NA,NA,NA
"Ryr2",0.453703703703704,18,-0.321928094887362,NA,NA,NA
"Slc8a1",0.413941798941799,30,-0.365284464081744,-0.0793348625302315,0.690384233015323,0.690384233015323
"Sorbs2",0.53921568627451,17,0.0565835283663675,NA,NA,NA
"Syne1",0.623529411764706,17,1.39231742277876,NA,NA,NA
"Synpo2",0.474074074074074,18,-0.473931188332412,NA,NA,NA
"Tpm1",0.59469696969697,22,0.612976876890753,NA,NA,NA
"Utrn",0.535493827160494,27,-0.387023123109247,NA,NA,NA
"Zbtb16",0.552631578947368,19,0,NA,NA,NA
"Zfpm2",0.689814814814815,18,1.13750352374993,NA,NA,NA
