"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"9530026P05Rik",0.516666666666667,25,0.214124805352847,-0.0546616774147139,0.740915805483297,1
"Acta2",0.471605667060213,33,0.148098638989134,0.0151366610026074,1,1
"Actn1",0.5,23,-0.234465253637023,-0.094136955125613,0.664357126466087,1
"Acyp2",0.178571428571429,14,-1.67807190511264,-1.18371385323799,0.123891044202638,0.928659611180497
"Akap6",0.548309178743961,23,-0.395928676331139,-0.0326339688277386,0.798355551892293,1
"Aopep",0.382098765432099,27,-0.752072486556414,-0.398968027731801,0.371711172281465,1
"Cacna1c",0.486111111111111,30,0.20945336562895,0.0510091650252633,1,1
"Cacna2d1",0.528571428571429,21,0.251538766995964,0.857390433133212,1,1
"Cacnb2",0.39026169026169,37,-0.215728691055437,-0.192787768415748,0.534634304859664,1
"Cald1",0.512962962962963,36,-0.131244533278253,0.421231330669613,1,1
"Carmn",0.461412151067323,29,0.347923303420307,0.0205142583165774,1,1
"Celf2",0.566176470588235,17,0.180572245641821,-0.0917083449097582,0.668453285597826,1
"Clic4",0.15,19,-2.14684138832927,-5.14555331751531,0.00133672897929924,0.047453878765123
"Cobll1",0.510416666666667,16,0.736965594166206,0.0145375350260046,1,1
"Cped1",0.596894020766201,28,0.505235308250422,-0.626213411986129,0.263089472767396,0.929135564638633
"Crim1",0.421645021645022,21,0,0.011238250226473,1,1
"Dip2c",0.4625,24,-0.667424660913129,-0.101784686811218,0.651855046134234,1
"Dlc1",0.554150579150579,37,0.929610672108602,-1.63720013001124,0.0703686420760819,0.928659611180497
"Ebf1",0.363852813852814,33,-0.465663572348812,-0.466181504860664,0.334249650340892,0.988821882258474
"Enah",0.462797619047619,24,-0.610053481683987,0.44045882526245,1,1
"Entpd1",0.543137254901961,17,0.115477217419936,0.160240529212171,1,1
"Esyt2",0.377777777777778,27,-0.163498732282879,-0.408931236319319,0.365805870702078,1
"Ext1",0.601731601731602,22,0.283792966000591,-0.525315132980445,0.305361975611036,0.942639142103631
"Fbxl17",0.36231884057971,23,-0.839535327806754,-0.307321704999318,0.433044821734429,1
"Fry",0.370238095238095,30,-0.756728848987636,-0.941311760505556,0.170036266835866,0.928659611180497
"Igf1r",0.547222222222222,24,0,-0.196515328574542,0.530710646185442,1
"Igfbp7",0.55,20,0.0524674198941354,-0.172867839463851,0.556537042218559,1
"Irag1",0.5,30,-0.15754127698648,-0.0580488569129827,0.733305989160998,1
"Itga8",0.622908232118758,19,0.389946518316013,-0.805318348112301,0.204402325333479,0.929135564638633
"Itpr1",0.561538461538462,26,0.819427754358179,-0.301969256269363,0.437079238576723,1
"Kcnab1",0.419142416723062,31,-0.249027547839915,0.0747442286058515,1,1
"Ldlrad4",0.266666666666667,21,-1.13750352374994,-1.11548158806715,0.135269499933734,0.928659611180497
"Lhfpl6",0.545238095238095,21,0.125530882083859,-0.0166318600452726,0.855281818869869,1
"Lncpint",0.408730158730159,21,-0.46948528330122,-0.125311242243214,0.616637107692766,1
"Lpp",0.562825190682333,35,0.0480942882010451,-0.174852723317414,0.554279916949125,1
"Luc7l2",0.616666666666667,21,0.874469117916141,-0.987054037489358,0.160012487311963,0.928659611180497
"Magi1",0.522727272727273,22,0.523561956057013,-0.241633623216906,0.486946103639736,1
"Malat1",0.482560678170061,42,-0.107264778679766,0.0161499166486578,1,1
"Mast4",0.421095977193538,41,-0.37851162325373,-0.155584529605036,0.576963688419972,1
"Msrb3",0.56820987654321,27,0.855610090664825,-1.28406401136277,0.109036692773968,0.928659611180497
"Myh11",0.423370773370773,37,-0.566346822553809,-0.279070847683542,0.455009952183014,1
"Myocd",0.592105263157895,19,1.05444778402238,-0.753727697195981,0.219527781560532,0.929135564638633
"Myom1",0.43,30,-0.0780025120012732,0.213630037511351,1,1
"Nfib",0.315217391304348,23,-1.18057224564182,-1.28796389401233,0.108500469557859,0.928659611180497
"Pakap",0.531481481481481,24,0.115477217419936,0.0388657552569711,1,1
"Pbx1",0.66474358974359,26,0.887525270741587,-1.94190893669384,0.0487535726401751,0.928659611180497
"Pcdh7",0.51555637345111,19,-0.111031312388744,0.00589795072474075,1,1
"Pde1a",0.436507936507937,21,-0.662965012722429,-0.121633546526827,0.621856342210662,1
"Pde3a",0.495172275641026,32,0.0946368741380753,0.0335118644196015,1,1
"Pdlim5",0.644444444444444,30,0.53051471669878,-0.865027877272361,0.188403777340575,0.929135564638633
"Phldb2",0.677777777777778,21,0.552541023028779,-1.0126831734434,0.154691615011956,0.928659611180497
"Plce1",0.395238095238095,22,-0.584962500721156,-0.18706969434076,0.540756547199499,1
"Plcl1",0.591326530612245,28,0.331205908475373,-0.564705143041301,0.287901160873943,0.929135564638633
"Ppm1l",0.520833333333333,12,0.263034405833794,-0.0903212601502901,0.670821649271409,1
"Ppp1r12a",0.437640056022409,34,0,0.0601483052584229,1,1
"Prkg1",0.136428571428571,35,-2.18762700317577,-14.1973550712184,9.89352743957851e-08,7.02440448210074e-06
"Rasal2",0.304,25,-1.08246216019197,-0.625101276966465,0.263513794108708,0.929135564638633
"Rbpms",0.519089390142022,38,-0.0230836131130412,0.361739106909852,1,1
"Rock1",0.456226053639847,29,0.263034405833794,-0.0149876646556351,0.862546219854884,1
"Ror1",0.460127591706539,19,0.125530882083859,0.088541820471054,1,1
"Samd4",0.519583333333333,20,0.552541023028779,-0.594285945881932,0.275617812003768,0.929135564638633
"Setbp1",0.502083333333333,16,-0.765534746362977,0.0128732048676348,1,1
"Slc8a1",0.603011099176513,35,0.38565369249775,-1.70487051174768,0.0648126173625841,0.928659611180497
"Slit3",0.558760683760684,26,0.0614005446641431,-0.191124105000124,0.536402481636864,1
"Sorbs2",0.562599206349206,24,0.438121112391885,-0.696845303568168,0.237782831902574,0.929135564638633
"Sptbn1",0.560110420979986,23,0.263034405833794,-0.102196242308533,0.651198477632644,1
"Syne1",0.555555555555556,18,0.710493382805015,-0.220600451821817,0.506543399149514,1
"Synpo2",0.480555555555556,36,0.0331668639351995,0.0308768861089774,1,1
"Tpm1",0.428,25,-0.142019004872428,-0.149492875127031,0.584518963944969,1
"Utrn",0.585,30,0.310340120612151,-0.642649003193267,0.256916279768215,0.929135564638633
