"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Ablim1",0.49025974025974,33,0,5.70901104650454,0.96,1
"Airn",0.242753623188406,23,-0.84799690655495,2.19509934020887,0.97,1
"Akap13",0.461805555555556,24,-0.371968777386958,19.8045223291444,1,1
"Akt3",0.375,26,-0.584962500721156,2.28396896231756,1,1
"Ankrd11",0.508558558558559,37,-0.270089163367744,4.68678828969161,0.91,1
"Ankrd44",0.405691056910569,41,-0.189033824390017,3.48483193822508,0.99,1
"Apbb1ip",0.264603174603175,30,-1.28950661719498,1.91887789225212,0.99,1
"App",0.537719298245614,19,0.637429920615292,2.13949455534442,1,1
"Arb2a",0.495454545454545,33,-0.472068444315223,3.86376165529262,0.95,1
"Arhgap15",0.480880230880231,48,-0.274622380109006,3.74918502587368,0.99,1
"Arhgap26",0.545138888888889,24,0.120294233717712,2.28442901078569,1,1
"Arid1b",0.57926267281106,31,0.502500340529183,2.55083525594681,1,1
"Arl15",0.367025089605735,31,-0.616671360448494,1.42098027791777,1,1
"Atp2b1",0.524404761904762,28,-0.0588936890535685,2.42049376766051,1,1
"Atxn1",0.435416666666667,32,-0.247927513443586,3.56533366516828,0.59,1
"Bach2",0.616452991452991,26,1.08246216019197,2.18354816971587,1,1
"Bcl2",0.452715605907095,47,-0.0747677684019722,3.23056959873661,0.98,1
"Birc6",0.55952380952381,28,-0.0588936890535685,3.17635354193964,1,1
"Camk1d",0.591397849462366,31,0.427421223734676,2.57252604325533,0.94,1
"Camk4",0.457407407407407,27,-0.106915203916512,2.83854242811849,1,1
"Cblb",0.34992784992785,33,-0.527247002864869,2.74288680116328,0.98,1
"Ccnd3",0.476130952380952,40,0.120294233717712,4.16570789961434,0.86,1
"Cd44",0.578030303030303,22,0.700439718141092,4.65773127747353,1,1
"Celf2",0.578571428571429,43,-0.0181473467102594,2.88846000463755,0.87,1
"Chst11",0.503086419753086,27,0.211504105193712,2.09349898993099,1,1
"Crebbp",0.607142857142857,28,0.658963082164933,5.30774245786378,0.99,1
"Crim1",0.610215053763441,31,0.830074998557688,6.60099972799775,0.99,1
"Dennd1b",0.335119047619048,28,-0.770518153877233,2.37902355021849,1,1
"Dennd4a",0.551708074534161,23,0.0430687218918858,2.50024011775642,0.96,1
"Dlc1",0.58796992481203,19,0.321928094887362,2.11624455902138,0.96,1
"Dleu2",0.464722222222222,30,-0.125530882083859,2.35520464227478,0.96,1
"Dock10",0.634053156146179,43,0.533432200081074,3.5734695683641,0.96,1
"Dock2",0.467628205128205,52,-0.185866545311334,3.84443423739391,1,1
"Dst",0.435185185185185,18,-0.943416471633633,1.74972007866299,1,1
"Ebf1",0.345643939393939,22,-1.05658352836637,1.52227622971508,0.89,1
"Eif4g3",0.691358024691358,27,1.13750352374994,2.09763274949472,1,1
"Elmo1",0.582698412698413,45,0.525091044743758,3.49993643928196,0.99,1
"Emb",0.533854166666667,32,0.428843298803874,2.87376635542793,0.99,1
"Entpd1",0.564285714285714,14,0,13.6321535870265,1,1
"Esyt2",0.5,34,-0.125530882083859,5.54173479515008,1,1
"Ets1",0.437719298245614,38,-0.169925001442312,3.56326602325223,0.98,1
"Etv6",0.487003968253968,24,-0.106915203916512,2.56908257235934,1,1
"Ext1",0.32993672993673,26,-1.22239242133645,1.69125566961452,0.98,1
"Fbxl17",0.703888888888889,30,1.06413033741972,2.23251326572347,0.96,1
"Fli1",0.545977011494253,29,0.332575339086871,2.66250099299842,1,1
"Foxp1",0.484567901234568,27,-0.784271308944563,2.45548614944738,1,1
"Frmd4b",0.782222222222222,15,0.912537158749661,1.54283190122197,1,1
"Fryl",0.526666666666667,25,-0.0614005446641432,3.19483118415696,1,1
"Fyb1",0.740686274509804,34,1.17833724125851,1.84818054881412,0.96,1
"Fyn",0.627689594356261,27,0.502500340529183,2.28311046229146,0.99,1
"Gab2",0.558002645502645,18,-0.540568381362703,2.11704304490918,1,1
"Gm2682",0.502501202501202,33,0.0497530351970996,2.19870038876067,0.46,1
"Gnaq",0.344718013468013,24,-0.716207033999409,1.55314908692639,1,1
"Gramd2b",0.547101449275362,23,0.144389909335175,16.2901427158588,1,1
"Grap2",0.493045112781955,38,-0.462971976342546,4.59533143390066,0.48,1
"Heg1",0.549487433862434,24,0.700439718141092,1.61229660466478,0.94,1
"Hivep2",0.543693693693694,37,0.70781924850669,3.41167684598742,0.97,1
"Igf1r",0.417777777777778,30,-0.165059246270496,4.16466381620573,0.92,1
"Il7r",0.684615384615385,26,0.610053481683987,7.13810423311445,0.94,1
"Itk",0.443981481481481,36,0.222392421336448,3.72571451483434,0.99,1
"Itpr2",0.498888888888889,30,-0.343954401217361,3.81338220543746,0.98,1
"Jak1",0.423076923076923,26,-0.144389909335175,3.85259244783936,1,1
"Kansl1",0.446396396396396,37,0,2.7645937464525,1,1
"Kcnq5",0.532804232804233,18,0.430634354329862,2.36189294449095,1,1
"Kcnt2",0.674908424908425,13,0.956931278108114,1.80227967641353,1,1
"Lama2",0.471354166666667,16,-0.520832163301441,2.99376043430039,1,1
"Ldlrad4",0.433791208791209,26,-0.229481846122767,3.13063144478838,0.65,1
"Lncpint",0.426356589147287,43,-0.0901978089715784,3.56170891516103,0.95,1
"Lpp",0.431159420289855,23,-0.494764691749578,2.35022192437821,0.99,1
"Lrch3",0.402777777777778,18,-0.371968777386958,2.03686487596494,1,1
"Magi1",0.429824561403509,19,0.222392421336448,1.71095115091276,1,1
"Malat1",0.508851973310311,63,0.110282055014911,1.88080310353857,0.69,1
"Man1a",0.49400871459695,36,-0.256339753259786,4.18223390685227,0.81,1
"Mbnl2",0.411111111111111,27,-0.263034405833794,2.85077268674184,0.99,1
"Mdfic",0.575,24,0.584962500721156,2.12471485038367,1,1
"Mir99ahg",0.297278911564626,14,-0.823122237915921,1.37630991923196,1,1
"Mllt10",0.572916666666667,24,0.584962500721156,16.3538147081832,1,1
"Mllt3",0.442708333333333,32,-0.229481846122767,4.34752139070801,0.93,1
"Ms4a6b",0.539473684210526,19,0.497499659470817,2.22275780749565,1,1
"Mycbp2",0.441666666666667,28,-0.70626879694329,13.9847535915418,0.67,1
"Ncoa2",0.440598290598291,39,-0.29373120305671,5.97327629959403,0.89,1
"Ncor1",0.487179487179487,26,-0.321928094887362,23.8379943606799,0.98,1
"Neat1",0.724074074074074,27,1.18057224564182,1.75481171201392,1,1
"Nfia",0.632275132275132,21,0.447458976971221,2.29607293985788,0.98,1
"Nfib",0.568627450980392,17,0.120294233717712,2.1876948309144,1,1
"Nipbl",0.5,25,0.131244533278253,2.72950840903382,1,1
"Nlk",0.417333333333333,25,-0.60768257722124,2.72337688638434,0.93,1
"Nr3c1",0.65515873015873,42,0.710493382805015,3.28838690402104,0.92,1
"Pafah1b1",0.431216931216931,27,-0.610053481683987,2.42953994569859,1,1
"Pan3",0.553030303030303,33,0.398549376490275,14.57289810465,0.77,1
"Pard3",0.496428571428571,28,0.111031312388744,3.47808010025048,0.96,1
"Parp8",0.43,25,-0.39231742277876,2.2386398181869,1,1
"Pde3b",0.29421768707483,35,-0.459431618637297,2.2880099887108,0.58,1
