gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
1110059E24Rik,0.442928039702233,0.171566066116357,0.424714434060228,0.0121777854523881
1810024B03Rik,0.593220338983051,0.684129416771434,0.654255319148936,0.0227326715142408
1810062O18Rik,0.57168458781362,0.444054729915801,0.596698113207547,0.066229889313869
2310015A10Rik,0.545977011494253,1,0.607456140350877,0.0684332883043897
2310016D03Rik,0.698056801195815,0.134597617170329,0.682795698924731,0.0284189107898049
2310039L15Rik,0.570094086021505,0.503186331288525,0.584912280701754,0.0129815674296113
3110082I17Rik,0.502026342451874,1,0.431880108991826,0.00474844587286016
4930432B10Rik,0.530456852791878,1,0.577114427860697,0.0953058703873796
4930473A02Rik,0.397701149425287,0.108868400899675,0.334474885844749,0.00162564659531993
4930517O19Rik,0.595132743362832,1,0.648054145516074,0.0019466529097818
4930551O13Rik,0.594936708860759,0.326175551531065,0.672945205479452,0.0597060406604735
4931414P19Rik,0.472368421052632,1,0.38034188034188,0.00517052797690258
5830418P13Rik,0.544392523364486,1,0.616255144032922,0.0556585299303467
9330111N05Rik,0.61624649859944,0.359622745040415,0.694444444444444,0.0510425089763755
9330158H04Rik,0.337361111111111,0.559660056141992,0.274534686971235,3.90638493722055e-8
9930024M15Rik,0.551515151515152,1,0.672284644194757,0.0113513002470058
A730056A06Rik,0.243879472693032,0.557010067513841,0.178861788617886,9.73979966539667e-7
A930029G22Rik,0.656311637080868,0.205371196439901,0.710426929392447,0.00586571456555057
A930033H14Rik,0.632936507936508,1,0.696913580246914,1.3402302251303e-4
AA465934,0.434210526315789,0.121178531171371,0.401734104046243,0.0262226964878805
AU040320,0.556556195965418,0.53910021914772,0.584910620399579,0.0280194514558909
Aagab,0.37995337995338,0.979920675989427,0.39647577092511,0.00865145787002184
Aasdh,0.531749311294766,0.880021887697996,0.564373897707231,0.0289347498811983
Aasdhppt,0.575039494470774,0.580248636976922,0.647727272727273,0.00908171771260733
Abcd3,0.575461078984317,1,0.591921119592875,2.8352176444208e-6
Ablim3,0.436827956989247,1,0.25,8.0264825971419e-4
Abraxas1,0.637529137529138,0.567007118850112,0.679054054054054,0.0440169832263108
Abtb3,0.536309523809524,0.485588463580776,0.41710758377425,0.0385404175704346
Acad10,0.498319584479071,1,0.459716235632184,0.0115883357552073
Acad11,0.621387283236994,0.119444014911467,0.635396825396825,5.78867802097396e-5
Acadm,0.528124557114512,1,0.54276331222144,0.0993270057939777
Acat1,0.528508057215282,1,0.562481857764877,0.0132379760831662
Acss1,0.554153962465062,1,0.574393629318023,6.7675251485673e-10
Acss2,0.587024087024087,0.16386877841375,0.645078922934076,0.0118549235858763
Actn1,0.616724738675958,0.273980480967335,0.643905472636816,0.0159246217491984
Actn2,0.509990526535862,0.276130078759747,0.518806553332626,0.034177652277549
Actr2,0.491956751054852,0.524899229521403,0.466635630043451,0.0180172640226949
Adat1,0.499451754385965,0.678426129492862,0.412162162162162,0.0167055225265907
Adck1,0.567169868862458,1,0.574212812160695,0.0780924164984221
Adra1b,0.490138088120151,0.392810786167193,0.562300683371298,0.0839777403163854
Aff1,0.51222036661961,0.821275893471537,0.50053097203173,0.0730062392094162
Agtr1a,0.591827266238401,1,0.603101791175186,2.880837520728e-4
Aldh9a1,0.571853146853147,0.133644197369117,0.596642335766423,1.7902983833029e-4
Als2,0.499327956989247,1,0.464401294498382,0.0761725022227864
Amfr,0.482954545454545,0.276130078759747,0.403820148749155,0.00270898020977543
Ammecr1l,0.46710182767624,0.135667634368563,0.439883913764511,0.00143252675222404
Ankrd39,0.403196347031963,0.477641370508262,0.376325088339223,0.00909286435236607
Anks6,0.142184557438795,1,0.176056338028169,2.0071452190719e-7
Ano6,0.590961337513062,1,0.599388379204893,0.0598828610279142
Ap2b1,0.555436637195595,0.560184695891591,0.547077244258873,0.0525087266832905
Ap3s1,0.500361532899494,1,0.445598417408506,0.0834426523197823
Apaf1,0.470534069981584,1,0.431159420289855,0.0918014861461028
Arfgap1,0.617283950617284,1,0.671875,1.0126669131573e-4
Arfgef1,0.512338887990077,1,0.485234552593511,0.0113205375729891
Arglu1,0.490870786516854,0.436629360135165,0.433221099887767,0.00390544082069145
Arhgap12,0.548043078539532,1,0.578030199663437,0.0103264856661866
Arhgap29,0.628104575163399,0.366226336884047,0.649653979238754,2.63310334524302e-8
Arhgap32,0.541398713826367,1,0.568849206349206,0.047642580713969
Arhgap35,0.601605897589161,1,0.588205128205128,0.0161214590141803
Arhgap44,0.571559074299635,0.521369619919831,0.594173441734417,0.0137101805475782
Arid1b,0.550777164189375,1,0.546452673621871,0.0100183164613576
Asah1,0.444794952681388,0.186766574374708,0.425136612021858,0.00904605626972865
Asb2,0.586842583277442,1,0.565289264828739,0.0886414190618794
Asb5,0.505971769815418,1,0.579581993569132,0.0396381513716791
Asrgl1,0.733213429256595,0.498826697738525,0.735062893081761,6.19672379885045e-7
Atf7ip,0.524058577405858,0.774978518954138,0.460365853658537,0.0754791910331492
Atg7,0.448554421768707,0.515652706881674,0.423986486486487,0.0846705979278827
Atg9a,0.45376121463078,0.476978980091815,0.444852941176471,0.024422561599933
Atp11b,0.563008130081301,1,0.590988955823293,0.0761725022227864
Atp5f1a,0.530725803543332,1,0.535182032865649,0.00745502575710151
Atp5mf,0.548523206751055,0.652280898524306,0.598639455782313,0.0245195035140615
Atp6v0e,0.415591397849462,0.390624436708678,0.403041825095057,0.05185426783699
Atp6v1a,0.475723622782446,0.810350163504592,0.411577608142494,0.0934139517107373
Atp6v1b2,0.539105793450882,1,0.558930640622413,0.0328064034543348
Atp8a1,0.609568568435406,0.913322711199321,0.607193732193732,2.01711494104179e-5
Atp8a2,0.633397932816537,0.180336278761653,0.684563758389262,8.3013508428086e-4
Atxn2l,0.441489361702128,0.160706671255297,0.454564489112228,0.0755579665088147
Aven,0.524258760107817,1,0.575949367088608,0.0441442224685223
B230369F24Rik,0.421177587844255,0.136840364603523,0.407017543859649,0.0100183164613576
B3gat3,0.483720930232558,0.597737086167455,0.376811594202899,0.00218827518953937
B3gntl1,0.552083333333333,1,0.594982078853047,0.0242342690096883
B4galt1,0.605509280243726,1,0.604863564284929,1.1088372321944799e-11
BC005537,0.550561085089774,1,0.576376554174068,0.0202483296937842
Babam2,0.561659792239536,1,0.562961049014104,0.00900906625126951
Baz1b,0.577951327951328,1,0.574222546161322,0.00893898607680688
Bbof1,0.593342391304348,0.233284611584207,0.594771241830065,0.0175217666527168
Bcl6,0.457828282828283,0.1792005598135,0.450948103792415,0.0822173629824775
Bcl7a,0.605925925925926,1,0.600896860986547,0.0791210387971722
Bcl9,0.697674418604651,0.187973760270782,0.656862745098039,0.00224894967933228
Bdp1,0.506163862750689,0.316919265178203,0.482543431616833,0.0933486131004621
Bend7,0.45075016307893,0.536081248657273,0.440938511326861,0.00133375196815711
Bmp2k,0.498567335243553,1,0.459054209919262,0.0440063104694286
Bmpr1a,0.525052100076481,1,0.528305333176158,0.0154316356879216
Bphl,0.467969598262758,0.367764072124099,0.425645342312009,0.0871805358887016
Bpnt1,0.436997319034853,0.206928779752749,0.446605374823197,0.0828125811015605
Brd1,0.488262910798122,1,0.425385239253852,0.009038565475217
Brd10,0.535294117647059,1,0.598938899760818,4.4372864449076e-4
Brd7,0.573499538319483,1,0.564185934489403,0.0617581486019262
Bsg,0.582954545454546,1,0.628849407783418,0.00318877119506389
Btbd3,0.412765957446808,0.469943076885072,0.402892561983471,0.0481299229321121
Btrc,0.475743707093822,0.406243654902177,0.434537856440511,0.00994189138258437
C2cd3,0.576100628930818,0.454986222749729,0.605610561056106,0.0870607385968567
C920021L13Rik,0.476636225266362,0.287776097829839,0.437010954616588,0.0140428066276887
Cab39,0.595207073057236,1,0.592687819110139,3.4431481471474e-4
Canx,0.447822580645161,0.205371196439901,0.446070675105485,0.00364045436935261
Capn2,0.552036199095023,1,0.597449908925319,0.0982807366463719
Capn7,0.488252252252252,0.130827082042203,0.43864118895966,0.00922320892412738
Carnmt1,0.520945440956652,1,0.552157155290315,0.0761570039105031
Casp7,0.650623885918004,0.148052687193128,0.670138888888889,0.049716479079057
Cast,0.625015913430936,1,0.652150985290036,1.2574408232269501e-14
Cbl,0.432453766350925,0.109454506939472,0.467869943676395,0.0450123964352892
Cc2d2a,0.431089743589744,0.381666812274964,0.398674242424242,0.014988160372549
Ccdc146,0.41884328358209,0.191184931298084,0.450592885375494,0.0757636108373815
Ccdc174,0.620629370629371,0.179944763395376,0.670182841068917,0.00115581642274469
Ccdc59,0.580459770114943,1,0.660633484162896,9.63876474698453e-5
Ccng1,0.543939393939394,0.561038130496353,0.594416456759026,0.00159203895722202
Ccnl2,0.50849358974359,1,0.48870830677714,0.0815487059650989
Ccpg1,0.457082675092154,0.210073387062517,0.454847908745247,0.0608469082878729
Cct6a,0.475669099756691,0.334683175302854,0.402777777777778,0.00678056444549283
Ccz1,0.561728395061728,0.446486365952258,0.618781094527363,0.0136473951463788
Cd2ap,0.614974937343358,0.488944352577363,0.619517605468933,1.51564144815462e-5
Cdc27,0.464810690423163,0.170852411283085,0.448167409608717,0.00136571865858045
Cdh11,0.471491228070175,0.826190650642107,0.355868544600939,0.0747642464866225
Cdh13,0.513528014040961,1,0.524768637517496,0.00157903662860284
Cdin1,0.502125075895568,1,0.418355855855856,3.0859604235564e-4
