gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
4732440D04Rik,0.317708333333333,0.00884983672210139,0.364864864864865,0.142250852254711
4732471J01Rik,0.308771929824561,5.4634590503675e-4,0.525900900900901,1
Acer2,0.36235632183908,5.8830076299458e-4,0.441537010843942,1
Actn1,0.73030303030303,0.0606282873978179,0.537634408602151,1
Adamtsl3,0.326923076923077,0.00104987833023379,0.325757575757576,0.341418143536843
Adgrl2,0.617460317460317,0.0062111163396511,0.537140439932318,0.406256588926296
Arb2a,0.420726144864076,0.0971918076659626,0.451127819548872,0.725560566056551
Arih1,0.414944903581267,0.0968685575151035,0.514367816091954,1
Cald1,0.382919621749409,0.0245064445522018,0.359663654618474,0.155672308788543
Car8,0.617638266068759,0.012222717481823,0.576851851851852,0.585745973523512
Casp4,0.28974358974359,0.0092110150238831,0.448275862068966,0.908690321328493
Cdc42,0.381461675579323,0.0160253885820715,0.423484848484848,1
Cep85l,0.568680660424846,0.0745263009711821,0.45405604719764,0.459259779235266
Cobll1,0.684738955823293,0.0092110150238831,0.656862745098039,0.257255962661624
Dlc1,0.350651720542231,5.0913876262537e-4,0.453590325018896,1
Dysf,0.595959595959596,0.0886827028143104,0.593175853018373,0.448609251684455
Fmo2,0.621375661375661,0.0968685575151035,0.500512820512821,1
Fyn,0.576455868971793,0.0668450692744422,0.558348661352953,0.341375994078442
Galnt18,0.654770254473519,4.93136723453787e-7,0.571531642960214,0.187981962727878
Gm29007,0.636075949367089,0.0641867472771728,0.612264150943396,0.485312591238845
Grik2,0.320987654320988,0.00897395675511941,0.310344827586207,0.454825942653992
Hspg2,0.386492374727669,0.0062111163396511,0.514508928571429,1
Hycc1,0.364341085271318,0.0630492206640711,0.409970238095238,0.284703314520604
Kif13a,0.416979166666667,0.0235100796852285,0.44963924963925,0.851848306547698
Lrch1,0.659298780487805,2.11943694151318e-5,0.621052631578947,0.149041298804529
Malat1,0.483331140852067,2.9463905492031e-4,0.475507808463446,0.122482534693774
Mat2a,0.673015873015873,0.0163993745957339,0.598173515981735,0.306816876069283
Mbnl1,0.266666666666667,2.1681564665202e-4,0.32957957957958,0.370183604651717
Mtus1,0.357723577235772,0.0138072716429691,0.406162464985994,0.496470680681719
Myo6,0.389051522248244,0.0533617975556988,0.432900432900433,1
Neat1,0.603469540969541,0.0511978528408015,0.581765155861541,0.487312021484933
Niban1,0.310526315789474,0.0127998465298326,0.296969696969697,0.134443416161284
Pam,0.370020964360587,0.0968685575151035,0.349462365591398,0.434288102205601
Pecam1,0.622393401805167,0.00564600278694929,0.594977630691916,0.149606037611357
Rapgef5,0.399926733282536,0.00178401693895162,0.40259703196347,0.187981962727878
Rasa4,0.358796296296296,0.016615433374517,0.262295081967213,0.115326162641706
Robo2,0.874757281553398,6.088411718676191e-9,0.66025641025641,0.659422224584716
Rps2,0.684541062801932,0.0614407126391407,0.588562091503268,0.964192084371862
Sash1,0.420619658119658,0.0143482772615858,0.43609756097561,0.707235831883712
Sgk3,0.33531746031746,0.0158064170599127,0.478835978835979,1
Skap2,0.645555555555556,0.0111298209906541,0.585227272727273,0.244815504256652
Sncaip,0.694940476190476,0.0070249759265295,0.622549019607843,0.32477661742263
Stox2,0.437183470310847,0.0815606033464958,0.42081940120681,0.148802259956185
Timp4,0.680459770114943,0.0974450629600274,0.615384615384615,0.62661535769235
Usp6nl,0.382608695652174,0.0641867472771728,0.395238095238095,0.62661535769235
Xdh,0.606093906093906,0.0032624633987592,0.511996779388084,1
