gene,condition
1700025G04Rik,F1_Aged
2610307P16Rik,F1_Aged
9530026P05Rik,F1_Aged
9630014M24Rik,F1_Aged
Ackr3,F1_Aged
Actn1,F1_Aged
Adam10,F1_Aged
Aff1,F1_Aged
Ankrd11,F1_Aged
Ash1l,F1_Aged
Atp2a2,F1_Aged
B2m,F1_Aged
Btg2,F1_Aged
Camkmt,F1_Aged
Ccdc85a,F1_Aged
Ccnd3,F1_Aged
Cdc42,F1_Aged
Cdh13,F1_Aged
Cemip2,F1_Aged
Col5a2,F1_Aged
Cpne8,F1_Aged
Csgalnact1,F1_Aged
Cst3,F1_Aged
Dach1,F1_Aged
Dcbld1,F1_Aged
Dennd1b,F1_Aged
Dennd4a,F1_Aged
Dyrk1a,F1_Aged
Elf1,F1_Aged
Ets1,F1_Aged
Evl,F1_Aged
Fam117b,F1_Aged
Fbxl17,F1_Aged
Fhl2,F1_Aged
Fmo1,F1_Aged
Gda,F1_Aged
Gls,F1_Aged
Gnb1,F1_Aged
Gphn,F1_Aged
Grb10,F1_Aged
Hdac9,F1_Aged
Heg1,F1_Aged
Hip1,F1_Aged
Hpcal1,F1_Aged
Igfbp7,F1_Aged
Irak2,F1_Aged
Itpr1,F1_Aged
Lmo7,F1_Aged
Lrrc8c,F1_Aged
Lrrfip1,F1_Aged
Ltbp4,F1_Aged
Ly6c1,F1_Aged
Lyn,F1_Aged
Map3k3,F1_Aged
Marchf3,F1_Aged
Mcu,F1_Aged
Med13,F1_Aged
Mgll,F1_Aged
Mllt3,F1_Aged
Nbeal1,F1_Aged
Ncald,F1_Aged
Nfkbia,F1_Aged
Niban1,F1_Aged
Nr3c1,F1_Aged
Nrp1,F1_Aged
Nsd1,F1_Aged
Nxpe4,F1_Aged
Oxr1,F1_Aged
Palld,F1_Aged
Pbx3,F1_Aged
Pde4b,F1_Aged
Pdlim1,F1_Aged
Pdzd2,F1_Aged
Picalm,F1_Aged
Pik3r3,F1_Aged
Plcl1,F1_Aged
Plpp3,F1_Aged
Plxna2,F1_Aged
Ppm1h,F1_Aged
Ptpn14,F1_Aged
Ptprb,F1_Aged
Rabgap1,F1_Aged
Rapgef2,F1_Aged
Rasa4,F1_Aged
Rasgrp3,F1_Aged
Rbms2,F1_Aged
Rnf144a,F1_Aged
Robo2,F1_Aged
Samd12,F1_Aged
Shroom3,F1_Aged
Slc12a2,F1_Aged
Slc6a6,F1_Aged
Smad1,F1_Aged
Sptan1,F1_Aged
Sptlc2,F1_Aged
Srgap1,F1_Aged
St6galnac3,F1_Aged
Stag1,F1_Aged
Stard13,F1_Aged
Stox2,F1_Aged
Tacc1,F1_Aged
Timp4,F1_Aged
Ulk2,F1_Aged
Utrn,F1_Aged
Vps13a,F1_Aged
Wipf1,F1_Aged
Wt1,F1_Aged
Zbtb46,F1_Aged
Zbtb7c,F1_Aged
Zfp277,F1_Aged
Abcc5,F1_Young
Adamts9,F1_Young
Adamtsl3,F1_Young
Adgrl2,F1_Young
Akt3,F1_Young
Ank2,F1_Young
Anxa3,F1_Young
Aopep,F1_Young
Arb2a,F1_Young
Atf7,F1_Young
Bicc1,F1_Young
Birc6,F1_Young
Bmpr2,F1_Young
Cavin2,F1_Young
Cd200,F1_Young
Cgnl1,F1_Young
Clic4,F1_Young
Cnot4,F1_Young
Cobll1,F1_Young
Col4a2,F1_Young
Creb3l2,F1_Young
Crim1,F1_Young
Cyth1,F1_Young
Cyth3,F1_Young
Ddx17,F1_Young
Depp1,F1_Young
Dock4,F1_Young
Eeig2,F1_Young
Elk3,F1_Young
Elmo1,F1_Young
Fcho2,F1_Young
Fer,F1_Young
Fmnl2,F1_Young
Frmd4b,F1_Young
Fryl,F1_Young
Fyn,F1_Young
Ghr,F1_Young
Gpatch8,F1_Young
Hnrnph1,F1_Young
Hsp90ab1,F1_Young
Hspb1,F1_Young
Igf1r,F1_Young
Itpr2,F1_Young
Jmjd1c,F1_Young
Kcnq1ot1,F1_Young
Kif13a,F1_Young
Kitl,F1_Young
Klf4,F1_Young
Klf7,F1_Young
Kmt2c,F1_Young
Lamc1,F1_Young
Lpl,F1_Young
Ltbp1,F1_Young
Luc7l2,F1_Young
Luzp1,F1_Young
Ly6a,F1_Young
Malat1,F1_Young
Man1a,F1_Young
Mdm4,F1_Young
Mkln1,F1_Young
Mllt10,F1_Young
Nav1,F1_Young
Nbea,F1_Young
Ncoa2,F1_Young
Nedd4,F1_Young
Nfia,F1_Young
Nfkb1,F1_Young
Nlk,F1_Young
Osmr,F1_Young
Pafah1b1,F1_Young
Parp8,F1_Young
Pde10a,F1_Young
Pik3c2a,F1_Young
Plcb4,F1_Young
Plekhg1,F1_Young
Plod2,F1_Young
Ptprk,F1_Young
Rassf3,F1_Young
Rbm25,F1_Young
Rbpms,F1_Young
Rcsd1,F1_Young
Rhoj,F1_Young
Rin3,F1_Young
Rps2,F1_Young
Samd4,F1_Young
Sash1,F1_Young
Sema6a,F1_Young
Septin7,F1_Young
Setd5,F1_Young
Slco3a1,F1_Young
Smg6,F1_Young
Smyd3,F1_Young
Sorbs1,F1_Young
Srgap2,F1_Young
St3gal6,F1_Young
St8sia4,F1_Young
Timp3,F1_Young
Tulp4,F1_Young
Wac,F1_Young
Wdfy3,F1_Young
Wnk1,F1_Young
Wwtr1,F1_Young
Zcchc7,F1_Young
Zfp521,F1_Young
Zhx3,F1_Young
