gene,pval,padj,celltype,condition,chromosome
1110002E22Rik,0.0868464111255438,0.383674408583031,Cardiomyocyte,F1_Aged,3
1110002L01Rik,7.5938986669353e-4,0.00449850715228973,Cardiomyocyte,F1_Aged,12
1110019D14Rik,6.9311101825805e-4,0.00413210528585598,Cardiomyocyte,F1_Aged,6
1700025G04Rik,7.146277425777651e-110,1.22555844357037e-108,Cardiomyocyte,F1_Aged,1
1700087I21Rik,4.3010454686849194e-30,3.99758621513332e-29,Cardiomyocyte,F1_Aged,14
1700096K18Rik,1.4194103379293e-4,8.8412079580839e-4,Cardiomyocyte,F1_Aged,5
2010001K21Rik,4.619497008064739e-11,3.50160016829408e-10,Cardiomyocyte,F1_Aged,13
2210408F21Rik,2.18462498048971e-103,3.58651749309542e-102,Cardiomyocyte,F1_Aged,6
2310014F06Rik,1.82770953253008e-33,1.74085336524075e-32,Cardiomyocyte,F1_Aged,7
2310016D03Rik,0.091855683527271,0.402538588978664,Cardiomyocyte,F1_Aged,12
2310039L15Rik,0.0507256241219784,0.243170380053563,Cardiomyocyte,F1_Aged,10
2310057M21Rik,9.1146103814538e-4,0.0053604738283006,Cardiomyocyte,F1_Aged,7
2610008E11Rik,8.20822399287568e-7,5.62775819196744e-6,Cardiomyocyte,F1_Aged,10
2610035D17Rik,2.76687310326969e-10,2.0637841160689704e-9,Cardiomyocyte,F1_Aged,11
2810449D17Rik,1.36837294148357e-12,1.0643986666254399e-11,Cardiomyocyte,F1_Aged,19
3425401B19Rik,0.0836363992131391,0.371691627051861,Cardiomyocyte,F1_Aged,14
4632427E13Rik,1.7623556879740697e-131,3.73871170948786e-130,Cardiomyocyte,F1_Aged,7
4732440D04Rik,2.5276833887569496e-206,1.7570088576742497e-204,Cardiomyocyte,F1_Aged,1
4833420G17Rik,8.91638438404518e-10,6.5276973876040104e-9,Cardiomyocyte,F1_Aged,13
4921511C10Rik,0.00145843809505273,0.00844808024208737,Cardiomyocyte,F1_Aged,3
4930402D18Rik,1.310666452025e-5,8.62426444867208e-5,Cardiomyocyte,F1_Aged,15
4930412C18Rik,3.1034658417725e-4,0.001896917288133,Cardiomyocyte,F1_Aged,4
4930428N03Rik,7.1598999499412e-4,0.00425685043429627,Cardiomyocyte,F1_Aged,14
4930447C04Rik,0.0145210970467392,0.0762095165489109,Cardiomyocyte,F1_Aged,12
4930458D05Rik,5.0760742028003e-4,0.00305969269751823,Cardiomyocyte,F1_Aged,5
4930481A15Rik,4.18181445797352e-38,4.11505657656611e-37,Cardiomyocyte,F1_Aged,19
4930512H18Rik,2.8049691269216e-4,0.00171768212514586,Cardiomyocyte,F1_Aged,8
4930517O19Rik,0.0243997679443364,0.124135838977924,Cardiomyocyte,F1_Aged,14
4930522O17Rik,6.86326353182897e-13,5.3577734667826195e-12,Cardiomyocyte,F1_Aged,4
4930544I03Rik,0.0140566998732331,0.0738909710150485,Cardiomyocyte,F1_Aged,12
4930557K07Rik,0.048365632541579,0.233398111541121,Cardiomyocyte,F1_Aged,6
5031425E22Rik,1.1686663879344e-203,7.71319816036707e-202,Cardiomyocyte,F1_Aged,5
5830417I10Rik,1.7225460418025399e-12,1.3367120946719499e-11,Cardiomyocyte,F1_Aged,3
9330159M07Rik,1.19159069459758e-99,1.87610930084352e-98,Cardiomyocyte,F1_Aged,9
9330162G02Rik,2.38658168567095e-5,1.5531797543998e-4,Cardiomyocyte,F1_Aged,7
9430037G07Rik,1.18346671442836e-13,9.350388769135339e-13,Cardiomyocyte,F1_Aged,9
9530026P05Rik,8.648294698327489e-135,1.8962401865393196e-133,Cardiomyocyte,F1_Aged,6
A330102I10Rik,9.66065457272345e-10,7.0607065971113e-9,Cardiomyocyte,F1_Aged,13
A730017L22Rik,1.57834727094359e-13,1.24552186815766e-12,Cardiomyocyte,F1_Aged,2
A930029G22Rik,3.49890659670784e-8,2.49583577542456e-7,Cardiomyocyte,F1_Aged,17
AI839979,2.05108569691591e-10,1.5351424906814e-9,Cardiomyocyte,F1_Aged,5
AW011738,2.9486873366916e-4,0.00180400028632424,Cardiomyocyte,F1_Aged,4
Aaas,0.00117261188128936,0.00684093395745063,Cardiomyocyte,F1_Aged,15
Aak1,2.83479692602662e-218,2.4371793571918297e-216,Cardiomyocyte,F1_Aged,6
Aasdh,0.0547793445703188,0.259180476048127,Cardiomyocyte,F1_Aged,5
Abca8a,0.02686914011254,0.135779552587267,Cardiomyocyte,F1_Aged,11
Abcb4,9.9172648013768e-4,0.00581160611768579,Cardiomyocyte,F1_Aged,5
Abcc5,4.1503670130103e-4,0.00252499981964706,Cardiomyocyte,F1_Aged,16
Abcc9,0.00711124655323515,0.0386563102985345,Cardiomyocyte,F1_Aged,6
Abcd3,7.80892290581885e-66,9.48392235439041e-65,Cardiomyocyte,F1_Aged,3
Abhd18,7.110216913756429e-231,8.44693769354264e-229,Cardiomyocyte,F1_Aged,3
Abhd2,1.55368825660268e-14,1.23651632991984e-13,Cardiomyocyte,F1_Aged,7
Abhd6,1.51114902883479e-9,1.10076340628835e-8,Cardiomyocyte,F1_Aged,14
Abi2,0.0821976016853304,0.366606914274368,Cardiomyocyte,F1_Aged,1
Abra,2.5920448934101495e-95,3.9204679012828494e-94,Cardiomyocyte,F1_Aged,15
Abtb2,4.12438362502024e-67,5.06554936200795e-66,Cardiomyocyte,F1_Aged,2
Abtb3,0.00774739370344212,0.0419746852887984,Cardiomyocyte,F1_Aged,10
Acaa2,0.0102635308877835,0.0548339417994911,Cardiomyocyte,F1_Aged,18
Acaca,0.0255169035574716,0.129246083600403,Cardiomyocyte,F1_Aged,11
Acacb,7.351744865881489e-117,1.34933429645139e-115,Cardiomyocyte,F1_Aged,5
Acad12,1.6364233636002e-4,0.00101542167690067,Cardiomyocyte,F1_Aged,5
Acadl,2.22401502651024e-53,2.48830722315375e-52,Cardiomyocyte,F1_Aged,1
Acadsb,0.0506713141732329,0.243088375042514,Cardiomyocyte,F1_Aged,7
Acat1,1.3412952511279598e-43,1.3801611292708799e-42,Cardiomyocyte,F1_Aged,9
Aco2,1.0948953939049798e-98,1.69527168335904e-97,Cardiomyocyte,F1_Aged,15
Acox1,5.67573450869995e-197,3.06489663469797e-195,Cardiomyocyte,F1_Aged,11
Acsf2,0.0498935904380266,0.239727918243883,Cardiomyocyte,F1_Aged,11
Acsl1,2.9134222563671398e-244,4.75907525577573e-242,Cardiomyocyte,F1_Aged,8
Acsl6,0.034904626964068,0.173434853675453,Cardiomyocyte,F1_Aged,11
Acsm5,2.1295860542949997e-119,4.0100044031018795e-118,Cardiomyocyte,F1_Aged,7
Acss1,1.40293274966706e-99,2.2035486986357197e-98,Cardiomyocyte,F1_Aged,2
Acss3,0.00751123842266916,0.040769646891996,Cardiomyocyte,F1_Aged,10
