"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.4995,0.509457364341085,215,0.3143,0.331752838950652,0.0132968226134578,0.0399207129209458,1,1
"2210408F21Rik",0.4765,0.474226804123711,97,1.0523,0.634155085082071,-0.498805856971441,-0.399757383264131,0.371238485953245,0.743422128840981
"2210408I21Rik",0.4363,0.423076923076923,26,2.6199,1.52155891113008,-0.299560281858908,-0.123723961537983,0.618877833605106,0.93872601060591
"2610307P16Rik",0.5047,0.493078449328449,312,0.3594,0.316138690051895,-0.0897301606560124,0.0288745053940431,1,1
"2900026A02Rik",0.6314,0.644345238095238,112,0.1544,0.262356657022232,0.678071905112637,-2.59667589549102,0.022673446397015,0.158394780463654
"4732440D04Rik",0.317,0.317708333333333,96,2.0746,1.01298906297611,-1.62015192918346,-8.51034188000662,3.69748357581297e-05,0.00119605555669776
"4732471J01Rik",0.3059,0.308771929824561,114,0.839,0.523725007293445,-1.3536369546147,-9.70399815163535,1.0556413570241e-05,0.000388060471932869
"4930523C07Rik",0.5005,0.499183006535948,102,0.1071,0.258145334833401,-0.314873337353411,-0.0537761853615137,0.742948121163679,1
"5031425E22Rik",0.5319,0.534722222222222,120,1.0735,0.609429111011437,0.251538766995964,-0.242919016666391,0.485789759967089,0.840529259105846
"5330438D12Rik",0.5664,0.574626865671642,67,0.8696,0.718868568420936,0.403355694231209,-0.293017107224372,0.443956773875587,0.805663851468698
"9530026P05Rik",0.4502,0.437946172933766,403,0.4548,0.333139266729069,-0.379663169176959,-4.94107655692704,0.00166889538143136,0.0275924036396652
"9630014M24Rik",0.4865,0.49,130,0.9877,0.584835872052719,0.0671141958585366,0.249401456424607,1,1
"AU020206",0.6033,0.585227272727273,88,0.2689,0.371744536212609,0.814444346843923,-2.57688272108209,0.0231960200032928,0.160369439115939
"AW554918",0.5253,0.534632034632035,154,0.9355,0.565185836883512,0.195256291398934,-0.223039331652288,0.504203041127085,0.849909710060265
"Aak1",0.4407,0.448863636363636,132,1.0331,0.594638208410833,-0.496425826119499,-1.60705805885141,0.073005610898012,0.317146055340354
"Abca8a",0.6914,0.683760683760684,39,0.3955,0.62426800156291,1.08746284125034,-3.07803403937574,0.013096200794932,0.116689501693766
"Abcb1a",0.6761,0.679324894514768,79,1.3204,0.800496141517797,1.42449782852791,-5.10759481550034,0.00139288671454821,0.0232878138342442
"Abcc4",0.7725,0.779696493982208,91,0.9249,0.583267123626942,1.75207248655641,-13.5539367694754,1.92412672298884e-07,1.0225359156455e-05
"Abcc5",0.5037,0.510869565217391,92,0.5519,0.464842080697929,-0.479992941119614,0.00177393836376183,1,1
"Abcg2",0.5753,0.582554517133956,107,0.3892,0.351521213984257,0.280107919192735,-0.157236830305933,0.574947855499685,0.90916302761268
"Abhd17b",0.3659,0.367924528301887,53,4.5677,2.18070640343693,-1.32192809488736,-2.83296398706133,0.0172975634749474,0.139128510544442
"Abi1",0.5565,0.559055118110236,254,0.0843,0.238232929455381,0.665882496104724,-3.78591243531031,0.00592877269560499,0.0683877036516297
