"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.509457364341085,215,-0.0675632838126345,-2.9605152268478,0.0149612059937995,0.107691772612374
"2210408F21Rik",0.474226804123711,97,-0.101283335837181,0.073741192824258,1,1
"2210408I21Rik",0.423076923076923,26,-0.0671141958585375,0.604458382188714,1,1
"2610307P16Rik",0.493078449328449,312,0.0740005814437767,18.214889976553,1,1
"2900026A02Rik",0.644345238095238,112,0.748461233004036,0.274258008217544,1,1
"4732440D04Rik",0.317708333333333,96,-1.13039663725568,0.0657566991529279,1,1
"4732471J01Rik",0.308771929824561,114,-1.25375659224578,-1.97497393082602,0.0468728200630562,0.304980357615518
"4930523C07Rik",0.499183006535948,102,0,0.107169671791098,1,1
"5031425E22Rik",0.534722222222222,120,0.167456745851563,0.178940432495693,1,1
"5330438D12Rik",0.574626865671642,67,0.296981737757132,0.27375558596313,1,1
"9530026P05Rik",0.437946172933766,403,-0.211504105193712,-14.8315577403641,5.1403654165178e-08,6.49080039882333e-07
"9630014M24Rik",0.49,130,-0.134649526694782,-2.92103531042395,0.0156474019263802,0.111553248183285
"AU020206",0.585227272727273,88,0.655351828612554,0.0948113616179285,1,1
"AW554918",0.534632034632035,154,0.0595010117486616,0.451158478878938,1,1
"Aak1",0.448863636363636,132,-0.457472765599241,0.344033729444988,1,1
"Abca8a",0.683760683760684,39,1.28950661719499,-6.85984810016517,0.000212217195037445,0.00193989951291898
"Abcb1a",0.679324894514768,79,1,0.0146368696839119,1,1
"Abcc4",0.779696493982208,91,1.50250034052918,1.83283282045176,1,1
"Abcc5",0.510869565217391,92,-0.0269670476002695,0.106198689274208,1,1
"Abcg2",0.582554517133956,107,0.43389652653016,0.117648807182121,1,1
"Abhd17b",0.367924528301887,53,-0.935869662580284,0.121378995065747,1,1
"Abi1",0.559055118110236,254,0.325875279404025,2.67027486694116,1,1
"Abi2",0.428571428571429,56,-0.209453365628949,0.448968242670844,1,1
"Ablim1",0.473479645826585,735,-0.165101082313965,7.09717580023653,1,1
"Ablim3",0.477808002808003,370,-0.207971905590277,32.5147280691733,1,1
"Acer2",0.36235632183908,232,-0.967723596976244,13.5186100691235,1,1
"Acer3",0.605555555555556,60,0.569365645670138,0.235386083345787,1,1
"Ackr3",0.555645161290323,124,0.518467088934249,-1.84429952791677,0.0547856141014217,0.350345772579907
"Actn1",0.73030303030303,75,1.04580368961313,-9.67057465850478,1.09324788709481e-05,0.000113911842781208
"Actn4",0.53859649122807,95,0.0515303006400814,-0.298445781987212,0.439766499026424,1
"Actr2",0.478371501272265,131,-0.192645077942396,0.759238691753893,1,1
"Actr3",0.470873786407767,103,-0.0727563424353139,0.0903937633441529,1,1
"Acvr2a",0.453125,128,-0.362570079384708,0.317390821385942,1,1
"Acyp2",0.392505411255411,264,-0.642738832000357,1.0482198982653,1,1
"Adam10",0.415631469979296,161,-0.64110557875869,-24.810081221262,1.86586279344301e-12,3.02188648068488e-11
"Adamts1",0.601025641025641,65,0.796466605914868,-17.8821090135335,2.22700752890988e-09,2.98940650277092e-08
"Adamts9",0.530151482612766,452,0.108275851985764,65.0593013749826,1,1
"Adamtsl1",0.596774193548387,31,0.956931278108114,-0.198721650203634,0.528412605546168,1
"Adamtsl3",0.326923076923077,130,-0.925999418556223,-0.134029109916611,0.604637318991707,1
"Adarb1",0.525413711583924,141,0.0771678605224602,0.0428933358557799,1,1
"Adcy9",0.534552845528455,82,0.148863385914482,0.067193114986992,1,1
"Adgrf5",0.524254087599952,399,0.1808628479272,57.4942596612022,1,1
"Adgrl2",0.617460317460317,315,0.543705163243319,-0.0609645520509048,0.726951566144663,1
"Adgrl4",0.515277777777778,574,0.123456553846,2.23248370555405,1,1
"Adh1",0.454861111111111,48,-0.374395514781498,0.193157360210407,1,1
"Adipor2",0.554226475279107,209,0.349746039027125,0.788289160954093,1,1
"Adk",0.503472222222222,96,-0.117356950638159,0.0195409356306442,1,1
"Afap1",0.488636363636364,88,0,0.0713807546832612,1,1
"Afap1l1",0.602845528455285,205,0.627190736110454,0.292996357437261,1,1
"Afdn",0.437308868501529,109,-0.242856523896163,0.180846966873503,1,1
"Aff1",0.501164874551971,186,0.12075215946061,-54.2321698535771,2.12641869043964e-25,8.33779960198701e-24
"Afg1l",0.494871794871795,130,0.0565835283663674,0.206593160557006,1,1
"Afg2a",0.606,100,0.616671360448494,0.112990327996783,1,1
"Agap1",0.5125,200,0,0.298282151967896,1,1
"Agmo",0.830795739348371,152,2.19377174339668,-23.2596528059977,9.07202357383702e-12,1.43801224734225e-10
"Ago3",0.4760348583878,153,-0.0901978089715785,-0.14285198390283,0.592986773747035,1
"Ahnak",0.473892100192678,173,-0.267283878835152,-25.4273736436111,9.94604255027423e-13,1.68404584089870e-11
"Aig1",0.5625,80,0.510961919277379,0.000100041461358558,1,1
"Airn",0.286438679245283,424,-1.00564656314114,47.3187511392064,1,1
"Akap10",0.431034482758621,87,-0.480625840906421,0.13220539026959,1,1
"Akap12",0.555968778696051,99,0.405256478486258,-3.3341573692785,0.00981419467547465,0.0731157503322862
"Akap13",0.500721153846154,208,0.0210616155278296,0.605617990667952,1,1
"Akap6",0.402203856749311,121,-0.519374159093579,0.426941426395246,1,1
"Akt3",0.471571786609381,399,-0.0673230248436145,59.3337639847846,1,1
"Ambra1",0.530510018214936,183,0.180572245641821,1.06492870336845,1,1
"Amotl1",0.446886446886447,91,-0.334419039070559,0.0890266164041265,1,1
"Anapc1",0.46141975308642,108,-0.316473664795255,0.122147300058188,1,1
"Angpt1",0.5,22,0,-1.69342052054234,0.0657187458685633,0.402966795654977
"Ank",0.519736842105263,76,0.192645077942396,0.0194583997495386,1,1
"Ank2",0.5,88,-0.0715532610250342,-0.892351848305424,0.181572798751372,0.932908517722567
"Ankhd1",0.567930489731438,211,0.424752654112056,1.2502863923556,1,1
"Ankib1",0.542168674698795,83,0.212993723334198,0.220738271626672,1,1
"Ankrd11",0.516060606060606,275,0.0767571989840379,-34.6805025617555,8.19938370648238e-17,1.77059155400851e-15
"Ankrd12",0.533333333333333,195,0.112474729258413,0.522527258519602,1,1
"Ankrd17",0.469763513513514,296,-0.236802864260614,4.50738623901424,1,1
"Ankrd28",0.455284552845528,82,-0.226770861847022,-0.103692309444611,0.648825081586822,1
"Ankrd33b",0.616352201257862,106,0.584962500721157,-1.04207066841668,0.148835891720423,0.809363060815439
"Ankrd44",0.507699275362319,184,0.0978473233981445,0.778011291057624,1,1
"Anks1",0.521024464831804,109,0.0204641025597154,-0.704319196789641,0.235282559194202,1
"Ano6",0.525982256020279,263,0.204013892021593,3.05757421540125,1,1
"Anxa2",0.511217948717949,104,0.169925001442313,0.102577054490723,1,1
"Anxa3",0.486545138888889,192,-0.0938669234642222,0.846781033638024,1,1
"Aopep",0.486299435028249,236,-0.027834208196726,1.56843490443617,1,1
"Ap2a2",0.614427860696517,67,0.785875194647152,0.14870033814433,1,1
"Ap2b1",0.537170263788969,139,0.127111917903339,0.643692785009193,1,1
"Ap3b1",0.625874125874126,143,0.697072867042694,0.729918889729078,1,1
"Ap3s1",0.496862745098039,85,-0.0824621601919731,0.0240048843704841,1,1
"Apaf1",0.515503875968992,86,-0.0285691521967708,-0.0375836524743391,0.7839566218321,1
"Apba1",0.589711934156379,162,0.394859617341214,-58.2416468666867,3.72503903923915e-27,1.54175226901843e-25
"Apbb2",0.577171085690639,537,0.421826664941483,26.318217379948,1,1
"Apc",0.50187265917603,178,-0.0262315415731798,0.886403926951402,1,1
"Aplp2",0.505420054200542,123,0.084888897586513,0.320667058928848,1,1
"Apold1",0.608585858585859,66,0.600392541290763,-3.01129328037712,0.0141239319250886,0.102158536739719
"App",0.479882232462878,465,-0.26367717485351,29.6980933088215,1,1
"Appl1",0.411858974358974,104,-0.604071323668861,0.0651458616807332,1,1
"Aqp1",0.499579124579125,297,-0.0376376573633652,-19.1966708765053,5.78293627319078e-10,7.8332500427766e-09
"Arap3",0.441558441558442,77,-0.358453970912476,0.0928013240743013,1,1
"Arb2a",0.420726144864076,261,-0.482782105914678,0.33721683678209,1,1
"Arfgef1",0.531912878787879,176,-0.0124909441831971,-0.171963835045631,0.557570822552001,1
"Arfgef2",0.472602739726027,73,-0.169925001442312,0.197182102837274,1,1
"Arglu1",0.501355013550135,123,-0.0406419844973458,0.427829464707003,1,1
"Arhgap10",0.552884615384615,104,0.415037499278844,0.0636380714727949,1,1
"Arhgap18",0.485028248587571,177,-0.248576353140103,-30.9205700615491,3.72313823216404e-15,7.20451424146029e-14
"Arhgap21",0.553435114503817,131,0.313660478903762,0.446239416541118,1,1
"Arhgap24",0.525252525252525,33,0.131244533278253,1.15214349586017,1,1
"Arhgap26",0.450328692962104,431,-0.258602159518533,113.385219505341,1,1
"Arhgap28",0.518779342723005,71,-0.137503523749935,0.122632343283868,1,1
"Arhgap29",0.528617571059432,258,0.264594919821411,2.6282703867609,1,1
"Arhgap31",0.396174863387978,61,-0.472068444315223,6.86237251095291,1,1
"Arhgap35",0.563063063063063,74,0.444784842672896,0.140149532660942,1,1
"Arhgap5",0.516666666666667,120,-0.094327382548153,0.0346978035255177,1,1
"Arhgef11",0.515873015873016,105,0.121306296222134,0.113990473575711,1,1
"Arhgef12",0.494444444444444,345,0.00642626915943278,13.8363773190581,1,1
"Arhgef15",0.461786372007366,181,-0.230297619421794,1.43901561807854,1,1
"Arhgef2",0.481308411214953,107,-0.0727563424353139,0.080287314851148,1,1
"Arhgef28",0.537313432835821,67,0.211504105193712,0.212230014974949,1,1
"Arhgef3",0.454753309265945,277,-0.216623940876835,3.63034408680113,1,1
"Arid1b",0.494593088071349,299,-0.0356239097307216,3.63652764941446,1,1
"Arid2",0.527272727272727,165,0.131911675505581,0.880960990323047,1,1
"Arid4b",0.487222222222222,150,-0.0648511443499675,0.82767858652474,1,1
"Arid5b",0.507383153569594,118,-0.0824621601919726,-25.4523180449849,9.69642911546155e-13,1.66065280253307e-11
"Arih1",0.414944903581267,242,-0.427953387164129,0.0417070018440882,1,1
"Arl15",0.498406247895696,429,0.0281968918306521,-6.26728264007977,0.000399492545235776,0.0036075387418261
"Armh3",0.519345238095238,112,0.267104070142841,0.15838558457618,1,1
"Arnt",0.50936329588015,89,0,0.116938289971657,1,1
"Arpc2",0.473282442748092,131,-0.190102883379943,0.391185234716914,1,1
"Asap1",0.499150514477148,398,-0.0439880123773373,77.5531388437308,1,1
"Asb3",0.56734693877551,98,0.584962500721156,-0.0704044176256815,0.707478241034175,1
"Ascc3",0.495810055865922,179,0.126633438531017,0.192121921742512,1,1
"Ash1l",0.542735042735043,195,0.367057470377022,-13.0980800911394,3.08435226024077e-07,3.64736894266567e-06
"Asxl1",0.4,115,-0.532495080827021,0.192815968384366,1,1
