"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.523456790123457,54,-0.0721497857558351,0.677624880283261,1,1
"2210408F21Rik",0.487878787878788,55,-0.0384741478146355,2.17853495021819,1,1
"2610307P16Rik",0.410967741935484,155,-0.512061953673709,50.6813983100439,1,1
"2900026A02Rik",0.613095238095238,56,0.491853096329674,-16.3484778500834,1.07705780550628e-08,7.56877894233046e-08
"4632427E13Rik",0.434391534391534,63,-0.415037499278844,2.7354076462683,1,1
"5031425E22Rik",0.529220779220779,77,0,-41.412748862015,8.96263709166852e-20,2.56596980439251e-18
"9530026P05Rik",0.468005148005148,185,-0.333830183943654,29.7653367190011,1,1
"AW554918",0.373563218390805,87,-0.880418384247328,-11.3532545316443,1.88727492622873e-06,1.01309966526028e-05
"Aak1",0.440350877192982,95,-0.362570079384708,15.5522181810731,1,1
"Abca1",0.441840277777778,96,-0.084888897586513,18.5089486676624,1,1
"Abca8a",0.636210086210086,39,0.852442811586142,-71.7331169731028,4.64827922062521e-33,1.79655991877164e-30
"Abca8b",0.653601953601954,26,0.641546029087524,-53.4923012762943,4.48641555915506e-25,3.46799922722686e-23
"Abcc5",0.393459915611814,79,-0.584962500721156,-4.72472674386799,0.00211212024948432,0.0078118131715377
"Abhd17b",0.46969696969697,44,-0.222392421336448,1.06768924099397,1,1
"Abi1",0.733879138180758,156,1.6154645891185,-6.48525658168674,0.000316435278327007,0.00127398161534779
"Abi3bp",0.467372134038801,27,-0.632268215499513,-5.60605248782987,0.00081265487003326,0.00312528464943139
"Ablim1",0.414777162727982,244,-0.312080308931015,3.29562221783129,1,1
"Ablim3",0.563063063063063,37,0.695145418471579,1.31816264495796,1,1
"Abtb2",0.618376928236083,71,0.817135942850189,4.511321049549,1,1
"Acap2",0.561111111111111,60,0.160464672193246,1.80599962282564,1,1
"Acer2",0.577712165551839,184,0.375509135092207,18.7168097137847,1,1
"Acer3",0.512121212121212,55,0.165059246270496,1.03345299278109,1,1
"Ackr3",0.508421052631579,95,0.174497731232136,-8.33240900148166,4.46005351937301e-05,0.000199862108433353
"Actn1",0.680268199233717,87,0.885541275415085,-66.3206132191138,1.08320278382938e-30,1.39552625316685e-28
"Actn4",0.5,65,0.074000581443777,2.77684857593412,1,1
"Actr2",0.455128205128205,52,-0.478047296804645,2.138765398876,1,1
"Actr3",0.491496598639456,49,-0.0780025120012731,-26.701359393129,2.71720540700728e-13,3.44327832724037e-12
"Acvr1",0.59969696969697,110,0.485426827170242,-24.9565918867512,1.60701249166915e-12,1.74960655783134e-11
"Acyp2",0.425742574257426,101,-0.349149563622386,-24.871716820865,1.75223639098131e-12,1.8943758464735e-11
"Adam10",0.416666666666667,93,-0.736965594166206,1.61791760268251,1,1
"Adamts1",0.573757763975155,46,0.857980995127572,-7.85130891008922,7.41215138409771e-05,0.000325545057949291
"Adamts9",0.583267587113741,65,0.28590887208638,-43.0275757116042,1.7498670925154e-20,5.75594579793364e-19
"Adamtsl3",0.518918918918919,37,-0.137503523749935,-10.3132204615742,5.58198433915813e-06,2.79279863700274e-05
"Adarb1",0.636054421768708,49,0.932885804141463,2.04325858231822,1,1
"Add1",0.5,50,-0.0931094043914817,1.47181477121468,1,1
"Adgra2",0.497058823529412,68,0.134301091711591,2.44064743719203,1,1
"Adgrf5",0.499581430745814,146,0.0114047632722492,-14.4514931727426,7.60955014964117e-08,4.92232825579299e-07
"Adgrg6",0.298754789272031,87,-0.955145764215739,-49.4459118960554,2.66678139636404e-23,1.3742813462596e-21
"Adgrl2",0.452798982188295,131,-0.432315490710679,48.3388620317589,1,1
"Adgrl4",0.6121346205417,113,0.462343214057201,-49.4781801749919,2.58127661535749e-23,1.3742813462596e-21
"Adh6b",0.753623188405797,23,1.41503749927884,-14.6265430952559,6.35149830450913e-08,4.14321366192874e-07
"Adipor2",0.662745098039216,68,0.648527629498622,-13.4526080394436,2.13681412101547e-07,1.31091850440076e-06
"Adk",0.477820512820513,130,-0.224560258019158,55.1879212493168,1,1
"Adss2",0.46969696969697,33,-0.192645077942396,4.35893945144363,1,1
"Afap1l1",0.604326923076923,104,0.60334103003601,5.75955512092375,1,1
"Aff1",0.402435064935065,154,-0.615519967697126,19.0148006549803,1,1
"Afg1l",0.431372549019608,51,-0.357552004618083,1.6989556156983,1,1
"Agap1",0.536950904392765,129,0.217591435072627,38.9249306706397,1,1
"Agfg1",0.44758064516129,62,-0.338801913451759,-1.2396379722081,0.115355346312749,0.349685030195116
"Agmo",0.771717171717172,33,1.96962635095648,-17.1080769703567,4.93178645095902e-09,3.64810614984816e-08
"Ago3",0.421474358974359,104,-0.295455883526171,2.0145836901639,1,1
"Agps",0.44047619047619,42,-0.383328639551505,1.1909197513175,1,1
"Ahnak",0.52921686746988,166,0.0655883416275769,32.7184933234197,1,1
"Ahsg",0.75792349726776,61,1.30256277002043,-33.8993076278534,1.81076615186707e-16,3.29346408327822e-15
"Aig1",0.638513513513513,74,0.834940753729504,-2.99049720884618,0.0144608464919662,0.0484955936585243
"Airn",0.851685952935953,260,2.31647366479525,-13.4171822149624,2.21660469062399e-07,1.35449440778841e-06
"Akap10",0.578205128205128,65,0.280107919192735,3.35216682862684,1,1
"Akap13",0.501366582135813,169,-0.0726037489568399,-0.364846626764006,0.392982635027864,1
"Akt3",0.521003401360544,196,0.170800688899176,11.5055317210079,1,1
"Alcam",0.17760101010101,30,-0.802553935793783,-15.7822277007203,1.92928835932155e-08,1.32563546822716e-07
"Ambra1",0.568253968253968,105,0.215728691055437,11.843603288175,1,1
"Amotl1",0.518264840182648,73,0.125530882083859,2.64650514996474,1,1
"Anapc1",0.461187214611872,73,-0.389042290745899,3.00432710208918,1,1
"Ank2",0.48187134502924,57,-0.125530882083859,-59.1221648319592,1.53292777923918e-27,1.69279024764555e-25
"Ankhd1",0.503058103975535,109,-0.158262083916732,19.5118275511452,1,1
"Ankib1",0.596618357487923,69,0.612976876890753,-1.61163665727855,0.0725983218139303,0.224474011048673
"Ankrd11",0.535430463576159,151,0.0124909441831971,65.3906831125273,1,1
"Ankrd12",0.540849673202614,102,0.241008099503795,11.3463345948559,1,1
"Ankrd17",0.522717622080679,157,0.0398010080579752,0.489505614912929,1,1
"Ankrd33b",0.64429012345679,108,0.797183117000313,25.301841429724,1,1
"Ankrd44",0.507575757575758,99,0.0790715709911991,20.1324139553213,1,1
"Anks1",0.522222222222222,45,0.289506617194985,3.00903021558722,1,1
"Ano6",0.48258547008547,156,0.060120992437571,-12.4616398265419,5.96576645838911e-07,3.39083637671675e-06
"Anxa2",0.456480117820324,97,-0.296981737757132,-39.9930610393374,3.77048722209738e-19,9.81335637559849e-18
"Anxa3",0.512886597938144,97,0.104336659814736,-33.2763327213995,3.40669111625991e-16,6.05372927096301e-15
"Aopep",0.522809242040011,169,0.0382193222304903,21.4014811132256,1,1
"Ap1g1",0.569010416666667,64,0.510194732319184,1.76896356674324,1,1
"Ap2b1",0.533088235294118,68,0.263034405833794,4.32146534668192,1,1
"Ap3b1",0.601325757575758,88,0.723482364802584,6.84863403813823,1,1
"Ap3s1",0.573446327683616,59,0.357552004618083,-2.05432742429608,0.0426642832995733,0.134062971506383
"Apba1",0.602619047619048,105,0.578536231561723,-39.0061407150971,1.02401883491963e-18,2.47364549810272e-17
"Apbb2",0.483752620545073,159,-0.111748357652456,42.8218210558357,1,1
"Apc",0.451713395638629,107,-0.144389909335175,15.126458283531,1,1
"Aplp2",0.472983870967742,124,-0.137503523749935,33.192410075998,1,1
"Apoe",0.47720744863602,168,-0.151164073333651,-4.39153573111889,0.00304038829255817,0.0110859441044692
"App",0.511147186147186,235,-0.0256258076754947,8.1273769308072,1,1
"Appbp2",0.453389830508475,59,-0.263034405833794,0.714001494197831,1,1
"Aqp1",0.570090326340326,104,0.186413124230881,-48.4009696511736,7.66210203461789e-23,3.38445992729122e-21
"Arb2a",0.487641723356009,147,-0.0598714559773985,-3.08529551257746,0.0129891207764931,0.0437498490641794
"Arf4",0.410416666666667,80,-0.401362562381767,11.3234182194211,1,1
