"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Sipa1l3",0.466666666666667,600,-0.186700714193139,-0.0906896887968287,0.670190495392072,0.753023028530418
"Rnf121",0.511666666666667,600,0.0806685598745994,-1.5743419535666,0.0759882284555713,0.110127867326915
"Mrpl24",0.539166666666667,600,0.187278568192582,-4.81799893237996,0.00190800518961221,0.00374118664629845
"Gm15347",0.481666666666667,600,-0.134092895587284,-0.0184045721331927,0.847854147553229,0.921580595166554
"Uqcr11",0.476666666666667,600,-0.143491593589532,0.000810511914608014,1,1
"Setbp1",0.44711994949495,600,-0.325473424137306,-0.99306853352391,0.158745369689781,0.220479680124696
"Rab30",0.461230158730159,600,-0.319177483871328,-0.147664379671085,0.586825798367237,0.695037110265445
"Nsd3",0.54,600,0.214399630582917,-5.00652525752292,0.00155434855819627,0.00310869711639255
"Bri3",0.32,600,-1.06384648202463,-29.8773960142118,1.07443242861535e-14,5.11634489816835e-14
"Rgs13",0.543333333333333,600,0.336107030057124,-5.30397531062772,0.00112602423908656,0.00229800865119706
"Myom1",0.596040877611128,600,0.545968369105292,-55.2688128434858,7.47137884217086e-26,7.47137884217086e-25
"Rnf103",0.505833333333333,600,0.00882385038700517,-1.08890925985793,0.140012796047854,0.19720112119416
"Gm48606",0.403333333333333,600,-0.631938117101804,-6.1718017799505,0.000442500024846053,0.000983333388546784
"Zc3h13",0.536666666666666,600,0.26023577248112,-4.43980566933601,0.00288372928171435,0.00514951657448991
"Gipc2",0.803333333333333,600,1.95641073145232,-137.264096983846,1.16960411765005e-61,3.89868039216685e-60
"Fmnl2",0.578333333333333,600,0.427796729994186,-12.7648811300434,4.35611220974352e-07,1.50210765853225e-06
"Yy1",0.5,600,-0.0174345933360214,-0.714942933200462,0.231783066047287,0.304977718483272
"Gm47271",0.648333333333333,600,0.909802191028421,-36.3126610433321,1.56754808039775e-17,8.70860044665417e-17
"Mef2a",0.654412698412698,600,1,-38.9278836328131,1.10846025176076e-18,7.91757322686261e-18
"Mtres1",0.556666666666667,600,0.360452361513241,-7.91430609661916,6.93459160149642e-05,0.000169136380524303
"Vps35l",0.623333333333332,600,0.726865004197237,-26.4864924221482,3.38167576842347e-13,1.53712534928339e-12
"Lncppara",0.575,600,0.426700416804424,-11.945837227623,1.01911552940025e-06,3.12624747646668e-06
"1810062O18Rik",0.575,600,0.421264073643731,-11.9340601559291,1.031661667234e-06,3.12624747646668e-06
"Pex26",0.561666666666667,600,0.355094958822562,-8.95391008755223,2.31866406200549e-05,5.94529246668074e-05
"Gpsm1",0.423888888888889,600,-0.41264695185385,-3.14273305527621,0.0121732058470016,0.0193225489634946
"Dennd4a",0.346666666666666,600,-0.917211401286238,-20.3958635430058,1.69348495808693e-10,7.0561873253622e-10
"Mthfsl",0.376666666666667,600,-0.703606997219777,-11.8702405511949,1.10239245878251e-06,3.24233076112504e-06
"Gm15910",0.595833333333333,600,0.556393348524384,-17.4917362652265,3.32515777839703e-09,1.23153991792483e-08
"Tnfsf13b",0.22,600,-1.8512425660586,-84.0313935511646,1.96013954922138e-38,3.2668992487023e-37
"Ctdsp2",0.503333333333333,600,0.00445964819069966,-0.92886556382831,0.172886889191984,0.236831355057512
"Pml",0.513333333333333,600,0.0429405222169549,-1.68484358262043,0.0664063639194712,0.0976564175286342
"Rab11fip2",0.423333333333333,600,-0.445625819112267,-3.28307788468953,0.0103936215295197,0.0167639056927737
"Pcmtd2",0.5,600,0.0404142684459077,-0.67152128871669,0.246498115482153,0.320127422704094
"4930412C18Rik",0.951944444444444,600,4.29067716090292,-391.972382234933,1.67033059455927e-172,1.67033059455927e-170
"Utp20",0.535,600,0.257356093591279,-4.16616795463466,0.00389455479682673,0.00671474964970125
"Parp8",0.46,600,-0.318055085740156,-0.0272368182839386,0.815454012517413,0.896103310458696
"Zpbp",0.441666666666667,600,-0.21459405077604,-0.826761508096581,0.198480107251283,0.268216361150382
"Wasl",0.375833333333334,600,-0.85029327797634,-11.6757345233473,1.34940412855137e-06,3.85544036728962e-06
"Ints7",0.651666666666667,600,0.861869081136507,-37.6853639719638,3.90131170238343e-18,2.60087446825562e-17
"Mbd1",0.35,600,-0.793863469421472,-19.0189049866856,6.93868706013793e-10,2.66872579236074e-09
"Mrpl42",0.605,600,0.624919282146544,-20.2811450341222,1.90446876537357e-10,7.6178750614943e-10
"Ptp4a2",0.518333333333333,600,0.194087052116303,-1.94534880375585,0.0485542516088606,0.073567047892213
"Plekha7",0.445,600,-0.226544064606915,-0.810855113742718,0.202853485581932,0.270471314109243
"Zmym5",0.486666666666667,600,-0.101613736626646,-0.130199818687061,0.609845731465419,0.700972105132665
"Tmem87a",0.478333333333333,600,-0.0797271924707338,0.0633546875222919,1,1
"Sulf1",0.411666666666667,600,-0.426264754702099,-4.64181100727666,0.00231211788788182,0.00428169979237374
"Adra1a",0.355389665889666,600,-0.716299958223517,-21.5246126352462,5.33797509548533e-11,2.32085873716754e-10
"Sptlc1",0.516666666666667,600,0.0925121387895375,-2.04497063604225,0.0431391410062547,0.0663679092403918
"Nsd2",0.633333333333333,600,0.83384281224509,-30.171358869783,7.96988662896014e-15,3.98494331448007e-14
"Ddit3",0.515,600,0.125853164011009,-1.83362229174372,0.055491851530699,0.0828236590010433
"Pam",0.299382337619393,600,-1.14509314846238,-73.7229670223857,6.26972931327248e-34,7.8371616415906e-33
"Cyth3",0.538333333333333,600,0.255500733148386,-4.72538780179173,0.00211059831923157,0.0039822609796822
"Lima1",0.655,600,0.91328836680667,-39.2366239619519,8.10889741671029e-19,6.23761339746946e-18
"Ube2k",0.470555555555556,600,-0.216656051787304,0.0570580540942274,1,1
"Gm56984",0.538333333333333,600,0.221888423063762,-4.76903789890588,0.00201252622079312,0.00387024273229446
"Mdm1",0.215,600,-1.8833037752909,-87.5983183205345,5.42333494062489e-40,1.35583373515622e-38
"Bik",0.703333333333333,600,1.22663564510379,-63.8470745943238,1.30943961527555e-29,1.45493290586172e-28
"Nr6a1",0.47,600,-0.105027477064401,0.132581121909766,1,1
"Cyp27a1",0.556666666666667,600,0.413937464882515,-7.70709342176804,8.63376719593166e-05,0.00020556588561742
"Stxbp3",0.415,600,-0.541530712720823,-4.35885478706706,0.00315133700848397,0.00552866141839293
"Arl5a",0.531666666666667,600,0.20021218648767,-3.79666925141208,0.00585843610397476,0.00960399361307337
