"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Sipa1l3",0.466666666666667,600,-0.186700714193139,-0.0917255991839738,0.668423958794212,0.742693287549125
"Rnf121",0.511666666666667,600,0.0806685598745994,-1.57977165488887,0.0754842971939859,0.109397532165197
"Mrpl24",0.539166666666667,600,0.187278568192582,-4.88219683592871,0.00177924184766735,0.00342161893782182
"Gm15347",0.481666666666667,600,-0.134092895587284,-0.0471595289627658,0.758756541228215,0.818807235612714
"Uqcr11",0.476666666666667,600,-0.143491593589532,-0.00192520689967068,0.950521658549977,0.960122887424219
"Setbp1",0.44711994949495,600,-0.321928094887362,-0.771937579579799,0.214041915919991,0.285389221226655
"Rab30",0.461230158730159,600,-0.304723218446982,-0.261352617635566,0.469689981449684,0.559154739821053
"Nsd3",0.54,600,0.217830535983191,-5.01263171271086,0.00154407591550821,0.00308815183101642
"Bri3",0.32,600,-1.06072038103791,-29.8579161317617,1.09591368640833e-14,5.21863660194444e-14
"Rgs13",0.543333333333333,600,0.340566678247825,-5.54368672685973,0.000869175048938666,0.00177382663048707
"Myom1",0.596040877611128,600,0.556942145224424,-30.3027732586794,6.97372394640795e-15,3.67038102442524e-14
"Rnf103",0.505833333333333,600,0.00882385038700517,-1.11370400694392,0.135581126890585,0.185727571082992
"Gm48606",0.403333333333333,600,-0.631938117101804,-6.29951337823803,0.000385947667341104,0.000857661482980232
"Zc3h13",0.536666666666666,600,0.26092981750887,-4.50823858815431,0.00267556567877387,0.00477779585495335
"Gipc2",0.803333333333333,600,1.95837037552509,-137.079029180369,1.40832758261783e-61,4.69442527539276e-60
"Fmnl2",0.578333333333333,600,0.426008617099848,-12.7489281745097,4.42874709493247e-07,1.52715417066637e-06
"Yy1",0.5,600,-0.0174345933360214,-0.726939816461424,0.227906451370614,0.29598240437742
"Gm47271",0.648333333333333,600,0.906474173310666,-36.296662196453,1.59317067480996e-17,9.37159220476449e-17
"Mef2a",0.654412698412698,600,0.997851533421424,-37.6807723566469,3.91949904543298e-18,2.79964217530927e-17
"Mtres1",0.556666666666667,600,0.356738858714177,-7.9369461652874,6.77063048217554e-05,0.000161358333604889
"Vps35l",0.623333333333332,600,0.726865004197237,-26.4558318731735,3.48891569491544e-13,1.58587077041611e-12
"Lncppara",0.575,600,0.423211430724544,-11.934169959203,1.03154398120018e-06,3.03410454638343e-06
"1810062O18Rik",0.575,600,0.421264073643731,-11.9341218469469,1.03159554577037e-06,3.03410454638343e-06
"Pex26",0.561666666666667,600,0.355094958822562,-8.94561248928551,2.33897084823355e-05,5.9973611493168e-05
"Gpsm1",0.423888888888889,600,-0.41264695185385,-3.16338153770181,0.0118929190569783,0.018877649296791
"Dennd4a",0.346666666666666,600,-0.917211401286238,-20.3387119467277,1.79549625360876e-10,7.48123439003651e-10
"Mthfsl",0.376666666666667,600,-0.703606997219777,-11.8814450709802,1.08963172743657e-06,3.11323350696162e-06
"Gm15910",0.595833333333333,600,0.556393348524384,-17.4614191359067,3.43033490708016e-09,1.27049441002969e-08
"Tnfsf13b",0.22,600,-1.8512425660586,-83.9259789420521,2.17940225707762e-38,3.62743742760369e-37
"Ctdsp2",0.503333333333333,600,0.00445964819069966,-0.937358559393829,0.170935798449006,0.230994322228387
"Pml",0.513333333333333,600,0.0429405222169549,-1.72826281518377,0.0630025677602025,0.0926508349414742
"Rab11fip2",0.423333333333333,600,-0.445625819112267,-3.25692143654948,0.0107037946830522,0.0172641849726648
"Pcmtd2",0.5,600,0.0404142684459077,-0.727072345865736,0.227864064284748,0.29598240437742
"4930412C18Rik",0.951944444444444,600,4.28856949794093,-391.27861975925,3.34567191034387e-172,3.34567191034387e-170
"Utp20",0.535,600,0.262221848763094,-4.26634241693591,0.0034882475432298,0.00601421990212034
"Parp8",0.46,600,-0.318822184019541,-0.285606300070469,0.449777463371631,0.541900558279074
"Zpbp",0.441666666666667,600,-0.215222925917605,-1.37063576792002,0.0977869288387146,0.139695612626735
"Wasl",0.375833333333334,600,-0.85547351708202,-12.0555688448014,9.09328370433924e-07,2.9333173239804e-06
"Ints7",0.651666666666667,600,0.861869081136507,-37.7317378087993,3.72229128454869e-18,2.79964217530927e-17
"Mbd1",0.35,600,-0.809135660865324,-19.2842410756728,5.28657703216905e-10,2.03329885852656e-09
"Mrpl42",0.605,600,0.62148837674627,-20.2602564262577,1.94562683599062e-10,7.78250734396247e-10
"Ptp4a2",0.518333333333333,600,0.187345474237248,-2.21374825024964,0.0353643433660535,0.0544066821016207
"Plekha7",0.445,600,-0.234883365519645,-1.11446164177983,0.135448208136288,0.185727571082992
"Zmym5",0.486666666666667,600,-0.0982318370040697,-0.152589766788083,0.580653391606807,0.667417691502077
"Tmem87a",0.478333333333333,600,-0.0877045999506773,-0.0103484514364141,0.885607719996396,0.922508041662913
"Sulf1",0.411666666666667,600,-0.431282829468723,-4.92031602160461,0.00170698835859691,0.00334703599724884
"Adra1a",0.355389665889666,600,-0.707952467495739,-24.6612395636475,2.17159732797204e-12,9.4417275129219e-12
"Sptlc1",0.516666666666667,600,0.0925121387895375,-2.04526256001554,0.0431242421497419,0.0653397608329422
"Nsd2",0.633333333333333,600,0.830452223044316,-30.1990844988518,7.74850149356519e-15,3.8742507467826e-14
"Ddit3",0.515,600,0.118746277516749,-1.8834279249416,0.0522778143157041,0.0780265885309017
"Pam",0.299382337619393,600,-1.12928301694497,-83.7740733979841,2.53920619932258e-38,3.62743742760369e-37
"Cyth3",0.538333333333333,600,0.260016214270879,-4.75692030780476,0.00203927905387252,0.00371255848015902
"Lima1",0.655,600,0.91328836680667,-39.1961446850946,8.44812811257293e-19,7.04010676047744e-18
"Ube2k",0.470555555555556,600,-0.208457872978984,-0.0222595521368021,0.832890776778518,0.876727133451071
"Gm56984",0.538333333333333,600,0.225420114034015,-4.75573862181943,0.00204190716408746,0.00371255848015902
"Mdm1",0.215,600,-1.8833037752909,-87.4715441432866,6.16076646134695e-40,1.54019161533674e-38
"Bik",0.703333333333333,600,1.22663564510379,-63.8218025623153,1.3432153663636e-29,1.49246151818178e-28
"Nr6a1",0.47,600,-0.102180394806478,-0.035051001739987,0.791188321101758,0.841689703299742
"Cyp27a1",0.556666666666667,600,0.397335497545385,-7.93604941867028,6.77705001140535e-05,0.000161358333604889
"Stxbp3",0.415,600,-0.541530712720823,-4.4168678125223,0.00295712443913908,0.0051879376125247
"Arl5a",0.531666666666667,600,0.20021218648767,-3.80223030850851,0.00582240789063368,0.00954493096825194
"2310069G16Rik",0.473333333333332,600,-0.140960922653471,0.0262970331796737,1,1
"Atp5mk",0.575,600,0.446117870631664,-11.934170999923,1.03154286583139e-06,3.03410454638343e-06
"Gm16793",0.636666666666667,600,0.788190917521378,-31.5034092312595,2.05992252892799e-15,1.14440140496e-14
"Wipi2",0.545,600,0.238786859587117,-5.81928744857589,0.000645980741889446,0.00137442711040308
"Cnep1r1",0.671666666666667,600,1.00971515483321,-46.9635453494104,3.27362811830995e-22,3.27362811830995e-21
"Dync2h1",0.555,600,0.314108590428063,-7.6142499421934,9.52549833348912e-05,0.000221523217057886
"Txnrd1",0.558333333333333,600,0.346059757360262,-8.26649257338488,4.78110695633767e-05,0.000119527673908442
"Ctsd",0.5525,600,0.309855262586788,-7.13845862433209,0.000157788007453065,0.000358609107847874
"Oser1",0.546666666666667,600,0.282176299533964,-6.10146712101732,0.000477144080469796,0.00103726974015173
"Leprotl1",0.451666666666667,600,-0.313157885259628,-0.67799506874519,0.244233636461831,0.313120046745937
"Nmt2",0.455,600,-0.315157136909926,-0.50141453943462,0.31662692056072,0.390897432791012
"H3f3a",0.488333333333333,600,-0.0433274316641014,-0.201061479557154,0.52599490412749,0.611646531361521
"Gm19689",0.648333333333333,600,0.909313257875374,-36.2966889136348,1.59312753915667e-17,9.37159220476449e-17
"Calcoco1",0.418333333333333,600,-0.473713406606451,-3.94085778128681,0.00499370862069652,0.00832284770116087
"Parn",0.488333333333333,600,-0.104652152407943,-0.201040963662649,0.526016016970908,0.611646531361521
"Wdr36",0.508333333333334,600,0,-1.30280555319729,0.106486102827896,0.149980426518163
"Creb5",0.496666666666667,600,0.0265262945101877,-0.537277150636498,0.299918998198597,0.374898747748246
"Hat1",0.523333333333333,600,0.166009951438929,-2.75860311645778,0.0188303082107655,0.0294223565793211
"Prrc1",0.538333333333333,600,0.161362987938888,-4.75716571869219,0.00203873368189275,0.00371255848015902
"Ercc6",0.593333333333333,600,0.52159360050753,-16.7568274084607,7.07654338639045e-09,2.52733692371088e-08
"Aida",0.67,600,1.02856915219677,-46.1521910983581,7.43195474498616e-22,6.75632249544196e-21
"Smco2",0.0254166666666667,600,-5.26568398424774,-355.281789374538,1.50872081542514e-156,7.54360407712572e-155
"Sergef",0.386666666666667,600,-0.703100699604157,-9.54940269404881,1.24122555507506e-05,3.2663830396712e-05
"Phf12",0.496666666666667,600,-0.00424947300135825,-0.543400614489144,0.297181041381113,0.374898747748246
