"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi"
"Sipa1l3",0.466666666666667,0.46692307692248,561711682.839727,406154388.644262,88135338.9910924,1.08333333333333,600,1.78027274587652e-09
"Rnf121",0.511666666666667,0.511599378881991,513710803.385169,368077722.102243,75213551.9784196,1.07333333333333,600,1.94662053710056e-09
"Mrpl24",0.539166666666667,0.539159182491181,21.9601716732093,52077223.2350802,83323535.2159566,1.08,600,0.0455369846320449
"Gm15347",0.481666666666667,0.481893704850362,599082858.691605,423820913.359942,79030602.684303,1.07666666666667,600,1.66921818157842e-09
"Uqcr11",0.476666666666667,0.476604554865428,391663311.727564,291798039.81624,75213551.9784196,1.07333333333333,600,2.55321335968171e-09
"Setbp1",0.44711994949495,0.447121796231683,1.45572960054829,4.77194823648447,6.17938757782687,2.13666666666667,600,0.686940761267309
"Rab30",0.461230158730159,0.456757559322805,6.47691194929227,60.094000001048,89.6734880523846,1.96666666666667,600,0.154394564543875
"Nsd3",0.54,0.540042625747535,1786678439.09135,1198085850.42247,130258921.584598,1.30333333333333,600,5.59697804664037e-10
"Bri3",0.32,0.320043923856226,1071517199.07934,933488420.836965,422064274.259809,1.13833333333333,600,9.33256135187765e-10
"Rgs13",0.543333333333333,0.543447021373354,1607430098.69525,1069753549.50422,104175580.51151,1.22166666666667,600,6.22111033513496e-10
"Myom1",0.596040877611128,0.590542177919976,0.114886566687901,0.426342110325255,0.567260809832507,6.765,600,8.70423783066461
"Rnf103",0.505833333333333,0.50568019859786,25.017996184263,62198152.9068554,99517019.6329724,1.09,600,0.039971226817479
"Gm48606",0.403333333333333,0.403300879947072,963305186.442854,737208046.355451,216227687.725867,1.19833333333333,600,1.03809261496105e-09
"Zc3h13",0.536666666666666,0.53703703703386,2156847432.67061,1400085087.41221,83288707.1889216,1.26,600,4.63639655198884e-10
"Gipc2",0.803333333333333,0.800845528551605,1727377099.57558,1262790361.3682,293087478.613539,1.36666666666667,600,5.78912387020589e-10
"Fmnl2",0.578333333333333,0.577738095238094,2576390847.57969,1623235709.93549,20786288.3170994,1.54,600,3.88139866643068e-10
"Yy1",0.5,0.499667673716008,712470218.620222,527261294.076863,131147851.902759,1.10333333333333,600,1.40356743884202e-09
"Gm47271",0.648333333333333,0.648491228071744,549682114.073616,436953205.871225,149443015.320343,1.10833333333333,600,1.8192332884713e-09
"Mef2a",0.654412698412698,0.654103242196195,7.79440813383699,51147.9756785694,81828.9666775772,1.7,600,0.128297105159122
"Mtres1",0.556666666666667,0.556454720599998,1075945952.67242,1039489685.41556,587237543.992467,1.15333333333333,600,9.29414714109207e-10
"Vps35l",0.623333333333332,0.624525547445071,1251146217.71246,1072665545.83156,465118655.618047,1.14166666666667,600,7.99267092721072e-10
"Lncppara",0.575,0.574861495676245,1052957409.37039,771413645.756673,181304423.840285,1.20333333333333,600,9.4970602903867e-10
"1810062O18Rik",0.575,0.574758382641418,805198279.847802,679780711.346725,282450858.306958,1.12666666666667,600,1.2419301245763e-09
"Pex26",0.561666666666667,0.561287657882174,1364013151.13993,1156365280.55918,486171297.754754,1.14333333333333,600,7.33130761359804e-10
"Gpsm1",0.423888888888889,0.424355464216569,44.1528089354562,308377702.029173,493404279.093868,1.17333333333333,600,0.0226486156625239
"Dennd4a",0.346666666666666,0.345667998224563,1083678194.77418,727666901.82167,80588848.1404878,1.25166666666667,600,9.22783170153551e-10
"Mthfsl",0.376666666666667,0.375683228198239,503940753.582121,361971440.975338,75213551.9784196,1.07333333333333,600,1.98436025046949e-09
"Gm15910",0.595833333333333,0.59542592085911,31.1266394670831,138061158.041777,220897821.740204,1.12,600,0.0321268218195387
"Tnfsf13b",0.22,0.220195503473691,1110154838.989,944188017.201052,400545988.532688,1.13666666666667,600,9.00775247631842e-10
"Ctdsp2",0.503333333333333,0.503405461088833,506332246.276087,367154545.696575,81115026.8384336,1.07833333333333,600,1.97498778194492e-09
"Pml",0.513333333333333,0.513273809523812,943062974.962379,727475497.939114,220897821.740204,1.12,600,1.06037457364912e-09
"Rab11fip2",0.423333333333333,0.423407446085482,30.2098085325496,50407038.7840963,80651231.8447456,1.24,600,0.0331018317750193
"Pcmtd2",0.5,0.500000000000074,1668332094.26565,1224555598.85924,290956863.909124,1.19,600,5.99401044574503e-10
"4930412C18Rik",0.951944444444444,0.951388856975227,1e-06,1e-06,198766055.783076,1.2,600,2052871.41696887
"Utp20",0.535,0.535046012269937,380002652.151131,295948405.400337,93514796.4894072,1.08666666666667,600,2.63156058079902e-09
"Parp8",0.46,0.460095465393795,3276817528.81896,2277385821.13344,366999784.994537,1.39666666666667,600,3.05174148760252e-10
"Zpbp",0.441666666666667,0.443042212517166,869939364.045029,860301472.731261,506542992.324989,1.145,600,1.14950540385966e-09
"Wasl",0.375833333333334,0.375821485221162,72.6914749801957,81411871.4225455,130258921.584598,1.30333333333333,600,0.0137567713445413
"Ints7",0.651666666666667,0.651666666664614,394118207.810336,298401089.391433,83323535.2159566,1.08,600,2.53730982274545e-09
"Mbd1",0.35,0.349993091535952,3017640381.80206,1886964838.56366,1503359.89980399,1.60833333333333,600,3.3138474883572e-10
"Mrpl42",0.605,0.604865513910329,854640259.384808,911431921.334158,603650814.749845,1.15666666666667,600,1.17008295480934e-09
"Ptp4a2",0.518333333333333,0.518196517412934,1552289704.45906,1102997639.74121,212506519.12688,1.34,600,6.44209645356425e-10
"Plekha7",0.445,0.44534307215582,1293739286.53833,859469167.718138,81411381.8106891,1.255,600,7.72953260680293e-10
"Zmym5",0.486666666666667,0.486601477618431,1246881308.56006,839605607.577282,96487663.5635932,1.27833333333333,600,8.02000954810073e-10
"Tmem87a",0.478333333333333,0.478333333333331,1625714610.49427,1117191941.31157,161792495.60424,1.20666666666667,600,6.15114112615353e-10
"Sulf1",0.411666666666667,0.411644444444475,665154936.104859,581725715.878736,265606209.301118,1.125,600,1.50340912428011e-09
"Adra1a",0.355389665889666,0.361311385888762,0.976458069758691,0.627074783226491,0.0268615834036947,2.97333333333333,600,1.02410951475584
"Sptlc1",0.516666666666667,0.51666666666676,231596004.003271,180467805.160074,57152484.2528479,1.04,600,4.31786379175125e-09
"Nsd2",0.633333333333333,0.633348370936443,688611163.770878,523783861.932013,149443015.320343,1.10833333333333,600,1.4521983560707e-09
"Ddit3",0.515,0.515021367521367,1287246958.57494,882480709.506069,124722176.634771,1.3,600,7.76851709253258e-10
"Pam",0.299382337619393,0.307351875452632,0.314736594727078,0.205461901525277,0.0140024477133649,4.705,600,3.17726002235979
"Cyth3",0.538333333333333,0.538784425451062,1056591351.80833,995400908.660708,536050102.048808,1.17,600,9.46439698080557e-10
"Lima1",0.655,0.655062620423902,734299562.179983,825960691.357782,587237543.992467,1.15333333333333,600,1.36184202130151e-09
"Ube2k",0.470555555555556,0.469909704331768,42.5129677740096,6857271.9682517,10971592.6362349,1.55666666666667,600,0.0235222345641875
"Gm56984",0.538333333333333,0.539420617005256,3228653842.29824,2124119588.39193,169937499.128844,1.47666666666667,600,3.09726607076642e-10
"Mdm1",0.215,0.21492795389049,996002990.092204,999783628.02628,603650814.749845,1.15666666666667,600,1.00401305010884e-09
"Bik",0.703333333333333,0.703333333333344,538825268.843346,388843002.537064,83323535.2159566,1.08,600,1.85588920531998e-09
"Nr6a1",0.47,0.470180079255519,3277604479.23847,2084791810.8005,58062418.0423265,1.51166666666667,600,3.05100876672082e-10
"Cyp27a1",0.556666666666667,0.557551198257072,1725868233.37403,1137017183.65786,93359260.4785342,1.275,600,5.79418509862147e-10
"Stxbp3",0.415,0.414985507278998,817499743.614863,861245101.545189,560492418.857439,1.15,600,1.22324197384839e-09
"Arl5a",0.531666666666667,0.531942771084215,700046519.435411,526657586.568184,142605619.073684,1.10666666666667,600,1.42847649725693e-09
"2310069G16Rik",0.473333333333332,0.468224385720909,1172789266.4772,868135596.376915,216227687.725867,1.19833333333333,600,8.526681037965e-10
"Atp5mk",0.575,0.575135401258852,1117944965.75418,886356740.470868,300225818.999214,1.12833333333333,600,8.94498415067679e-10
"Gm16793",0.636666666666667,0.636396663474572,677079800.804361,634641468.618356,338346548.985008,1.13166666666667,600,1.476930782475e-09
"Wipi2",0.545,0.544862385321138,804997221.652306,565321400.803299,99517019.6329724,1.09,600,1.24224031226771e-09
"Cnep1r1",0.671666666666667,0.671639262585562,1047639525.52537,770340309.34608,184904969.428355,1.115,600,9.54526796321967e-10
"Dync2h1",0.555,0.554954819275879,861789728.805333,627747092.424385,142605619.073684,1.10666666666667,600,1.16037586266694e-09
"Txnrd1",0.558333333333333,0.558242825607057,1908871879.37513,1244656621.63859,82578715.2466109,1.25833333333333,600,5.23869627293872e-10
"Ctsd",0.5525,0.552386731607938,21.2286950973984,48165679.4726747,77065065.9275845,1.075,600,0.0471060512863343
"Oser1",0.546666666666667,0.546289308176082,586022688.430967,406278340.979831,64022657.1367619,1.06,600,1.70641857344709e-09
