"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Sipa1l3",0.466666666666667,600,-0.186700714193139,-0.0905521797101869,0.670425884334213,0.770604464751969
"Rnf121",0.511666666666667,600,0.0806685598745994,-1.57347204038581,0.0760693007276778,0.110245363373446
"Mrpl24",0.539166666666667,600,0.187278568192582,-4.82771544209817,0.00188792605430229,0.00370181579274959
"Gm15347",0.481666666666667,600,-0.134092895587284,-0.0185037490109607,0.847449781946397,0.933964133054404
"Uqcr11",0.476666666666667,600,-0.143491593589532,0.000817098005541084,1,1
"Setbp1",0.44711994949495,600,-0.325473424137306,-0.456364752535819,0.33939123648941,0.429609160113178
"Rab30",0.461230158730159,600,-0.319177483871328,0.0496979385172835,1,1
"Nsd3",0.54,600,0.214399630582917,-5.00280717510668,0.00156063721512908,0.00312127443025816
"Bri3",0.32,600,-1.06384648202463,-29.844103975915,1.1114047645051e-14,5.29240364050048e-14
"Rgs13",0.543333333333333,600,0.336107030057124,-5.28531331045156,0.00114898771947552,0.00234487289688882
"Myom1",0.596040877611128,600,0.545968369105292,-48.3900767678813,7.74687528456098e-23,7.74687528456098e-22
"Rnf103",0.505833333333333,600,0.00882385038700517,-1.09145669439738,0.139550076074368,0.196549402921646
"Gm48606",0.403333333333333,600,-0.631938117101804,-6.14706982518283,0.000454382779882938,0.00100973951085097
"Zc3h13",0.536666666666666,600,0.26023577248112,-4.42648074497635,0.00292613733760181,0.00522524524571752
"Gipc2",0.803333333333333,600,1.95641073145232,-137.252407746708,1.18340614530015e-61,3.9446871510005e-60
"Fmnl2",0.578333333333333,600,0.427796729994186,-12.7260665966759,4.53495934920514e-07,1.61962833900184e-06
"Yy1",0.5,600,-0.0174345933360214,-0.71600326109791,0.2314372519783,0.308583002637734
"Gm47271",0.648333333333333,600,0.909802191028421,-36.2762807937755,1.6264197946838e-17,9.06991821600365e-17
"Mef2a",0.654412698412698,600,1,-37.3205570719145,5.64551639759066e-18,3.76367759839377e-17
"Mtres1",0.556666666666667,600,0.360452361513241,-7.90192363464155,7.02594991894529e-05,0.000175648747973632
"Vps35l",0.623333333333332,600,0.726865004197237,-26.4605431799401,3.47221855927676e-13,1.57828116330762e-12
"Lncppara",0.575,600,0.426700416804424,-11.9325384122707,1.0332940436571e-06,3.14861803827435e-06
"1810062O18Rik",0.575,600,0.421264073643731,-11.9271973339359,1.03904395263053e-06,3.14861803827435e-06
"Pex26",0.561666666666667,600,0.355094958822562,-8.94638876534225,2.33706350831892e-05,6.15016712715506e-05
"Gpsm1",0.423888888888889,600,-0.41264695185385,-3.13679736731007,0.0122550270240585,0.019452423847712
"Dennd4a",0.346666666666666,600,-0.917211401286238,-20.3453139422721,1.78340475351145e-10,7.75393371091933e-10
"Mthfsl",0.376666666666667,600,-0.703606997219777,-11.8651437193591,1.10824668550183e-06,3.2595490750054e-06
"Gm15910",0.595833333333333,600,0.556393348524384,-17.4626069051504,3.42615223213881e-09,1.31775085851493e-08
"Tnfsf13b",0.22,600,-1.8512425660586,-83.9224312401799,2.18719355164103e-38,3.64532258606838e-37
"Ctdsp2",0.503333333333333,600,0.00445964819069966,-0.929435051962173,0.172755263120016,0.239937865444466
"Pml",0.513333333333333,600,0.0429405222169549,-1.68640870058664,0.0662803166442376,0.0974710538885847
"Rab11fip2",0.423333333333333,600,-0.445625819112267,-3.25803982297816,0.0106903401013625,0.0172424840344557
"Pcmtd2",0.5,600,0.0404142684459077,-0.668547941654538,0.247546765041444,0.325719427686111
"4930412C18Rik",0.951944444444444,600,4.29067716090292,-391.972383090178,1.6703291642001e-172,1.6703291642001e-170
"Utp20",0.535,600,0.257356093591279,-4.15861266220827,0.00392708622459831,0.00677083831827295
"Parp8",0.46,600,-0.318055085740156,-0.0179052507346,0.849907361079507,0.933964133054404
"Zpbp",0.441666666666667,600,-0.21459405077604,-0.828339038361662,0.198052440781186,0.271304713398886
"Wasl",0.375833333333334,600,-0.85029327797634,-11.5817292019403,1.48798132788219e-06,4.25137522252053e-06
"Ints7",0.651666666666667,600,0.861869081136507,-37.6754925833832,3.9405170339145e-18,2.81465502422464e-17
"Mbd1",0.35,600,-0.793863469421472,-18.9648435031268,7.33407070883083e-10,2.93362828353233e-09
"Mrpl42",0.605,600,0.624919282146544,-20.2593865528161,1.94735998005858e-10,8.11399991691075e-10
"Ptp4a2",0.518333333333333,600,0.194087052116303,-1.93504386968294,0.049153951780616,0.0744756845160848
"Plekha7",0.445,600,-0.226544064606915,-0.811651281823004,0.202631906445085,0.273826900601467
"Zmym5",0.486666666666667,600,-0.101613736626646,-0.130663155904642,0.609210421662731,0.713255550854
"Tmem87a",0.478333333333333,600,-0.0797271924707338,0.0637245308875549,1,1
"Sulf1",0.411666666666667,600,-0.426264754702099,-4.64334019611346,0.00230826078007589,0.00427405897009604
"Adra1a",0.355389665889666,600,-0.716299958223517,-12.3807554695346,6.4880168246449e-07,2.23724718091203e-06
"Sptlc1",0.516666666666667,600,0.0925121387895375,-2.04478881309262,0.0431484233981179,0.0663821898432583
"Nsd2",0.633333333333333,600,0.83384281224509,-30.1344901305151,8.27411193742494e-15,4.13705596871247e-14
"Ddit3",0.515,600,0.125853164011009,-1.82853018280832,0.0558320591696162,0.083331431596442
"Pam",0.299382337619393,600,-1.14509314846238,-50.4032336134003,1.01424620179314e-23,1.1269402242146e-22
"Cyth3",0.538333333333333,600,0.255500733148386,-4.71706994467939,0.00212982954223188,0.00401854630609788
"Lima1",0.655,600,0.91328836680667,-39.1962767653578,8.44699846514435e-19,6.49769112703412e-18
"Ube2k",0.470555555555556,600,-0.216656051787304,0.0626279451091705,1,1
"Gm56984",0.538333333333333,600,0.221888423063762,-4.75841033044009,0.00203597008074157,0.00391532707834918
"Mdm1",0.215,600,-1.8833037752909,-87.4794609192153,6.11191210566862e-40,1.52797802641715e-38
