"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Actn2_rep2",0.5209941244492,3000,0.103580534501365,-10.2317108154211,6.07818159097458e-06,9.29385564369202e-06
"Actn2",0.511181516938993,3000,0.0882474151190391,-6.28595589538509,0.00039158778815974,0.000559411125942486
"Actn2_rep1",0.530388799043104,3000,0.101459311445316,-13.6367156560582,1.76621721259374e-07,2.90496252071338e-07
"Myom1",0.526806169458059,3000,0.162054830195773,-19.3295888694056,5.04654048949265e-10,9.1092788619001e-10
"Pln",0.572729223075666,3000,0.433879664244087,-102.602202563374,1.52821726836443e-46,5.83289033726881e-46
"Pln_rep1",0.611791700008467,3000,0.709811796434671,-245.494728228743,8.67996756634038e-109,5.49365035844328e-108
"Pln_rep3",0.563749639727847,3000,0.408402663797928,-84.1535012833729,1.73358287348429e-38,5.896540386001e-38
"Pln_rep4",0.567990101006293,3000,0.426442262551092,-92.8395849791223,2.78952812639313e-42,1.01069859651925e-41
"Pln_rep2",0.574781956484632,3000,0.397227102710481,-94.2043297133132,7.07446844068503e-43,2.60090751495773e-42
"Ank2",0.377612828710779,3000,-0.71584038933488,-229.83354370563,5.679875958582e-102,3.34110350504824e-101
"Mast2_rep1",0.326508699009271,3000,-1.02533578354277,-507.409837091668,1.0790123284566e-222,1.34876541057075e-221
"Mast2_rep3",0.484118752013599,3000,-0.075617046644695,-2.24362467294486,0.034148580770536,0.0415432856089246
"Mast2",0.681487485286164,3000,1.08445307897783,-612.560052114965,2.11858790890461e-268,3.31029360766345e-267
"Mast2_rep2",0.488232822174599,3000,-0.0923470880392485,-1.83256857939523,0.0555620700065158,0.0666211870581725
"Arhgap26",0.481466436905643,3000,-0.0707671842313746,-1.58957927907704,0.0745831281592817,0.0877448566579785
"Mir99ahg",0.71692122546802,3000,1.27347723139209,-728.195468266216,1.1714642308848e-318,2.44055039866573e-317
"Synpo2",0.360822338037699,3000,-0.725831120146993,-208.219519412651,1.45391611282795e-92,7.81675329477394e-92
"Pam",0.422910317634545,3000,-0.397753777864324,-60.9849684664496,2.3436238085197e-28,6.76859952501833e-28
"Camk2d_rep1",0.474805261108326,3000,-0.153973596750727,-5.67606860832439,0.000753611956593443,0.00105547893080314
"Ifrd1",0.622785758523182,3000,0.749892714888527,-182.429864850744,2.46269823330963e-81,1.23134911665482e-80
"Camk2d",0.476994556795409,3000,-0.183495640848587,-5.97059914942565,0.000549061537729393,0.000777707560523219
"Msrb3",0.49405487797399,3000,-0.0532420212769776,-0.383988822913125,0.380843411764525,0.415047686879891
"Ifrd1_rep1",0.486317731590925,3000,-0.0927402090387305,-1.69062046247291,0.0659423883965604,0.0781307919390526
"Sptbn1",0.494756281463634,3000,-0.024986863792668,-0.0205251456022779,0.839440878064875,0.876243087750392
"Gm35330",0.800169228157463,3000,2.04331936296758,-1136.3857229938,0,0
"Sptbn1_rep1",0.395746955250632,3000,-0.630525664522115,-122.579684010093,2.94972608618536e-55,1.27143365783852e-54
"Gm35330_rep1",0.810262490098481,3000,2.00808612135092,-1127.71592650395,0,0
"Ghr",0.524003619916662,3000,0.121031706377207,-8.30867681661766,4.5730676137324e-05,6.80516013948274e-05
