"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Actn2_rep2",0.5209941244492,3000,0.103580534501365,-0.362748548188392,0.168,0.175365344467641
"Actn2",0.511181516938993,3000,0.0882474151190391,-0.768572703818791,0.102,0.107142857142857
"Actn2_rep1",0.530388799043104,3000,0.101459311445316,-3.75536964734874,0.002,0.00251256281407035
"Myom1",0.526806169458059,3000,0.162054830195773,-20.3631783872852,0,0
"Pln",0.572729223075666,3000,0.433879664244087,-10.7731524651817,0,0
"Pln_rep1",0.611791700008467,3000,0.709811796434671,-11.7750612375467,0,0
"Pln_rep3",0.563749639727847,3000,0.408402663797928,-7.66364772661109,0,0
"Pln_rep4",0.567990101006293,3000,0.426442262551092,-10.0546685186218,0,0
"Pln_rep2",0.574781956484632,3000,0.397227102710481,-4.52212645835425,0.002,0.00251256281407035
"Ank2",0.377612828710779,3000,-0.71584038933488,-25.1934221913862,0,0
"Mast2_rep1",0.326508699009271,3000,-1.02533578354277,-6.71428171997013,0,0
"Mast2_rep3",0.484118752013599,3000,-0.075617046644695,-10.5515462641006,0,0
"Mast2",0.681487485286164,3000,1.08445307897783,3.23405814105536,0.678,0.682092555331992
"Mast2_rep2",0.488232822174599,3000,-0.0923470880392485,-11.4416896623479,0,0
"Arhgap26",0.481466436905643,3000,-0.0707671842313746,-3.12293446189778,0,0
"Mir99ahg",0.71692122546802,3000,1.27347723139209,-8.22197449491796,0,0
"Synpo2",0.360822338037699,3000,-0.725831120146993,-71.0085769349953,0,0
"Pam",0.422910317634545,3000,-0.397753777864324,-70.3619386444998,0,0
"Camk2d_rep1",0.474805261108326,3000,-0.153973596750727,-6.04074126987507,0,0
"Ifrd1",0.622785758523182,3000,0.749892714888527,0.436956765203831,0.582,0.589068825910931
"Camk2d",0.476994556795409,3000,-0.183495640848587,-7.86345190849261,0,0
"Msrb3",0.49405487797399,3000,-0.0532420212769776,-3.98082924213668,0,0
"Ifrd1_rep1",0.486317731590925,3000,-0.0927402090387305,-1.61492855991401,0.002,0.00251256281407035
"Sptbn1",0.494756281463634,3000,-0.024986863792668,-43.2216889627894,0,0
"Gm35330",0.800169228157463,3000,2.04331936296758,-5.67661414477652,0,0
"Sptbn1_rep1",0.395746955250632,3000,-0.630525664522115,-48.2381253068979,0,0
"Gm35330_rep1",0.810262490098481,3000,2.00808612135092,-2.12892542426243,0,0
"Ghr",0.524003619916662,3000,0.121031706377207,-2.70390206132379,0.01,0.0115740740740741
"Ghr_rep1",0.516739058702449,3000,0.133938967068502,-0.0466458812338715,0.226,0.233471074380165
"Gm20619_rep1",0.542705820134335,3000,0.1896306701577,-36.8286160624893,0,0
"Cdh13_rep1",0.521241759592031,3000,0.0722509793257143,0.593907310886607,0.73,0.73293172690763
"Gm20619",0.4020125317324,3000,-0.576530594539899,-25.7985815581683,0,0
"Cdh13",0.520650459717442,3000,0.157061723161924,-0.00641330507460225,0.024,0.0265486725663717
"Gm20619_rep2",0.450845477207977,3000,-0.291371425004478,-16.3648060245464,0,0
"Resf1_rep2",0.265365181148116,3000,-1.43579099805928,-54.8348058646798,0,0
"Resf1_rep1",0.312399463434344,3000,-1.11524838166073,-30.6544219796579,0,0
"Resf1",0.558616332624914,3000,0.382925902667322,-34.822407350377,0,0
"Resf1_rep3",0.314266903930898,3000,-1.10218039480648,-25.4151043647762,0,0
"Slc25a13",0.35396022262338,3000,-0.866763111220365,-6.59201824913589,0,0
"Adra1a",0.34525275039775,3000,-0.93544729150402,-10.11208769632,0,0
"Pdzrn4",0.723844410725443,3000,1.33725899085553,-182.249493067067,0,0
"Pdzrn4_rep1",0.600440115734035,3000,0.561227851928795,-150.714058954547,0,0
"Tecrl",0.382101708699985,3000,-0.729315028048548,-12.561640107223,0,0
"Serpine1_rep1",0.404018734968735,3000,-0.576930153731583,-602.492837729896,0,0
"Tecrl_rep1",0.399630132114188,3000,-0.598976596019065,-8.71770928273418,0,0
