"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"Actn2_rep2",0.5209941244492,0.517941432564962,0.223803903154957,0.253532817149112,0.269508306207402,7.27366666666667,3000
"Actn2",0.511181516938993,0.515287345475139,0.240064937593404,0.259588457356697,0.261391561021129,7.06466666666667,3000
"Actn2_rep1",0.530388799043104,0.517574316289207,0.257806373029144,0.269337792794112,0.259574825153284,7.00833333333333,3000
"Myom1",0.526806169458059,0.528052472248206,0.149674888667556,0.201271782191858,0.251282273886353,6.60666666666667,3000
"Pln",0.572729223075666,0.574624008750346,0.357961077288578,0.326345641347638,0.253732800233938,6.095,3000
"Pln_rep1",0.611791700008467,0.620578420467174,0.34579127927409,0.320230511852505,0.256261307517491,5.99333333333333,3000
"Pln_rep3",0.563749639727847,0.570301937809819,0.357419556835452,0.328226106125379,0.258667068606914,5.91733333333333,3000
"Pln_rep4",0.567990101006293,0.573363430924362,0.371598528574741,0.336833288206132,0.259041860815415,5.90666666666667,3000
"Pln_rep2",0.574781956484632,0.568402620815175,0.344459528357426,0.320764351229121,0.259232775609997,5.90133333333333,3000
"Ank2",0.377612828710779,0.378438155730859,0.359539090397473,0.330131269435466,0.260108589672146,5.87766666666667,3000
"Mast2_rep1",0.326508699009271,0.329442282749669,0.222081511172256,0.253121379808716,0.270883209208516,5.654,3000
"Mast2_rep3",0.484118752013599,0.486899563318782,0.22573311472567,0.255436361694123,0.271199963893941,5.64866666666667,3000
"Mast2",0.681487485286164,0.679545870714776,0.20469625719147,0.248806812871237,0.284398917909611,5.461,3000
"Mast2_rep2",0.488232822174599,0.48400293076077,0.235133218875549,0.266984974038167,0.284535383344762,5.45933333333333,3000
"Arhgap26",0.481466436905643,0.487739439695539,0.288826312479644,0.303648166985903,0.295070144075565,5.34233333333333,3000
"Mir99ahg",0.71692122546802,0.707382895318965,0.344619601264215,0.344526224008389,0.31224594009317,5.18766666666667,3000
"Synpo2",0.360822338037699,0.376810603990166,0.822156854813318,0.650586555939805,0.361104745554072,4.87866666666667,3000
"Pam",0.422910317634545,0.431507823613092,0.954173910173755,0.748802369379045,0.405085427177388,4.68666666666667,3000
"Camk2d_rep1",0.474805261108326,0.473343706503601,0.50107759233008,0.605415198839427,0.68802658896021,4.07033333333333,3000
"Ifrd1",0.622785758523182,0.627097729516269,0.620812957977175,0.682950105211615,0.702057625037786,4.052,3000
"Camk2d",0.476994556795409,0.468245425188723,0.508617022829935,0.625553342730607,0.723083457276647,4.02566666666667,3000
"Msrb3",0.49405487797399,0.490774907749069,0.559253557865862,0.675279382892598,0.766954407191605,3.97466666666667,3000
"Ifrd1_rep1",0.486317731590925,0.483934878112207,0.656154055357388,0.780040726337034,0.872419153185105,3.86966666666667,3000
"Sptbn1",0.494756281463634,0.495670214685178,0.42548012110331,0.747466725999019,1.10701863810006,3.69533333333333,3000
"Gm35330",0.800169228157463,0.804761026017173,0.363439624817958,0.776009091273717,1.25367419802918,3.61266666666667,3000
"Sptbn1_rep1",0.395746955250632,0.392444814187697,0.413222259826326,0.808840678870916,1.26084010756908,3.609,3000
"Gm35330_rep1",0.810262490098481,0.800895271844092,0.395655831247587,0.83001458641148,1.3316915652316,3.57433333333333,3000
