"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Actn2_rep2",0.5196,0.5209941244492,3000,0.1441,0.145394101348943,0.103580534501365,-8.13601439343438,5.48679493403579e-05,8.09261789680794e-05
"Actn2",0.5148,0.511181516938993,3000,0.1514,0.151310384936068,0.0882474151190391,-4.65506260148686,0.00227890908315112,0.00311326377479661
"Actn2_rep1",0.5249,0.530388799043104,3000,0.166,0.157760022694467,0.101459311445316,-12.0982255860317,8.69924302813457e-07,1.37646250445167e-06
"Myom1",0.5273,0.526806169458059,3000,0.0863,0.134768005804428,0.162054830195773,-15.5747138613133,2.38909785015432e-08,4.02205025278506e-08
"Pln",0.5744,0.572729223075666,3000,0.2172,0.196326254854058,0.433879664244087,-97.415636210987,2.80437634024919e-44,1.05427681964255e-43
"Pln_rep1",0.6167,0.611791700008467,3000,0.2289,0.203557232314809,0.709811796434671,-235.711652895186,1.57053622631628e-104,9.34842991854926e-104
"Pln_rep3",0.568,0.563749639727847,3000,0.2183,0.201726436165917,0.408402663797928,-79.2695809514207,2.35956937608077e-36,7.76174136868674e-36
"Pln_rep4",0.5717,0.567990101006293,3000,0.2254,0.204738563759115,0.426442262551092,-88.015984562654,3.5633200628173e-40,1.24591610588018e-39
"Pln_rep2",0.5719,0.574781956484632,3000,0.2068,0.1978339835374,0.397227102710481,-88.7676031845285,1.67341965066058e-40,5.93411223638502e-40
"Ank2",0.3792,0.377612828710779,3000,0.2774,0.225354470055281,-0.71584038933488,-234.185741754287,7.24681390123126e-104,4.21326389606468e-103
"Mast2_rep1",0.3278,0.326508699009271,3000,0.1339,0.178097708799191,-1.02533578354277,-509.946993780205,8.51279743703689e-224,1.0913842867996e-222
"Mast2_rep3",0.4852,0.484118752013599,3000,0.1256,0.175130718643428,-0.075617046644695,-3.41879960523238,0.00892587193646884,0.0112700403238243
"Mast2",0.6821,0.681487485286164,3000,0.2001,0.210337413045312,1.08445307897783,-547.825110514964,2.91263504900028e-240,4.28328683676512e-239
"Mast2_rep2",0.4855,0.488232822174599,3000,0.13,0.183782335462434,-0.0923470880392485,-2.83613181801684,0.0172352019234551,0.0213836252152049
"Arhgap26",0.4865,0.481466436905643,3000,0.1605,0.200119925721108,-0.0707671842313746,-2.53537655389027,0.0243328099090951,0.0298928868662102
"Mir99ahg",0.7129,0.71692122546802,3000,0.2821,0.25317268355575,1.27347723139209,-693.094578116114,2.10651890967651e-303,4.21303781935302e-302
"Synpo2",0.368,0.360822338037699,3000,0.4454,0.331312128448286,-0.725831120146993,-226.362981588407,1.84024015275012e-100,1.03384278244389e-99
"Pam",0.4235,0.422910317634545,3000,0.4898,0.36013698135684,-0.397753777864324,-68.5580515050924,1.13736745421945e-31,3.42580558499835e-31
"Camk2d_rep1",0.4746,0.474805261108326,3000,0.2398,0.315676598230366,-0.153973596750727,-6.99207026372824,0.000184359163188843,0.000267187193027309
"Ifrd1",0.6239,0.622785758523182,3000,0.3227,0.349043525506099,0.749892714888527,-173.462157409544,1.98117100356613e-77,9.80777724537687e-77
"Camk2d",0.4727,0.476994556795409,3000,0.2352,0.318575782912187,-0.183495640848587,-7.52304757180627,0.000104917093502223,0.000153837380501793
"Msrb3",0.4905,0.49405487797399,3000,0.2625,0.334468236608243,-0.0532420212769776,-0.78553929009604,0.21005044684767,0.239783615122911
"Ifrd1_rep1",0.4839,0.486317731590925,3000,0.2964,0.359533854733507,-0.0927402090387305,-2.42771225457045,0.0275593311256871,0.0336911138455833
"Sptbn1",0.4952,0.494756281463634,3000,0.1752,0.33662262574817,-0.024986863792668,-0.197574656442157,0.529605046968641,0.587145284887629
"Gm35330",0.8033,0.800169228157463,3000,0.2972,0.395423931430841,2.04331936296758,-1087.63677625179,0,0
"Sptbn1_rep1",0.3924,0.395746955250632,3000,0.1742,0.349294118110483,-0.630525664522115,-120.959135327983,1.50121775023928e-54,6.47076616482448e-54
"Gm35330_rep1",0.8051,0.810262490098481,3000,0.3315,0.414618913767495,2.00808612135092,-1090.41069251883,0,0
"Ghr",0.5255,0.524003619916662,3000,0.482,0.477808055644893,0.121031706377207,-7.04648985306085,0.000173991963089007,0.00025289529518751
"Ghr_rep1",0.5194,0.516739058702449,3000,0.4434,0.464870677750451,0.133938967068502,-4.11200471821803,0.00413397638425254,0.00545379470218014
"Gm20619_rep1",0.5396,0.542705820134335,3000,0.7915,0.617368498128644,0.1896306701577,-15.6277681259667,2.26201490499687e-08,3.82874148753133e-08
"Cdh13_rep1",0.52,0.521241759592031,3000,0.4679,0.51315843517587,0.0722509793257143,-4.29434351843429,0.0033825780445561,0.00451010405940813
"Gm20619",0.4012,0.4020125317324,3000,0.7294,0.61327176224028,-0.576530594539899,-92.9143813401665,2.58746245855087e-42,9.51272962702526e-42
"Cdh13",0.5234,0.520650459717442,3000,0.4452,0.512885726736986,0.157061723161924,-5.49743886044098,0.000913640407300074,0.0012724796759054
"Gm20619_rep2",0.4501,0.450845477207977,3000,0.6907,0.608283628391605,-0.291371425004478,-22.973739666591,1.21466114007419e-11,2.29181347183809e-11
"Resf1_rep2",0.2671,0.265365181148116,3000,1.0834,0.793196627180997,-1.43579099805928,-496.907276063938,3.96975285624897e-218,4.72589625743925e-217
"Resf1_rep1",0.3133,0.312399463434344,3000,0.9521,0.764669765289537,-1.11524838166073,-310.895769044872,3.04863228141214e-137,2.24164138339128e-136
"Resf1",0.5588,0.558616332624914,3000,0.993,0.793820381855316,0.382925902667322,-31.2225700684717,2.73971049992941e-15,5.75569432758279e-15
"Resf1_rep3",0.3144,0.314266903930898,3000,0.9808,0.805907355214382,-1.10218039480648,-301.539996662186,3.57996524854577e-133,2.55711803467555e-132
"Slc25a13",0.3529,0.35396022262338,3000,0.47,0.617376189311843,-0.866763111220365,-193.204082229932,5.0099498029927e-86,2.60934885572537e-85
"Adra1a",0.3428,0.34525275039775,3000,0.8425,0.763790509105972,-0.93544729150402,-217.620509071359,1.17542996069914e-96,6.38820630814751e-96
"Pdzrn4",0.7224,0.723844410725443,3000,2.5933,1.46166876097691,1.33725899085553,-404.336073624684,7.02413440508493e-178,6.50382815285642e-177
"Pdzrn4_rep1",0.6,0.600440115734035,3000,2.345,1.41281802401097,0.561227851928795,-78.3710748574949,5.82765609689673e-36,1.89209613535608e-35
"Tecrl",0.3811,0.382101708699985,3000,0.5021,0.713113296092648,-0.729315028048548,-113.815535645712,1.95874468187595e-51,7.96237675559331e-51
"Serpine1_rep1",0.4047,0.404018734968735,3000,11.4457,4.87727438064487,-0.576930153731583,-61.0561720793717,2.18129886031465e-28,6.23228245804186e-28
"Tecrl_rep1",0.3982,0.399630132114188,3000,0.5428,0.737742841314304,-0.598976596019065,-82.7046369805012,7.4457017898642e-38,2.4819005966214e-37
"Rapgef2_rep1",0.5267,0.525185242736566,3000,1.4762,1.12229676886945,0.175644830686249,-6.00756796073529,0.000527702395790231,0.000745342366935355
"Serpine1",0.4164,0.416037481962481,3000,18.1424,7.45138584951635,-0.58221014050787,-45.5982969051688,1.30083985034029e-21,3.23592002572212e-21
"Serpine1_rep3",0.3847,0.386246464646466,3000,15.1669,6.33735503805201,-0.661296894026071,-87.1314032222253,8.67346617181239e-40,2.99085040407324e-39
"Pdlim3_rep4",0.1765,0.176211822034462,3000,0.4419,0.753360510951799,-2.22254384563896,-890.520601503117,0,0
"Serpine1_rep2",0.4173,0.417572515447515,3000,15.2263,6.37642729388475,-0.570697675566375,-44.5542188995132,3.7375342112306e-21,9.11593710056245e-21
"Atp1a1_rep1",0.4242,0.424441993897915,3000,1.2392,1.07159658844987,-0.43857734081006,-44.4049982755637,4.34614119919868e-21,1.0548886405822e-20
"Pdlim3_rep2",0.1757,0.17899317696837,3000,0.5116,0.820937135516523,-2.26713562204698,-882.431613073188,0,0
"Pdlim3",0.1704,0.17152819384348,3000,0.4265,0.792987349785444,-2.2945044259695,-906.060815814154,0,0
"Ppm1l_rep1",0.5956,0.593487008362009,3000,1.7687,1.30586440027213,0.593199572869042,-72.294976337379,2.64002674645091e-33,8.14823069892257e-33
"Rapgef2",0.3259,0.328005589176621,3000,1.429,1.18238440366901,-1.09350933569658,-234.094499683842,7.9406727621039e-104,4.56360503569189e-103
"Pdlim3_rep3",0.081,0.0799184714250894,3000,0.463,0.825729817551851,-3.52590693558323,-1647.62266822882,0,0
"Cradd",0.2545,0.254764333814334,3000,0.5593,0.87279805276027,-1.5368769252885,-486.946504945618,8.4929694053377e-214,9.87554582016011e-213
"Ppm1l_rep2",0.6031,0.60354747012247,3000,1.6131,1.27617238067847,0.586118440265196,-82.8470690422732,6.45177062176297e-38,2.16502369857818e-37
"Pdlim3_rep1",0.1686,0.16809187106037,3000,0.5258,0.866274275884204,-2.31692823909363,-909.702311667025,0,0
