"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Actn2_rep2",0.5209941244492,3000,-4973.51266707317,-4973.29176924102,-0.220897832148694,0.506257035634059,0.543194244242553
"Actn2",0.511181516938993,3000,-4981.84436147935,-4981.41360965681,-0.430751822537786,0.353318249070671,0.389117014395012
"Actn2_rep1",0.530388799043104,3000,-4938.27348611061,-4935.80175025453,-2.4717358560838,0.0261893828222698,0.0336624457869792
"Myom1",0.526806169458059,3000,-4861.45026382727,-4844.23931678411,-17.2109470431578,4.43703920152284e-09,1.84876633396785e-08
"Pln",0.572729223075666,3000,-4928.58058637501,-4921.8955061174,-6.68508025761093,0.000255659472933732,0.000581044256667573
"Pln_rep1",0.611791700008467,3000,-4819.54893901416,-4811.29844112018,-8.25049789397417,4.86245300724851e-05,0.000124042168552258
"Pln_rep3",0.563749639727847,3000,-4872.93884808022,-4868.47451673449,-4.46433134572271,0.00280729818465345,0.00516047460414237
"Pln_rep4",0.567990101006293,3000,-4883.42353711434,-4877.37554245183,-6.04799466250643,0.000505303966767152,0.00109848688427642
"Pln_rep2",0.574781956484632,3000,-4858.33856753696,-4856.07469058145,-2.26387695551148,0.033349360735466,0.0415827440591845
"Ank2",0.377612828710779,3000,-4793.76073881033,-4770.41469238725,-23.3460464230793,8.30634897295495e-12,4.46577901771771e-11
"Mast2_rep1",0.326508699009271,3000,-4475.87145301112,-4468.62981862441,-7.24163438670894,0.000141409980728532,0.000333514105491821
"Mast2_rep3",0.484118752013599,3000,-4710.9730439493,-4700.5115226028,-10.4615213465022,4.78108654996728e-06,1.35826322442252e-05
"Mast2",0.681487485286164,3000,-4422.77285135559,-4423.05471048067,0.281859125084338,1,1
"Mast2_rep2",0.488232822174599,3000,-4651.89380123444,-4640.57066363846,-11.3231375959776,1.94737373097538e-06,5.93711503346152e-06
"Arhgap26",0.481466436905643,3000,-4642.18463361871,-4638.07120113833,-4.11343248037792,0.00412747680134545,0.00729236183983296
"Mir99ahg",0.71692122546802,3000,-4193.13086806013,-4186.36245324266,-6.76841481747033,0.000233927220955398,0.000534080413140177
"Synpo2",0.360822338037699,3000,-4455.49651956433,-4406.96897155922,-48.5275480051096,6.74247971154826e-23,6.6102742270081e-22
"Pam",0.422910317634545,3000,-4312.85526620138,-4263.29204004762,-49.5632261537685,2.36882948033588e-23,2.46753070868321e-22
"Camk2d_rep1",0.474805261108326,3000,-4192.90368762119,-4185.6431026498,-7.26058497139184,0.00013859331047989,0.000328420167013957
"Ifrd1",0.622785758523182,3000,-3885.1231833369,-3885.30715569304,0.183972356137474,1,1
"Camk2d",0.476994556795409,3000,-4165.96719309411,-4157.14197891534,-8.82521417877069,2.65455482369121e-05,6.91290318669587e-05
"Msrb3",0.49405487797399,3000,-4081.97380492229,-4076.56457562141,-5.40922930087891,0.00100493118878694,0.00205087997711621
