"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Dcaf11",0.430166666666667,3000,-0.412748112327818,0.0663802035874141,0.93,1
"Impa1",0.581,3000,0.458876558018372,-0.0149484676826432,0.228,0.905222437137331
"Dnaja4",0.534,3000,0.173188913272459,-0.0321082786854276,0.152,0.905222437137331
"Ndufb2",0.494666666666667,3000,-0.0311503076160523,-0.0238137209839806,0.44,0.942574257425743
"Cwf19l2",0.425777777777778,3000,-0.43665607541309,0.104964938454486,0.752,1
"Polr3b",0.504999999999999,3000,0.0131453760569273,-0.0235964481312294,0.17,0.905222437137331
"Ddit4",0.751333333333333,3000,1.58609892853958,-0.013602716484229,0.256,0.911764705882353
"Snurf",0.236222222222222,3000,-1.69713961367302,-216.4206733681,0,0
"Maml3",0.643833333333333,3000,0.864241357316813,0.0958223292013827,0.7,1
"Dhx30",0.493555555555555,3000,-0.0741697034228573,0.0709403724381445,0.98,1
"Abcf3",0.436666666666666,3000,-0.361656402950821,-0.0043964540336674,0.324,0.91830985915493
"Ghr",0.524003619916662,3000,0.121031706377207,-289.390025004743,0,0
"Rimoc1",0.609666666666667,3000,0.64547485041734,-0.02043599571698,0.346,0.923076923076923
"Nfyc",0.492508321308321,3000,-0.00716233051647613,435.458034605921,1,1
"Hsd17b11",0.745333333333332,3000,1.54883257376597,-0.0184484581313882,0.414,0.942574257425743
"Sacm1l",0.385666666666667,3000,-0.71197422151151,-0.150299407066541,0.298,0.911764705882353
"Spta1",0.542333333333333,3000,0.237805109829306,-0.0745232859130738,0.272,0.911764705882353
"Zfp386",0.524333333333334,3000,0.149848208741375,-0.0179121211967868,0.538,0.968496849684969
"Cyp4f17",0.432,3000,-0.380042077922638,-0.0018694777586461,0.102,0.788104089219331
"Pla2r1",0.450666666666667,3000,-0.276560731596059,-0.0205967348256308,0.238,0.910133843212237
"Mindy3",0.441166666666667,3000,-0.36660648398752,0.0719328864788622,0.956,1
"Tmem259",0.463,3000,-0.240354293738785,-0.0139420834043449,0.756,1
"Pla2r1_rep1",0.696999999999998,3000,1.18403610094539,-0.0162954485633691,0.186,0.905222437137331
"Cecr2",0.563777777777781,3000,0.353884024678196,0.102369431583611,0.7,1
"Impa1_rep1",0.498333333333333,3000,-0.00595628406427129,-0.0169078367071052,0.358,0.927461139896373
"Dnajb9",0.494333333333333,3000,-0.0332473243262227,-0.0113312793014302,0.414,0.942574257425743
"Bbs2",0.269666666666667,3000,-1.44143518934345,-0.00717818515522595,0.5,0.959086584205519
"Ercc6",0.653,3000,0.893360602050405,-0.0197295988498354,0.144,0.886153846153846
"Cfdp1",0.517666666666666,3000,0.0447742260767339,-0.0455381451947687,0.02,0.248447204968944
"Abcd3",0.530408730158731,3000,0.199161326784134,37.4808606660604,1,1
"Cyp39a1",0.554666666666667,3000,0.311726782036548,-0.0125815651681478,0.306,0.911764705882353
"Auh",0.448,3000,-0.277953302676433,-0.122794086212707,0.072,0.660550458715596
"Anapc16",0.515166666666667,3000,0.0893786160675372,0.0830535947206954,0.81,1
"Eva1c",0.360444444444444,3000,-0.877155894071458,0.0711015061826856,0.98,1
"Oser1",0.527666666666667,3000,0.177787119215282,-0.00766860380554135,0.754,1
"Tmem184c",0.500333333333333,3000,0.0353743301018858,-0.0208267141624674,0.772,1
"Creb5",0.547,3000,0.222751747624952,-0.353122397901643,0.074,0.669683257918552
"Smurf2",0.604333333333336,3000,0.57887002950105,-0.0924986031486696,0.124,0.837209302325581
"Mrpl23",0.403666666666667,3000,-0.540844521671878,-0.00408389319818525,0.064,0.60377358490566
"Atpsckmt",0.396,3000,-0.58825507356351,-0.0102131508135699,0.1,0.78740157480315
"Stradb",0.443333333333333,3000,-0.344705565815514,-0.0263159961182282,0.526,0.968496849684969
"Zbed5-ps",0.36266666666667,3000,-0.816185221194786,-0.133108659912295,0.304,0.911764705882353
"Mrpl23_rep1",0.422666666666667,3000,-0.463306708372097,-0.00471751091231454,0.722,1
"Phf12",0.518,3000,0.113697210974649,-0.0165171326075324,0.538,0.968496849684969
"Slc4a7",0.398833333333333,3000,-0.56880271089734,0.106006255657576,0.728,1
"Irf2",0.393296031746032,3000,-0.631497184662326,65.9259443848596,1,1
"9430037G07Rik",0.225033333333333,3000,-1.7885430563447,-267.027820092692,0,0
"Tbcd",0.558333333333334,3000,0.353636954614696,-0.0160378278796998,0.688,1
"Trmt61b",0.558,3000,0.335425340286278,-0.0209099678486382,0.366,0.930817610062893
"Atxn7",0.5215,3000,0.0514336004010317,0.0860464189913728,0.512,0.960600375234522
"Myo19",0.273999999999999,3000,-1.39281158104387,-0.019885285001692,0.184,0.905222437137331
"Pias2",0.498833333333336,3000,0.0212373075503045,0.0951835046039378,0.696,1
"Atg3",0.441666666666668,3000,-0.332899212708373,-0.00814449936797246,0.35,0.923076923076923
"Gna12",0.579333333333333,3000,0.454617816904247,-0.0247786543109214,0.272,0.911764705882353
"Impa1_rep2",0.529,3000,0.176387252072009,-0.0156854998381277,0.536,0.968496849684969
"Eif3h",0.506,3000,0.0435328945547123,-0.0396948653492473,0.362,0.930817610062893
"Deptor",0.164311111111111,3000,-2.39419552463769,-1046.78125012002,0,0
"Gm35330",0.800169228157463,3000,2.04331936296758,-418.160857067637,0,0
"Tiam1",0.298333333333333,3000,-1.23957543300981,-0.0265414144269016,0.416,0.942574257425743
"Cdc73",0.553111111111111,3000,0.298091455804069,0.525021809316968,0.99,1
"Prpf3",0.480333333333333,3000,-0.126333762087266,9.72226007434074e-06,0.252,0.911764705882353
"Cct4",0.351,3000,-0.91901942662978,-0.0108005200902426,0.848,1
"Klf15",0.475,3000,-0.132103536007343,-0.0234808732770944,0.276,0.911764705882353
"Apbb2",0.701611111111111,3000,1.21373673428358,15.246216902849,1,1
"Syk",0.414333333333334,3000,-0.519353537527967,-0.0944783853824447,0.42,0.942574257425743
"Zfp608",0.5275,3000,0.145593423682032,0.0956353241781471,0.712,1
"Snhg11",0.616972222222222,3000,0.760528602526787,9.01112706106778,1,1
"Uevld",0.489666666666666,3000,-0.0956352790505105,-0.0128449818544141,0.844,1
"Gnaq",0.487816666666666,3000,-0.0951162137857136,6.1023609229278,1,1
"Resf1",0.558616332624914,3000,0.382925902667322,-137.524749628904,0,0
"Macrod1",0.561881746031747,3000,0.350898848314975,13.5129925313713,1,1
"Acox1",0.46365,3000,-0.143944248754786,214.467921768861,1,1
"Paip2",0.545722222222222,3000,0.265770114437969,0.302846917871648,0.936,1
"Mob4",0.571333333333333,3000,0.434199756365737,-0.0138143694684913,0.66,1
"Col5a1",0.252555555555555,3000,-1.54551135000243,0.889858816899732,1,1
"Deptor_rep1",0.165513888888889,3000,-2.41081785590544,-221.662560767705,0,0
"Gm33609",0.18,3000,-2.18985366454484,0.769984966213997,0.552,0.972972972972973
"Rftn1",0.569666666666667,3000,0.430416139670987,-0.022345974741711,0.63,0.994492525570417
"Gclm",0.591166666666667,3000,0.508322628765352,0.07200097705595,0.832,1
"Ralgapa1",0.524088612313612,3000,0.199056116669988,-842.020346939406,0,0
"Zfand3",0.49995873015873,3000,-0.0253110885291857,103.172601743114,1,1
"Gsto1",0.687388888888889,3000,1.11480330827644,0.180591627695094,0.982,1
"Rnf217",0.463666666666667,3000,-0.243076575508186,-0.0303482327485654,0.63,0.994492525570417
"Gm19689",0.651333333333333,3000,0.893830037936897,-0.0170855005201247,0.238,0.910133843212237
"Limk2",0.652333333333333,3000,0.892305803061921,-0.00736395397666456,0.146,0.895705521472393
"Ube2q2",0.549333333333333,3000,0.299954468527228,-0.0265123761992072,0.428,0.942574257425743
"Rnf217_rep1",0.462333333333333,3000,-0.195635120548208,-0.0299169320433066,0.208,0.905222437137331
"Smim14",0.466166666666667,3000,-0.216012738063998,0.0836399033687485,0.768,1
"Ikzf2",0.487266666666667,3000,-0.0692516876582634,0.088788847325759,0.736,1
"Nkiras1",0.643666666666667,3000,0.874012062616614,-0.007032975104039,0.826,1
"Miga2",0.563666666666666,3000,0.378226308303538,0.824602574190067,0.994,1
"Ice1",0.74,3000,1.53390390027847,-0.00536437022947212,0.802,1
"Gm56984",0.665,3000,1.05037606093159,-0.116705683810324,0.466,0.942574257425743
"Resf1_rep1",0.312399463434344,3000,-1.11524838166073,-272.731508515333,0,0
"Msl1",0.481666666666667,3000,-0.119846527787131,-0.00593392297651008,0.768,1
"Lnpep",0.421343253968252,3000,-0.43007972838628,192.673228444678,1,1
"Wdr70",0.527555555555556,3000,0.154541968742927,0.0786868639347631,0.826,1
"Usp19",0.346666666666666,3000,-0.929644005712442,-0.000445914873353104,0.834,1
"Unc45a",0.603666666666667,3000,0.632443821980271,-0.0165536789625094,0.732,1
"Ift43",0.622666666666667,3000,0.746081422891128,-0.0040276385159359,0.818,1
"Fermt2",0.59612962962963,3000,0.525895785157321,3.70590535875999,1,1
"Fah",0.168472222222222,3000,-2.27892051579987,-478.622667648752,0,0
"Msl1_rep1",0.486666666666667,3000,-0.0898046581424139,-0.00487685251937364,0.704,1
"Nup42",0.491,3000,-0.0428430010057362,-0.0202789512709387,0.276,0.911764705882353
"Rab20",0.350333333333333,3000,-0.880528324810603,-0.0315270038731796,0.342,0.921832884097035
"Tmem170b",0.501333333333333,3000,0.0044213796201652,-0.00872284672641399,0.384,0.935444579780755
"D830024N08Rik",0.563474747474747,3000,0.346712226714655,8.84108569663704,1,1
"Mast2",0.681487485286164,3000,1.08445307897783,-25.413508968908,0,0
"Ip6k3",0.787444444444445,3000,1.86657473410927,-199.917868820352,0,0
"Arpc5",0.491666666666666,3000,-0.0414114946845948,-0.00922309138468336,0.352,0.923076923076923
"Gdpd5",0.463,3000,-0.206888844610292,-0.012250465278612,0.324,0.91830985915493
"Rbm28",0.656666666666667,3000,0.997611431505898,-0.024721482497398,0.8,1
"Ogfrl1",0.683,3000,1.10928221846043,-0.0232258601140529,0.472,0.942574257425743
"Per2",0.685999999999996,3000,1.14164292417255,-0.0279946819969155,0.378,0.93398533007335
"Slc31a1",0.68,3000,1.12638555926578,-0.0219127628733986,0.652,1
