"","AR","N","log2FC","llr","pval","padj"
"Dcaf11",0.430166666666667,3000,-0.412748112327819,0.175892757643396,1,1
"Impa1",0.581,3000,0.458876558018374,-0.972159420304934,0.163200367442869,0.492338075119279
"Dnaja4",0.534,3000,0.17318891327246,-0.743984665205062,0.222531797166482,0.598203755823877
"Ndufb2",0.494666666666667,3000,-0.0311503076160586,-14.5959608491307,6.55519442816368e-08,4.0842332885755e-07
"Cwf19l2",0.425777777777778,3000,-0.436656075413093,-2.3466731531289,0.0302796234704904,0.134875828376349
"Polr3b",0.504999999999999,3000,0.0131453760569222,-12.195181390317,7.86612156363842e-07,4.78183681680147e-06
"Ddit4",0.751333333333333,3000,1.58609892853958,-1.44966670665553,0.0886161911097871,0.323416755875136
"Snurf",0.236222222222222,3000,-1.69713961367302,-218.983766530144,2.99772408120568e-97,5.16848979518221e-96
"Maml3",0.643833333333333,3000,0.864241357316827,-159.290061801716,2.95245425426213e-71,4.43978083347689e-70
"Dhx30",0.493555555555555,3000,-0.0741697034228568,0.0753167688690155,1,1
"Abcf3",0.436666666666666,3000,-0.36165640295082,-1.177024162012,0.124958122832594,0.415143265224566
"Ghr",0.524003619916662,3000,0.121031706377207,-281.953790095299,1.18739205343286e-124,2.4232490886385e-123
"Rimoc1",0.609666666666667,3000,0.64547485041734,-0.0216078975877281,0.835319471574963,1
"Nfyc",0.492508321308321,3000,-0.00716233051647562,434.170096935531,1,1
"Hsd17b11",0.745333333333332,3000,1.54883257376597,-18.8235786652747,8.47701236062299e-10,5.68927004068657e-09
"Sacm1l",0.385666666666667,3000,-0.71197422151151,0.0580269749668787,1,1
"Spta1",0.542333333333333,3000,0.237805109829307,-0.184380612240602,0.543680282384022,0.951018732437626
"Zfp386",0.524333333333334,3000,0.149848208741376,0.122126571734498,1,1
"Cyp4f17",0.432,3000,-0.38004207792264,-0.880567792714828,0.184482935893178,0.529362800267368
"Pla2r1",0.450666666666667,3000,-0.27656073159606,0.0110312004799198,1,1
"Mindy3",0.441166666666667,3000,-0.366606483987521,-0.793238440798632,0.207830212176617,0.574910683752743
"Tmem259",0.463,3000,-0.240354293738785,-0.585062474568076,0.279375568316645,0.682235820065068
"Pla2r1_rep1",0.696999999999998,3000,1.18403610094539,-43.9793254936824,6.68371560310117e-21,5.83730620358181e-20
"Cecr2",0.563777777777781,3000,0.35388402467821,-96.5015120627049,7.028490362126e-44,9.06901982209806e-43
"Impa1_rep1",0.498333333333333,3000,-0.00595628406427096,-0.0924960015317993,0.667117832273734,1
"Dnajb9",0.494333333333333,3000,-0.0332473243262238,-0.196737744316579,0.530478171470229,0.941365359787391
"Bbs2",0.269666666666667,3000,-1.44143518934345,-50.3599988822527,1.05950451448035e-23,9.85585594865439e-23
"Ercc6",0.653,3000,0.893360602050405,-0.246446219745167,0.482639882761026,0.908775116332833
"Cfdp1",0.517666666666666,3000,0.0447742260767344,-0.998330572841041,0.15764613719558,0.485812441280678
"Abcd3",0.530408730158731,3000,0.199161326784133,34.8706995060697,1,1
