"","AR","N","log2FC","llr","pval","padj"
"Dcaf11",0.430166666666667,3000,-0.412748112327819,-60.2825264725197,4.75806516095345e-28,6.65463658874608e-28
"Impa1",0.581,3000,0.458876558018374,-75.1703453029629,1.46047261720051e-34,2.42603424784138e-34
"Dnaja4",0.534,3000,0.17318891327246,-128.728678750611,6.14839525004077e-58,2.23578009092392e-57
"Ndufb2",0.494666666666667,3000,-0.0311503076160586,-122.582019868849,2.94281616904456e-55,9.79306545439121e-55
"Cwf19l2",0.425777777777778,3000,-0.436656075413093,-171.946271758545,9.06061853865828e-77,6.40326398491751e-76
"Polr3b",0.504999999999999,3000,0.0131453760569222,-119.320973865004,7.77723045215498e-54,2.47682498476273e-53
"Ddit4",0.751333333333333,3000,1.58609892853958,-66.5279314333841,8.79032043572779e-31,1.30130576398635e-30
"Snurf",0.236222222222222,3000,-1.69713961367302,375.946228183502,1,1
"Maml3",0.643833333333333,3000,0.864241357316827,-360.880868388417,5.54081594704224e-159,3.82125237727051e-157
"Dhx30",0.493555555555555,3000,-0.0741697034228568,-94.1928740233634,7.15640797507541e-43,1.54733145407036e-42
"Abcf3",0.436666666666666,3000,-0.36165640295082,-48.8451034576406,4.89236021433894e-23,6.12693827719342e-23
"Ghr",0.524003619916662,3000,0.121031706377207,-286.988882316055,7.65686865769536e-127,3.82843432884768e-125
"Rimoc1",0.609666666666667,3000,0.64547485041734,-94.1818174564851,7.2363926524759e-43,1.56293577807255e-42
"Nfyc",0.492508321308321,3000,-0.00716233051647562,2374.8829424549,1,1
"Hsd17b11",0.745333333333332,3000,1.54883257376597,-102.495003469187,1.70202490682265e-46,4.17162967358492e-46
"Sacm1l",0.385666666666667,3000,-0.71197422151151,-210.321789023813,1.76751922364738e-93,2.59929297595203e-92
"Spta1",0.542333333333333,3000,0.237805109829307,-157.023384022316,2.86867685049482e-70,1.60261276563957e-69
"Zfp386",0.524333333333334,3000,0.149848208741376,-84.7732080588144,9.29468098562188e-39,1.77718565690667e-38
