"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Ank2",0.470892767940832,1000,-0.0417386037481193,-7.46299700526606,0.000111811712309527,0.000225882247089953
"Pln",0.645739512328875,1000,0.923299984426017,-95.6312663958165,1.68559054631601e-43,1.68559054631601e-42
"Camk2d",0.473426864399504,1000,-0.183214711875789,-10.7464965980353,3.55123876993039e-06,8.25869481379161e-06
"Ghr",0.512265088261412,1000,0.0799389250323985,-0.414489056607408,0.362568184730986,0.436829138230104
"Cdh13",0.502687629445718,1000,0.072756342435314,-0.529351807193962,0.30351104674453,0.374704995980901
"Gm35330",0.81998116050616,1000,2.19507008482174,-359.088759494444,3.33391689309439e-158,1.66695844654719e-156
"Resf1",0.33873431417224,1000,-1.0578256714023,-88.811878272756,1.60055036170861e-40,1.39178292322488e-39
"Ppip5k2",0.604051971394618,1000,0.635617717084848,-19.7508296232231,3.27780794709917e-10,1.15010805161374e-09
"Actc1",0.387720277039782,1000,-0.71958351593797,-47.4963662909877,1.91085490864158e-22,1.09191709065233e-21
"Atp1a1",0.469595115995116,1000,-0.0868472548776943,-5.72145246700211,0.00071767504972675,0.00130486372677591
"Pdlim3",0.245988123662543,1000,-1.43669333376261,-177.572137785527,3.21309595437119e-79,7.14021323193597e-78
"Rapgef2",0.527948352962827,1000,0.130412385224445,-0.0303302789398003,0.805454931667286,0.84784729649188
"Pakap",0.484451461620817,1000,-0.124328135002202,-3.29399846436274,0.0102668626788558,0.0160419729357122
"Gphn",0.644181551781552,1000,0.841096404648939,-36.5195801568607,1.27102752858274e-17,5.91175594689645e-17
"Art1",0.359757921245421,1000,-0.774547778914494,-58.8297736383977,2.05856519614337e-27,1.37237679742891e-26
"Ube2b",0.527949603174603,1000,0.135126038865044,-0.0273908038536774,0.814942504850786,0.85334293701653
"Ralgapa1",0.639555086580087,1000,0.86474017038953,-32.9683971124701,4.65617725733392e-16,2.02442489449301e-15
"Vps13a",0.482571031746032,1000,-0.0323267162853421,-2.96479530563238,0.0148887003347122,0.0227825386509424
"Myom2",0.500167063492064,1000,-0.0470253348258876,-0.904070171984358,0.178731474210834,0.235172992382677
"Ubr5",0.372116666666667,1000,-0.790484447899743,-48.2182439109663,9.21530821053687e-23,5.42076953560992e-22
"Dtna",0.434027777777778,1000,-0.410742482588045,-16.5844264762291,8.44931667672643e-09,2.59978974668505e-08
"Slc24a2",0.722666666666667,1000,1.52984602837122,-84.2500662136332,1.57311631198961e-38,1.25849304959169e-37
"Nfyc",0.506984415584415,1000,0.0771031526199172,-0.341281956532384,0.408705245608909,0.483674846874448
"Lnpep",0.495183333333333,1000,-0.0558532347335164,-1.29110580499389,0.108070572050962,0.149062858001327
"Auts2",0.643197619047619,1000,0.650624745227158,-27.9574925627828,7.56735601844629e-14,3.15306500768596e-13
"Atcayos",0.515294047619048,1000,0.0671141958585372,-0.0983409438105127,0.657412567563044,0.71848368039677
"Agl",0.527428210678211,1000,0.19285475675112,-0.0915845225551948,0.668663840241758,0.72680852200191
"Aox1",0.841558333333333,1000,2.3437372423337,-231.793654725121,7.96594477184482e-103,2.27598422052709e-101
"Pard3",0.52712619047619,1000,0.165284614550403,-0.0808179304357282,0.687654863762287,0.743410663526797
"Usp28",0.554904761904762,1000,0.340378946993534,-2.41023039049844,0.0281238260885895,0.0413585677773375
"Abhd18",0.459990476190476,1000,-0.194798033185837,-7.39395971821568,0.000120303726515357,0.000240607453030713
"Lclat1",0.461455555555556,1000,-0.057908578028001,-5.69168728893612,0.000741043686638175,0.00133521384979851
"Lims1",0.44305,1000,-0.31109428897609,-13.2776922868292,2.56089953141398e-07,7.21380149694079e-07
"Arih1",0.497111111111111,1000,-0.0273886681141246,-1.3032731127447,0.106423314278843,0.147810158720615
"Sptan1",0.601928571428571,1000,0.64924325205342,-12.6799632179783,4.75698175502978e-07,1.2197389115461e-06
"Casq2",0.469866666666667,1000,-0.241281078698722,-5.23379928441102,0.00121486538128488,0.002131342774184
"Grk5",0.692125,1000,1.14152976221554,-61.3367168115014,1.64397915519552e-28,1.17427082513965e-27
"Sema3a",0.68,1000,0.976660873912693,-51.5068873427517,3.32826039522723e-24,2.01712751225893e-23
"Osbpl9",0.528333333333333,1000,0.149205816677501,-0.104273286901275,0.647908977274022,0.71198788711431
"Thrb",0.5294,1000,0.162870243908362,-0.115183220340896,0.631252251290509,0.697516299768518
"Tnni3",0.423864285714286,1000,-0.397550072550002,-19.2738421247718,5.34321302916029e-10,1.7810710097201e-09
"Ces1d",0.455616666666667,1000,-0.170516391096377,-8.28938571874198,4.66705129283214e-05,9.92989636772795e-05
"Mef2a",0.506607142857143,1000,0.0169133829363461,-0.471947659235866,0.33127807473943,0.401549181502339
"Nppb",0.509,1000,0.10224076429905,-0.150858219599741,0.582808363199151,0.647564847999056
"Vti1a",0.572166666666667,1000,0.406520087598854,-5.12119310289347,0.00137249925034475,0.00238695521799087
"Chpt1",0.409933333333333,1000,-0.521277547559809,-24.936589644223,1.64011332885803e-12,6.30812818791548e-12
"Idh3b",0.275747619047619,1000,-1.36781053208059,-127.06350596424,3.27146805087207e-57,5.45244675145345e-56
"Tafa2",0.559,1000,0.307509034974396,-2.80811386859568,0.017794910100382,0.0269619850005788
"Snhg11",0.601583333333333,1000,0.547719982482666,-13.0884637427123,3.11522514597917e-07,8.53486341364155e-07
"Irf2",0.375283333333333,1000,-0.697161278308861,-43.0091751350834,1.78273656212803e-20,9.14223878014373e-20
"Ppip5k1",0.568166666666667,1000,0.319084544681647,-3.99056327926758,0.00472675187495661,0.00794412079824641
"Dennd4c",0.44755,1000,-0.324790180362307,-10.9303184802862,2.93186825910287e-06,6.89851355083028e-06
"Abcd3",0.448697619047619,1000,-0.278442950697625,-10.6384754303189,3.97482240256586e-06,9.13752276451922e-06
"Afg3l2",0.4355,1000,-0.381429106636026,-14.8664597684074,4.95855949104231e-08,1.43726362059197e-07
"Rapgef4",0.372,1000,-0.836603401803806,-44.7892809945713,2.9470033659955e-21,1.59297479243e-20
"Birc6",0.552083333333333,1000,0.330620301889729,-1.75113293194795,0.0612849259884634,0.0888187333166137
"Tef",0.490369047619048,1000,0.0830956157634624,-0.709159312222368,0.233680347571436,0.292100434464295
"Mpped2",0.34,1000,-0.815400390538185,-65.7565482016572,1.91208756060239e-30,1.47083658507876e-29
"Fermt2",0.496,1000,0.0207043937645341,-1.16214437349527,0.127368426150755,0.172119494798318
"Gm9895",0.8,1000,1.8973599578704,-168.355824319154,3.31913655688938e-75,6.63827311377875e-74
"Ankhd1",0.535769047619047,1000,0.164571766948105,-0.293273957431325,0.443757131893778,0.519014189349448
"Ube2k",0.4506,1000,-0.341939236707974,-9.94855662053158,8.17236335879639e-06,1.79612381512009e-05
"Cdh8",0.0448571428571428,1000,-4.43176264649335,-834.539994108491,0,0
"Fbxl20",0.522,1000,0.0874628412503397,0.113156721768974,1,1
"Miga2",0.493116666666667,1000,-0.0665831098812935,-1.49680558152761,0.0835935613571767,0.117737410362221
"Gdnf",0.1275,1000,-2.75323398331096,-512.002848851494,1.08731108868806e-224,1.08731108868806e-222
"Tnrc6a",0.627399999999999,1000,0.794155424302751,-22.6913903325382,1.62052867433999e-11,6.00195805311108e-11
"Rab7",0.475,1000,-0.0595208114459219,-3.87391771662919,0.00537769588020548,0.00896282646700914
"Gm16685",0.6985,1000,1.19581932573754,-65.2023745057751,3.34189730455821e-30,2.47547948485793e-29
"Elp4",0.445,1000,-0.347292892643009,-11.6598285170253,1.3719073107111e-06,3.34611539197829e-06
"Maml3",0.485,1000,-0.121438127449975,-2.54707180470962,0.0240067651583054,0.0361003987342938
"Tshz1",0.65525,1000,0.898051792373697,-36.8614970551437,8.98856721011455e-18,4.28027010005455e-17
"Adcy9",0.526,1000,0.187370135901722,0.0518807270523212,1,1
"Slc6a6",0.517,1000,0.124498542117886,-0.0020836444748511,0.948528679048456,0.977864617575728
"Klhl33",0.593,1000,0.5668565637625,-10.4007790597919,5.09415027812967e-06,1.14475287148981e-05
"Macrod1",0.670500000000001,1000,0.954102290051159,-45.4874494977638,1.45506285189293e-21,8.08368251051627e-21
"Cdc73",0.537,1000,0.212867619139294,-0.498941584456929,0.317823261721267,0.387589343562521
"Lncbate10",0.76,1000,1.51687351087899,-120.228390570985,3.1268513454404e-54,4.46693049348629e-53
"Sqstm1",0.478,1000,-0.0934946881541893,-3.68840546736249,0.00660702257247105,0.0106564880201146
"Rad51b",0.384,1000,-0.682597503843286,-38.0706165615472,2.64085024256481e-18,1.32042512128241e-17
"Zbed5-ps",0.5565,1000,0.441808728074485,-1.726515486381,0.0631358920044406,0.0908430100783319
"Tmem182",0.475,1000,-0.115957555377057,-4.24170178212466,0.00358400945028707,0.00607459228862215
"Ambra1",0.532416666666667,1000,0.12832409697554,-0.0243332905290572,0.825399981007307,0.859791646882612
"Pdss2",0.5035,1000,-0.0501334334746443,-0.358778027352514,0.396946739431036,0.47309972043651
"Rock1",0.654666666666667,1000,0.956483277905498,-36.2796022286101,1.62095442084278e-17,7.36797464019443e-17
"Nr1d2",0.575583333333333,1000,0.397421956361872,-5.78972550852416,0.000666846256576444,0.0012235711129843
"Gm31013",0.406000000000001,1000,-0.542898441154611,-26.7734655043282,2.52488540250013e-13,1.03056547040822e-12
"Cdh20",0.352,1000,-0.853361851093603,-58.113439591426,4.23917339553892e-27,2.73495057776704e-26
"Comt",0.585,1000,0.515564375232808,-8.20415559382423,5.10608520705481e-05,0.000107496530674838
"Auh",0.4635,1000,-0.206597485367648,-6.69650987882994,0.000252562442901592,0.000476532911135079
"Rab3gap1",0.541,1000,0.209992321506292,-0.743060427721502,0.22281930778462,0.282012816918736
"Smim14",0.424,1000,-0.40481623723077,-18.9399113336059,7.52393890317373e-10,2.42707706553991e-09
"Gm56984",0.5092,1000,0.103389142340801,-0.1607095530577,0.570756059711955,0.641298943496578
"Xrn1",0.506,1000,-0.0268512196494317,-0.246912204071009,0.482226265414663,0.554283063695015
"Osbpl6",0.5575,1000,0.239093440907058,-2.10621268418151,0.0401289213371562,0.0585823669155565
"Kat2b",0.53,1000,0.174833801825935,-0.153078608768396,0.580047899579762,0.647564847999056
"Tmod1",0.5335,1000,0.223036337901875,-0.250473599967677,0.479084226184133,0.553854596744662
"Setd2",0.441666666666667,1000,-0.307404982710692,-12.7205367836204,4.56103147749048e-07,1.18468350064688e-06
"Il15ra",0.425,1000,-0.479331176075002,-18.5656898681652,1.10432226993898e-09,3.50578498393327e-09
"Atp11a",0.423,1000,-0.429124635591211,-19.4037496252058,4.67727475350867e-10,1.58551686559616e-09
"Cipc",0.507,1000,0.0882271830117354,-0.270880149102254,0.461704116046999,0.536865251217441
"Apbb2",0.733333333333333,1000,1.39249867725992,-94.3039926764521,6.40005202234871e-43,6.09528764033211e-42
"Galnt17",0.527,1000,0.173416399960902,-0.0489148188532909,0.754449864728669,0.802606239073052
"Deptor",0.1315,1000,-2.71149490665009,-336.952648798816,1.41358692430565e-148,5.65434769722261e-147
"Sdhb",0.548,1000,0.393957781160017,-0.664741472477203,0.248897223233725,0.309189097184752
"Tpp2",0.518,1000,0.0893990850531065,-0.0121492597812676,0.876127748924358,0.907904403030423
"Ddx50",0.575,1000,0.43249469635539,-5.83192533220961,0.000637263008402925,0.00118011668222764
"Afg2a",0.462,1000,-0.223054967865149,-7.05171384008463,0.000173028189995714,0.000339270960775909
"Pparg",0.493,1000,0.0773057261674489,-0.73864123541432,0.224200189450395,0.282012816918736
"Eya3",0.547,1000,0.256339753259786,-1.31590007523505,0.10474289768156,0.146493563190994
"Eprs1",0.423,1000,-0.384980265422665,-19.1492932202532,6.07066042395488e-10,1.99038046687045e-09
"Cpeb1",0.5955,1000,0.591240947239458,-11.0875451195127,2.48882014461905e-06,5.99715697498567e-06
"Best3",0.9593,1000,4.57266514191777,-464.094192777993,7.31321512182286e-204,4.87547674788191e-202
"Fbxw4",0.482,1000,-0.0625949427920081,-2.96279370578338,0.0149225628163673,0.0227825386509424
"Nsd3",0.44,1000,-0.333578454626287,-13.2502733312358,2.63463545806572e-07,7.31843182796032e-07
"Ppp4r1",0.445,1000,-0.325330105992593,-11.6864758206179,1.33441754663409e-06,3.29485813983726e-06
"Gipc2",0.735,1000,1.44692156029863,-96.0347366320656,1.12362726354462e-43,1.18276554057328e-42
"Ltbp1",0.615333333333333,1000,0.699565622361012,-18.0071346808368,1.95877831164622e-09,6.12118222389444e-09
"Slc25a33",0.473,1000,-0.108852140937229,-4.5092813942664,0.00267251447991594,0.00460778358606197
"Rsrc1",0.533,1000,0.0912852505199423,0.316705464631355,1,1
"Gm33474",0.4685,1000,-0.180982160416816,-5.58739850128768,0.000829159671062421,0.00148064226975432
"Rcsd1",0.498666666666667,1000,-0.00435859860489574,-1.04031104850264,0.149179366982018,0.200240761049689
"Pcm1",0.4935,1000,-0.0393486674758246,-1.54966163546976,0.0783248466788533,0.111099073303338
"Slc27a1",0.65775,1000,0.916979413232102,-37.9464664938882,2.99469920632955e-18,1.46082888113637e-17
"Rasa1",0.5005,1000,-0.0131553650828791,-0.856129614410065,0.19069250930442,0.244477576031308
"Eif4g1",0.511666666666667,1000,0.0506260730699674,-0.178403782173291,0.550284600547346,0.625323409712893
"Hibch",0.63,1000,0.771134734144851,-24.09844037142,3.85501102742443e-12,1.45472114242431e-11
"Smurf2",0.4625,1000,-0.203283598388744,-6.9095332542139,0.000201283217368973,0.000387083110324949
"Cul5",0.317,1000,-1.14135584924555,-85.2367391873064,5.83115935290901e-39,4.85929946075751e-38
"Ptp4a2",0.4795,1000,-0.117069303335663,-3.5040433230705,0.00811423526002666,0.0128797385079788
"Ccdc50",0.2495,1000,-1.56435222104587,-153.792162274066,7.33617816851357e-69,1.33385057609338e-67
"6030443J06Rik",0.732,1000,1.55700527117338,-92.7886900555081,2.93597229354877e-42,2.66906572140798e-41
"Tra2b",0.452,1000,-0.186126420128012,-9.1598482925175,1.8676615975381e-05,4.01647655384537e-05
"Sclt1",0.535,1000,0.184329809730392,-0.35808398990298,0.397403765166669,0.47309972043651
"Zfp654",0.5405,1000,0.171236184883369,-0.501509077394758,0.316581303188491,0.387589343562521
"Spred2",0.6345,1000,0.82833994718694,-26.0694964416257,5.17078841040175e-13,2.02776016094186e-12
"Dtnbp1",0.509,1000,0.100150109267565,-0.162372950177883,0.568769394843022,0.641298943496578
"Ddit3",0.546,1000,0.286353676418919,-1.2096488532593,0.119848649987996,0.16305938773877
"Trp53inp2",0.274,1000,-1.3905844555543,-126.386099020879,6.45785901116924e-57,9.93516770949114e-56
"Papola",0.492666666666667,1000,-0.00223847219600004,-1.55759598531665,0.0775653382752923,0.11080762610756
"Chd4",0.62,1000,0.654435540845399,-19.6340005519801,3.6944655066189e-10,1.27395362297203e-09
"Plin2",0.417,1000,-0.4696342527929,-21.8454572207457,3.8455291051056e-11,1.3983742200384e-10
"Samd5",0.4,1000,-0.641546029087523,-29.4790117137968,1.61071715721816e-14,6.85411556263047e-14
"Slc16a7",0.294,1000,-1.31483479714101,-106.061531147898,4.72807779494593e-48,5.25341977216214e-47
"Rai1",0.496,1000,-0.0270936608822754,-1.28049210110385,0.109530376407437,0.150041611517036
"R3hdm2",0.757,1000,1.67066205296894,-117.915051503832,3.19125720772547e-53,3.75442024438291e-52
"Ndrg2",0.557,1000,0.355094958822562,-2.53863357499267,0.0242415504355913,0.0361814185605841
"Pcbd2",0.565,1000,0.362282259924226,-3.83246618632586,0.00563043707795802,0.00930650756687277
"Tenm3",0.582,1000,0.525607223104735,-7.33029404112415,0.000128709583948323,0.000254870463264006
"Fyttd1",0.452,1000,-0.232608104647392,-9.50904322978977,1.29485281097103e-05,2.81489741515442e-05
"Pacs1",0.514,1000,0.11839470080223,-0.0321036208719079,0.799965711451328,0.846524562382357
"Adamts3",0.652,1000,0.902095412028014,-34.9831228331404,6.03280017896324e-17,2.68124452398366e-16
"Foxp2",0.6205,1000,0.748534006342136,-19.9044987995483,2.80051998485534e-10,1.00018570887691e-09
"Rabep1",0.5,1000,0.0205288133646729,-0.881085995286753,0.184353831476404,0.237875911582456
"Edn1",0.527,1000,0.227358674229797,0.233360999627394,1,1
"Plekha7",0.449,1000,-0.292521170334175,-10.4818647728894,4.6806132985384e-06,1.06377574966782e-05
"Rab11fip2",0.357,1000,-0.791134569599275,-54.4557697027141,1.69692587649608e-25,1.06057867281005e-24
"Gm39214",0.827966666666667,1000,2.25664894636875,-257.692883297801,4.27009954189996e-114,1.42336651396665e-112
"Ube4a",0.514,1000,0.0138278538552871,0.159124138622587,1,1
"Fbxo42",0.282000000000001,1000,-1.36669796500738,-118.014097277894,2.88912257339376e-53,3.6114032167422e-52
"Plpp3",0.438,1000,-0.418404350377243,-13.7235155569585,1.6145654268954e-07,4.613044076844e-07
"Cyp27a1",0.566,1000,0.44946132988237,-3.78373034688775,0.00594314570740851,0.00974286181542379
