"","AR","N","log2FC","llr_var","pval_var","padj_var"
"Ank2",0.470892767940832,1000,-0.0465054464364736,5.99387146035156,1,1
"Pln",0.645739512328875,1000,0.931278496734227,-12.6155966396736,5.08530267212081e-07,5.08530267212081e-05
"Camk2d",0.473426864399504,1000,-0.180888363693145,112.073463791994,1,1
"Ghr",0.512265088261412,1000,0.0735343002999985,193.932358878356,1,1
"Cdh13",0.502687629445718,1000,0.0672300517141213,228.061273626815,1,1
"Gm35330",0.81998116050616,1000,2.17785402525995,-62.8382559534107,3.61922615356542e-29,7.23845230713084e-27
"Resf1",0.33873431417224,1000,-1.05928317804628,287.110886347627,1,1
"Ppip5k2",0.604051971394618,1000,0.631211980522502,424.492128681999,1,1
"Actc1",0.387720277039782,1000,-0.726861635622106,368.035305672933,1,1
"Atp1a1",0.469595115995116,1000,-0.0940491060822215,821.776507050907,1,1
"Pdlim3",0.245988123662543,1000,-1.42121607420797,168.835801650228,1,1
"Rapgef2",0.527948352962827,1000,0.129645184648862,590.063813776933,1,1
"Pakap",0.484451461620817,1000,-0.129992885163639,647.565575488239,1,1
"Gphn",0.644181551781552,1000,0.831719470456804,617.02666814378,1,1
"Art1",0.359757921245421,1000,-0.766556847036893,609.170205679017,1,1
"Ube2b",0.527949603174603,1000,0.129635280416595,810.227382827876,1,1
"Ralgapa1",0.639555086580087,1000,0.86510701471245,537.808583219695,1,1
"Vps13a",0.482571031746032,1000,-0.0336503894419171,504.796992534574,1,1
"Myom2",0.500167063492064,1000,-0.0441748547956822,105.828229946692,1,1
"Ubr5",0.372116666666667,1000,-0.795079021976992,383.234754569174,1,1
"Dtna",0.434027777777778,1000,-0.411606593878571,383.029737394132,1,1
"Slc24a2",0.722666666666667,1000,1.52818698419283,-1.25610109945387,0.112967968513515,0.376372813234046
"Nfyc",0.506984415584415,1000,0.0800444279320401,334.903350519433,1,1
"Lnpep",0.495183333333333,1000,-0.0528063591746534,199.322643703507,1,1
"Auts2",0.643197619047619,1000,0.653892092617511,63.4984880052783,1,1
"Atcayos",0.515294047619048,1000,0.0700853146059216,270.01618256824,1,1
"Agl",0.527428210678211,1000,0.190763165164784,213.166718893384,1,1
"Aox1",0.841558333333333,1000,2.34272746621782,4.81252698428136,1,1
"Pard3",0.52712619047619,1000,0.168256181081694,254.390781252106,1,1
"Usp28",0.554904761904762,1000,0.332888457924972,94.6564994734316,1,1
"Abhd18",0.459990476190476,1000,-0.197366083330219,109.600722052299,1,1
"Lclat1",0.461455555555556,1000,-0.059286205731514,90.8977493876012,1,1
"Lims1",0.44305,1000,-0.310745754550766,206.651311879525,1,1
"Arih1",0.497111111111111,1000,-0.0241393535854178,191.056548377933,1,1
"Sptan1",0.601928571428571,1000,0.652643533745346,119.569675314538,1,1
"Casq2",0.469866666666667,1000,-0.247273590080415,79.3875036200743,1,1
"Grk5",0.692125,1000,1.13513844938274,29.6649965650182,1,1
"Sema3a",0.68,1000,0.979135480078398,-3.22029660675958,0.0111541392152105,0.376372813234046
"Osbpl9",0.528333333333333,1000,0.149205816677499,61.6796360222537,1,1
"Thrb",0.5294,1000,0.166009951438929,101.621839510653,1,1
"Tnni3",0.423864285714286,1000,-0.395620045451603,214.619683414325,1,1
"Ces1d",0.455616666666667,1000,-0.172092246021916,29.981462640582,1,1
"Mef2a",0.506607142857143,1000,0.018615678167347,101.62101987124,1,1
"Nppb",0.509,1000,0.102120096593609,-3.11782824191471,0.0125203171635098,0.376372813234046
"Vti1a",0.572166666666667,1000,0.404523277534908,88.4155470774876,1,1
"Chpt1",0.409933333333333,1000,-0.520449739166427,38.598021480345,1,1
"Idh3b",0.275747619047619,1000,-1.37024957753201,75.7815800791274,1,1
"Tafa2",0.559,1000,0.309118287836056,-2.79620370977739,0.0180384879959892,0.376372813234046
"Snhg11",0.601583333333333,1000,0.552942664189749,2.48064498903102,1,1
"Irf2",0.375283333333333,1000,-0.697712677367759,46.9401687908194,1,1
"Ppip5k1",0.568166666666667,1000,0.313010030271964,27.5812384895212,1,1
"Dennd4c",0.44755,1000,-0.326423112105276,10.5895083958201,1,1
"Abcd3",0.448697619047619,1000,-0.282129916777947,46.9549005024936,1,1
"Afg3l2",0.4355,1000,-0.379321443674033,47.2681501661503,1,1
"Rapgef4",0.372,1000,-0.841719347026128,-2.35478464935659,0.0299951655510448,0.376372813234046
"Birc6",0.552083333333333,1000,0.330620301889729,86.660901424255,1,1
"Tef",0.490369047619048,1000,0.0848888975865131,35.5899021293441,1,1
"Mpped2",0.34,1000,-0.816858394746046,-2.30264255690531,0.0318735528347584,0.376372813234046
"Fermt2",0.496,1000,0.0207314415840865,-1.95054407735813,0.0482548435901463,0.376372813234046
"Gm9895",0.8,1000,1.8973599578704,-1.87047509392471,0.0530942441255143,0.376372813234046
"Ankhd1",0.535769047619047,1000,0.16056983639061,35.4134792113221,1,1
"Ube2k",0.4506,1000,-0.341487478438632,11.158711138925,1,1
"Cdh8",0.0448571428571428,1000,-4.44170544974092,6.3898041844368e-06,1,1
"Fbxl20",0.522,1000,0.0835477912469563,-2.22227686281099,0.0350127400637754,0.376372813234046
"Miga2",0.493116666666667,1000,-0.0684410561018763,5.15687857860428,1,1
"Gdnf",0.1275,1000,-2.75433653975811,1.82604417204857e-05,1,1
"Tnrc6a",0.627399999999999,1000,0.795670064904743,8.11753736500782,1,1
"Rab7",0.475,1000,-0.0614823277792068,-2.06982083510809,0.0418900358848441,0.376372813234046
"Gm16685",0.6985,1000,1.20038711325318,0.428045083183633,1,1
"Elp4",0.445,1000,-0.34729289264301,-1.91337715373618,0.0504405190099228,0.376372813234046
"Maml3",0.485,1000,-0.127062676643854,-1.78382625137283,0.0589155435132023,0.376372813234046
"Tshz1",0.65525,1000,0.892438185910168,0.618570858915064,1,1
"Adcy9",0.526,1000,0.191064619459463,-1.73564603205466,0.0624425187773127,0.376372813234046
"Slc6a6",0.517,1000,0.122268612823907,-1.52663668544585,0.0805745938388588,0.376372813234046
"Klhl33",0.593,1000,0.570165498793076,-1.7376967912661,0.0622879028480665,0.376372813234046
"Macrod1",0.670500000000001,1000,0.952694285221643,5.5150793016594,1,1
"Cdc73",0.537,1000,0.216562102697035,-1.76912617931362,0.0599686154801965,0.376372813234046
"Lncbate10",0.76,1000,1.51687351087899,-1.69203483941305,0.0658293197594531,0.376372813234046
