"","AR","N","log2FC","llr","pval","padj"
"Ank2",0.470892767940832,1000,-0.0465054464364736,9.3394589397551,1,1
"Pln",0.645739512328875,1000,0.931278496734227,46.0702190933737,1,1
"Camk2d",0.473426864399504,1000,-0.180888363693145,359.114799457903,1,1
"Ghr",0.512265088261412,1000,0.0735343002999985,419.255758852158,1,1
"Cdh13",0.502687629445718,1000,0.0672300517141213,501.236068315393,1,1
"Gm35330",0.81998116050616,1000,2.17785402525995,349.557719520446,1,1
"Resf1",0.33873431417224,1000,-1.05928317804628,20.3718611028787,1,1
"Ppip5k2",0.604051971394618,1000,0.631211980522502,766.651158903865,1,1
"Actc1",0.387720277039782,1000,-0.726861635622106,525.744444972175,1,1
"Atp1a1",0.469595115995116,1000,-0.0940491060822215,690.141349463926,1,1
"Pdlim3",0.245988123662543,1000,-1.42121607420797,29.8983364728756,1,1
"Rapgef2",0.527948352962827,1000,0.129645184648862,513.097894882277,1,1
"Pakap",0.484451461620817,1000,-0.129992885163639,618.368848341636,1,1
"Gphn",0.644181551781552,1000,0.831719470456804,649.674799981608,1,1
"Art1",0.359757921245421,1000,-0.766556847036893,735.248257931052,1,1
"Ube2b",0.527949603174603,1000,0.129635280416595,849.093652661879,1,1
"Ralgapa1",0.639555086580087,1000,0.86510701471245,613.09124702279,1,1
"Vps13a",0.482571031746032,1000,-0.0336503894419171,550.813258305659,1,1
"Myom2",0.500167063492064,1000,-0.0441748547956822,81.2076542699269,1,1
"Ubr5",0.372116666666667,1000,-0.795079021976992,430.216016953612,1,1
"Dtna",0.434027777777778,1000,-0.411606593878571,423.419241528526,1,1
"Slc24a2",0.722666666666667,1000,1.52818698419283,-32.8164362877874,5.43250394867252e-16,6.79062993584065e-15
"Nfyc",0.506984415584415,1000,0.0800444279320401,360.67513344961,1,1
"Lnpep",0.495183333333333,1000,-0.0528063591746534,207.846782309865,1,1
"Auts2",0.643197619047619,1000,0.653892092617511,76.7071856815861,1,1
"Atcayos",0.515294047619048,1000,0.0700853146059216,269.81699879843,1,1
"Agl",0.527428210678211,1000,0.190763165164784,217.252642829286,1,1
"Aox1",0.841558333333333,1000,2.34272746621782,20.2932974459223,1,1
"Pard3",0.52712619047619,1000,0.168256181081694,244.396756036003,1,1
"Usp28",0.554904761904762,1000,0.332888457924972,103.791468012895,1,1
"Abhd18",0.459990476190476,1000,-0.197366083330219,105.839221211897,1,1
"Lclat1",0.461455555555556,1000,-0.059286205731514,92.2375542060712,1,1
"Lims1",0.44305,1000,-0.310745754550766,180.243647093989,1,1
"Arih1",0.497111111111111,1000,-0.0241393535854178,163.414937106022,1,1
"Sptan1",0.601928571428571,1000,0.652643533745346,105.987242620326,1,1
"Casq2",0.469866666666667,1000,-0.247273590080415,71.5003652666688,1,1
"Grk5",0.692125,1000,1.13513844938274,31.3938355300078,1,1
"Sema3a",0.68,1000,0.979135480078398,-1.44205100949148,0.0894578680097682,0.255593908599338
"Osbpl9",0.528333333333333,1000,0.149205816677499,45.0343888369135,1,1
"Thrb",0.5294,1000,0.166009951438929,64.4723477800122,1,1
"Tnni3",0.423864285714286,1000,-0.395620045451603,109.532563396028,1,1
"Ces1d",0.455616666666667,1000,-0.172092246021916,20.3339379949537,1,1
"Mef2a",0.506607142857143,1000,0.018615678167347,38.0121246281101,1,1
"Nppb",0.509,1000,0.102120096593609,-0.644854610888274,0.256101544290805,0.624637912904402
"Vti1a",0.572166666666667,1000,0.404523277534908,15.6189881865829,1,1
"Chpt1",0.409933333333333,1000,-0.520449739166427,-9.37974858583959,1.48283058730979e-05,8.7225328665282e-05
"Idh3b",0.275747619047619,1000,-1.37024957753201,-10.239361731103,6.02978136089983e-06,3.65441294599989e-05
"Tafa2",0.559,1000,0.309118287836056,-3.5074528140758,0.00808338935599579,0.0274013198508332
"Snhg11",0.601583333333333,1000,0.552942664189749,-3.17657770573578,0.0117172705800076,0.0390575686000254
"Irf2",0.375283333333333,1000,-0.697712677367759,-25.9538155900759,5.81738821937268e-13,6.12356654670809e-12
"Ppip5k1",0.568166666666667,1000,0.313010030271964,-17.3063473829466,4.02274295819389e-09,3.21819436655511e-08
"Dennd4c",0.44755,1000,-0.326423112105276,-27.0322438902003,1.94016276659303e-13,2.28254443128591e-12
"Abcd3",0.448697619047619,1000,-0.282129916777947,-36.8745125856124,8.87080818082031e-18,1.47846803013672e-16
"Afg3l2",0.4355,1000,-0.379321443674033,-39.4805372108297,6.3345842942418e-19,1.15174259895305e-17
"Rapgef4",0.372,1000,-0.841719347026128,0.50922784667398,1,1
"Birc6",0.552083333333333,1000,0.330620301889729,-70.9166808510299,1.05759130876965e-32,3.52530436256551e-31
"Tef",0.490369047619048,1000,0.0848888975865131,-35.636312328942,3.11122714844645e-17,4.78650330530223e-16
"Mpped2",0.34,1000,-0.816858394746046,1.28934823902682,1,1
"Fermt2",0.496,1000,0.0207314415840865,-0.165611712445639,0.564939577678731,1
"Gm9895",0.8,1000,1.8973599578704,0.540553148862841,1,1
"Ankhd1",0.535769047619047,1000,0.16056983639061,-52.6364934985705,1.06417038497287e-24,2.3648230777175e-23
"Ube2k",0.4506,1000,-0.341487478438632,-26.0592184658483,5.22520164113132e-13,5.80577960125702e-12
"Cdh8",0.0448571428571428,1000,-4.44170544974092,-351.393529087254,7.40698981372734e-155,3.70349490686367e-153
"Fbxl20",0.522,1000,0.0835477912469563,-0.346527874594017,0.405126947888984,0.890388896459306
"Miga2",0.493116666666667,1000,-0.0684410561018763,-14.3499202747472,8.45106900838803e-08,6.06660412730804e-07
"Gdnf",0.1275,1000,-2.75433653975811,-1191.72240063638,0,0
"Tnrc6a",0.627399999999999,1000,0.795670064904743,-62.3581131753091,5.87190547372338e-29,1.67768727820668e-27
"Rab7",0.475,1000,-0.0614823277792068,-0.136066364044268,0.601904695186315,1
"Gm16685",0.6985,1000,1.20038711325318,-5.77216824591835,0.000679559481147239,0.00247112538598996
"Elp4",0.445,1000,-0.34729289264301,-0.0936776821139347,0.665126900412644,1
"Maml3",0.485,1000,-0.127062676643854,0.146364631731444,1,1
"Tshz1",0.65525,1000,0.892438185910168,-5.98550651993412,0.000540345569178962,0.00211900223207436
"Adcy9",0.526,1000,0.191064619459463,-0.0318464857015215,0.800751481073249,1
"Slc6a6",0.517,1000,0.122268612823907,0.265106455598925,1,1
"Klhl33",0.593,1000,0.570165498793076,0.34172751617632,1,1
"Macrod1",0.670500000000001,1000,0.952694285221643,-62.1843731250384,6.99567931768181e-29,1.74891982942045e-27
"Cdc73",0.537,1000,0.216562102697035,-0.241060706811027,0.487462971569934,1
"Lncbate10",0.76,1000,1.51687351087899,0.814037079643185,1,1
"Sqstm1",0.478,1000,-0.0934946881541905,-2.66481452734126,0.0209658469612133,0.0665582443213121
"Rad51b",0.384,1000,-0.686802799428111,-0.250385331396842,0.479161695248799,0.998253531768331
"Zbed5-ps",0.5565,1000,0.443537541991235,-5.69827766346316,0.000735804179434572,0.00262787206940918
"Tmem182",0.475,1000,-0.115957555377058,-5.91277202966307,0.000584236408121334,0.0022046656910239
"Ambra1",0.532416666666667,1000,0.126228678973346,-33.4106568035241,2.97266679893892e-16,3.96355573191856e-15
"Pdss2",0.5035,1000,-0.0480942882010451,-5.929348042367,0.000573927145106337,0.0022046656910239
"Rock1",0.654666666666667,1000,0.957918411257053,-20.5086592230035,1.50886252379571e-10,1.31205436851801e-09
"Nr1d2",0.575583333333333,1000,0.397421956361872,-46.7751186162204,3.96020180815059e-22,7.92040361630119e-21
"Gm31013",0.406000000000001,1000,-0.542898441154612,-5.46767739995585,0.000943464159987339,0.00331040056135908
"Cdh20",0.352,1000,-0.853361851093604,0.101525298528259,1,1
"Comt",0.585,1000,0.515564375232808,0.692583858530611,1,1
"Auh",0.4635,1000,-0.206597485367648,-6.7741899925586,0.00023249201064059,0.000948946982206489
"Rab3gap1",0.541,1000,0.211906980103029,-0.31640020945315,0.426329958770548,0.91683862101193
"Smim14",0.424,1000,-0.40481623723077,0.501736527040066,1,1
"Gm56984",0.5092,1000,0.0991081450129244,-6.81780974144272,0.000221934625688488,0.000924727607035367
"Xrn1",0.506,1000,-0.0268512196494313,1.10774197092178,1,1
"Osbpl6",0.5575,1000,0.239093440907059,-5.82931208148284,0.000639055856273418,0.0023668735417534
"Kat2b",0.53,1000,0.176792654863992,-0.42418215318969,0.357015479723721,0.83695912094686
"Tmod1",0.5335,1000,0.223036337901875,-6.91153876754186,0.000200853990226691,0.000854697830751878
"Setd2",0.441666666666667,1000,-0.309737554020583,-6.74746841501303,0.000239208021703837,0.000956832086815346
"Il15ra",0.425,1000,-0.476828668871832,0.00726909150898791,1,1
"Atp11a",0.423,1000,-0.429124635591211,0.224654643361532,1,1
"Cipc",0.507,1000,0.0882271830117352,0.231159008782242,1,1
"Apbb2",0.733333333333333,1000,1.39249867725992,-20.6432433949442,1.31474658571543e-10,1.19522416883221e-09
"Galnt17",0.527,1000,0.173416399960902,0.049993762586837,1,1
"Deptor",0.1315,1000,-2.71027072750079,21.4998791067986,1,1
"Sdhb",0.548,1000,0.393957781160016,0.283037192850202,1,1
"Tpp2",0.518,1000,0.0915966407573526,-0.301522961913406,0.437418222415895,0.924721625740165
"Ddx50",0.575,1000,0.43249469635539,0.598251032842882,1,1
"Afg2a",0.462,1000,-0.225376279775269,-0.875996518110583,0.185626376016936,0.488490463202462
"Pparg",0.493,1000,0.0793950748901758,0.95550673559967,1,1
