"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"Ank2",0.470892767940832,0.491941917983085,0.357572060294263,0.312979696022776,0.151149620386674,6.267,1000
"Pln",0.645739512328875,0.655998630840315,0.277082740351006,0.268915244204689,0.217990378833326,5.843,1000
"Camk2d",0.473426864399504,0.468695435276021,0.512438317687726,0.979043793361918,2.24448379629623,4.009,1000
"Ghr",0.512265088261412,0.512739765244708,1.24564217790058,2.54046980507586,6.06980034435573,3.493,1000
"Cdh13",0.502687629445718,0.511647972389806,1.09911147249124,2.48485868549587,6.28554818591513,3.477,1000
"Gm35330",0.81998116050616,0.818997972776278,0.387021750859315,2.02980743166003,6.62761453211763,3.453,1000
"Resf1",0.33873431417224,0.324265165728607,998.999999999999,767.147602649496,12.2565166365386,3.198,1000
"Ppip5k2",0.604051971394618,0.607668606640218,1.51324760407688,8.36466188245485,27.5504571577033,2.921,1000
"Actc1",0.387720277039782,0.376642883995104,5.61777029223374,22.6348561896407,70.1002282493753,2.663,1000
"Atp1a1",0.469595115995116,0.483708301130304,998.999999999999,789.060155781172,96.0169268321739,2.578,1000
"Pdlim3",0.245988123662543,0.271878646673964,998.999999999999,789.70867544631,98.4958836586779,2.571,1000
"Rapgef2",0.527948352962827,0.522450692403138,998.999999999999,813.45986207688,189.284443205118,2.383,1000
"Pakap",0.484451461620817,0.477489177489241,998.999999999999,826.444637094498,238.91855362749,2.31,1000
"Gphn",0.644181551781552,0.640262582056874,7.81494684107714,73.4398815856959,257.879170206316,2.285,1000
"Art1",0.359757921245421,0.370205173951836,132.276729878681,177.738953290145,292.749463108672,2.242,1000
"Ube2b",0.527949603174603,0.522448979590624,998.999999999999,848.960924896866,324.986730670862,2.205,1000
"Ralgapa1",0.639555086580087,0.645575424116977,19.419484304472,105.645682318682,347.064411428755,2.181,1000
"Vps13a",0.482571031746032,0.494169096211797,998.999999999999,888.135972967039,474.732772406555,2.058,1000
"Myom2",0.500167063492064,0.492345679012273,998.999999999999,898.187241436345,513.153597443071,2.025,1000
"Ubr5",0.372116666666667,0.365607665153819,998.999999999999,911.664463046214,564.670077679612,1.983,1000
"Dtna",0.434027777777778,0.429153924566775,998.999999999999,918.698732884941,591.558470080903,1.962,1000
"Slc24a2",0.722666666666667,0.742548817837321,998.999999999999,924.19482064305,612.567184233201,1.946,1000
"Nfyc",0.506984415584415,0.513867085295646,998.999999999999,936.646431371469,660.163282047154,1.911,1000
"Lnpep",0.495183333333333,0.490850376749595,998.999999999999,956.713203442403,736.868221442561,1.858,1000
"Auts2",0.643197619047619,0.611410118405356,998.999999999999,956.713203442403,736.868221442561,1.858,1000
"Atcayos",0.515294047619048,0.512142471667378,998.999999999999,958.68825737816,744.417835895215,1.853,1000
"Agl",0.527428210678211,0.533008658007067,998.999999999999,960.678413844533,752.025179547744,1.848,1000
"Aox1",0.841558333333333,0.835326085982527,2.82194273950892,202.111532038608,764.319585701913,1.84,1000
"Pard3",0.52712619047619,0.529123570822219,998.999999999999,965.111260369897,768.969669816296,1.837,1000
"Usp28",0.554904761904762,0.557430593358737,998.999999999999,965.111260369897,768.969669816296,1.837,1000
"Abhd18",0.459990476190476,0.4658523042754,998.999999999999,979.805109305634,825.136690008521,1.801,1000
"Lclat1",0.461455555555556,0.489727928947949,998.999999999999,979.805109305634,825.136690008521,1.801,1000
