"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Ank2",0.470892767940832,1000,-0.0417386037481193,-4.90228603997775,0.00174078537769665,0.00305400943455552
"Pln",0.645739512328875,1000,0.923299984426017,2.12903062193755,1,1
"Camk2d",0.473426864399504,1000,-0.183214711875789,-4.56029863381104,0.00252747429324262,0.00433933893570229
"Ghr",0.512265088261412,1000,0.0799389250323985,-0.545998988482779,0.29602894542237,0.363225699904748
"Cdh13",0.502687629445718,1000,0.072756342435314,-0.699390894632188,0.236927645316458,0.298022195366614
"Gm35330",0.81998116050616,1000,2.19507008482174,-195.583264240589,4.61236384811416e-87,1.15309096202854e-85
"Resf1",0.33873431417224,1000,-1.0578256714023,-76.9735983917802,2.37831011117453e-35,1.98192509264544e-34
"Ppip5k2",0.604051971394618,1000,0.635617717084848,-9.64449798956616,1.12352001470223e-05,2.46927475758732e-05
"Actc1",0.387720277039782,1000,-0.71958351593797,-39.0750858084866,9.54973321920995e-19,4.54749200914759e-18
"Atp1a1",0.469595115995116,1000,-0.0868472548776943,-5.52045177507171,0.000891234142388942,0.00160582728358368
"Pdlim3",0.245988123662543,1000,-1.43669333376261,-180.500072554473,1.70532071650153e-80,3.41064143300306e-79
"Rapgef2",0.527948352962827,1000,0.130412385224445,-0.0276364141675458,0.814129767915784,0.856978703069246
"Pakap",0.484451461620817,1000,-0.124328135002202,-3.15153093363176,0.0120529612890205,0.0185430173677238
"Gphn",0.644181551781552,1000,0.841096404648939,-34.4240780767041,1.06343976785388e-16,4.83381712660854e-16
"Art1",0.359757921245421,1000,-0.774547778914494,-56.2648718802717,2.73530552269222e-26,1.70956595168264e-25
"Ube2b",0.527949603174603,1000,0.135126038865044,-0.0251477107487972,0.822550013479664,0.856986835594338
"Ralgapa1",0.639555086580087,1000,0.86474017038953,-32.2903266540561,9.26607253068843e-16,4.02872718725584e-15
"Vps13a",0.482571031746032,1000,-0.0323267162853421,-2.97082305248296,0.0147872017779813,0.0222363936510997
"Myom2",0.500167063492064,1000,-0.0470253348258876,-0.970463617243354,0.163567891797203,0.215220910259478
