"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Ank2",0.4816,0.470892767940832,1000,0.2199,0.207625386547649,-0.0417386037481193,-11.585180662333,1.48264946984075e-06,3.33179656143989e-06
"Pln",0.6497,0.645739512328875,1000,0.1681,0.191108276533935,0.923299984426017,-83.2320182908795,4.38028852865196e-38,3.6502404405433e-37
"Camk2d",0.4701,0.473426864399504,1000,0.2391,0.305704957214886,-0.183214711875789,-13.7023730412898,1.65025727532158e-07,4.12564318830394e-07
"Ghr",0.5096,0.512265088261412,1000,0.4853,0.490149409518341,0.0799389250323985,-1.25537120925082,0.113072651026142,0.143129938007775
"Cdh13",0.508,0.502687629445718,1000,0.4187,0.46892517307721,0.072756342435314,-1.47197977323958,0.0861991927190158,0.111947003531189
"Gm35330",0.8188,0.81998116050616,1000,0.359,0.452547083557904,2.19507008482174,-326.70571409557,4.04758266768514e-144,2.02379133384257e-142
"Resf1",0.335,0.33873431417224,1000,2.4481,1.33019103158768,-1.0578256714023,-105.48962996606,8.39887962595249e-48,8.84092592205525e-47
"Ppip5k2",0.6035,0.604051971394618,1000,0.5218,0.744664861531511,0.635617717084848,-14.7166961461212,5.78718457128308e-08,1.50316482370989e-07
"Actc1",0.3856,0.387720277039782,1000,1.1187,1.20254147263285,-0.71958351593797,-52.4800038832057,1.24625965724151e-24,7.55308883176672e-24
"Atp1a1",0.4706,0.469595115995116,1000,1.6497,1.51701053189432,-0.0868472548776943,-8.16892470647826,5.29948441424187e-05,0.000102902609985279
"Pdlim3",0.2455,0.245988123662543,1000,3.5382,2.2445865471064,-1.43669333376261,-197.714524131465,5.44487013776776e-88,1.36121753444194e-86
"Rapgef2",0.5275,0.527948352962827,1000,1.9918,2.02185246779013,0.130412385224445,-0.0057271536350072,0.914769307214904,0.950375348460777
"Pakap",0.4828,0.484451461620817,1000,1.7568,2.13123304698701,-0.124328135002202,-4.82352603555717,0.00189655705023512,0.0031874908407313
"Gphn",0.6444,0.644181551781552,1000,1.4819,2.10445714979986,0.841096404648939,-30.302972143268,6.97231493699271e-15,2.96694252637987e-14
"Art1",0.363,0.359757921245421,1000,1.338,2.19645189907132,-0.774547778914494,-62.2641065253437,6.45547449308979e-29,4.61105320934985e-28
"Ube2b",0.5272,0.527949603174603,1000,1.4817,2.39389557922922,0.135126038865044,-0.0153532617218843,0.860896736485695,0.911001837551
"Ralgapa1",0.6407,0.639555086580087,1000,1.612,2.54759320014713,0.86474017038953,-27.0918124312155,1.82602246812346e-13,7.45315293111615e-13
"Vps13a",0.4833,0.482571031746032,1000,2.4314,3.58092212160206,-0.0323267162853421,-4.68906585286277,0.00219589237394104,0.00365982062323507
"Myom2",0.4993,0.500167063492064,1000,9.9362,6.694485460189,-0.0470253348258876,-1.85087846314593,0.0543552047837301,0.0754933399774029
"Ubr5",0.3711,0.372116666666667,1000,2.6454,4.31863894427602,-0.790484447899743,-52.3953072180464,1.35748854737149e-24,7.98522674924408e-24
"Dtna",0.433,0.434027777777778,1000,2.8799,4.63200875365506,-0.410742482588045,-19.4497462911016,4.46196571839257e-10,1.46293957980084e-09
"Slc24a2",0.7195,0.722666666666667,1000,28.0546,14.3770590826611,1.52984602837122,-81.9047118077511,1.66492362624373e-37,1.33193890099499e-36
"Nfyc",0.5072,0.506984415584415,1000,3.3694,5.45550611463478,0.0771031526199172,-1.06611463168178,0.144230860772602,0.180288575965753
"Lnpep",0.4959,0.495183333333333,1000,5.2431,7.00039488298349,-0.0558532347335164,-2.30243679808075,0.0318812035087701,0.0462046427663335
"Auts2",0.6407,0.643197619047619,1000,13.1225,9.99257209817337,0.650624745227158,-26.3304138938041,3.96419349980541e-13,1.58567739992216e-12
"Atcayos",0.5144,0.515294047619048,1000,3.9485,6.59807642381173,0.0671141958585372,-0.478688673106944,0.32784853923464,0.381219231668186
"Agl",0.5294,0.527428210678211,1000,4.9846,7.082871327796,0.19285475675112,0.00044154020872611,1,1
"Aox1",0.8403,0.841558333333333,1000,15.9744,11.4067207200823,2.3437372423337,-225.249097718146,5.61946022439466e-100,1.87315340813155e-98
"Pard3",0.5281,0.52712619047619,1000,4.1458,6.97270948971897,0.165284614550403,-0.00481042135788812,0.921864088006954,0.950375348460777
"Usp28",0.5553,0.554904761904762,1000,9.8543,9.14049429984555,0.340378946993534,-1.45510310097006,0.0880206201763938,0.112846948944095
"Abhd18",0.4611,0.459990476190476,1000,8.5471,9.39880637697623,-0.194798033185837,-9.51069318116686,1.2926155032048e-05,2.72129579622063e-05
"Lclat1",0.4617,0.461455555555556,1000,10.2635,10.0506038453307,-0.057908578028001,-9.34533791437775,1.53732403940504e-05,3.20275841542718e-05
"Lims1",0.441,0.44305,1000,4.7296,7.99386387135926,-0.31109428897609,-15.9896678643131,1.55821345824091e-08,4.57224640940855e-08
"Arih1",0.4963,0.497111111111111,1000,5.2111,8.3125952729713,-0.0273886681141246,-2.24740136922048,0.0339980359452127,0.0489180373312412
"Sptan1",0.6006,0.601928571428571,1000,7.4401,9.34414943429532,0.64924325205342,-10.5176948567823,4.50877816714961e-06,9.80169166771654e-06
"Casq2",0.4692,0.469866666666667,1000,10.7239,10.7568569812682,-0.241281078698722,-7.34471847986879,0.000126754724238645,0.000236924718203074
"Grk5",0.6921,0.692125,1000,20.0806,14.4063037097067,1.14152976221554,-56.5031169475386,2.15097510340289e-26,1.38772587316315e-25
"Sema3a",0.6766,0.68,1000,32.3416,19.4338650572392,0.976660873912693,-48.0498256956921,1.09244034459844e-22,6.06911302554686e-22
"Osbpl9",0.5293,0.528333333333333,1000,13.6559,12.7795647436406,0.149205816677501,-1.60570616571931e-05,0.995478466297418,1
"Thrb",0.5289,0.5294,1000,8.7742,10.9791679867476,0.162870243908362,-0.00018647867659638,0.984592128293596,1
"Tnni3",0.4238,0.423864285714286,1000,4.2653,9.48373010830399,-0.397550072550002,-22.5496265473727,1.87296822607323e-11,6.68917223597582e-11
"Ces1d",0.4523,0.455616666666667,1000,45.2269,25.1213797528832,-0.170516391096377,-10.8866613814062,3.06837009837563e-06,6.74367054588051e-06
"Mef2a",0.506,0.506607142857143,1000,8.6129,11.9045784832403,0.0169133829363461,-1.10804595625336,0.136578399481247,0.171796728907229
"Nppb",0.5,0.509,1000,50,27.8912901120584,0.10224076429905,-0.62783559994034,0.26247206667606,0.31061783038587
"Vti1a",0.5718,0.572166666666667,1000,9.2382,12.9094912851018,0.406520087598854,-3.66964666651893,0.00674633550542696,0.0107084690562333
"Chpt1",0.4104,0.409933333333333,1000,17.4574,16.3529937027869,-0.521277547559809,-28.6879789477591,3.59980824196481e-14,1.49992010081867e-13
"Idh3b",0.2742,0.275747619047619,1000,8.3217,13.8345280862055,-1.36781053208059,-135.44385697214,7.26836993420478e-61,1.21139498903413e-59
"Tafa2",0.5571,0.559,1000,44.2904,28.2583939555789,0.307509034974396,-1.82861901454976,0.055826105331245,0.0770015245948207
"Snhg11",0.6003,0.601583333333333,1000,39.9727,27.0004617367298,0.547719982482666,-10.9086632399673,2.99879837351796e-06,6.66399638559546e-06
"Irf2",0.3761,0.375283333333333,1000,13.9106,17.456506522663,-0.697161278308861,-47.9744701912542,1.17884924620929e-22,6.37215808761777e-22
"Ppip5k1",0.5705,0.568166666666667,1000,42.946,28.522385261476,0.319084544681647,-3.01036289640751,0.0141388309655829,0.0219206681636945
"Dennd4c",0.4467,0.44755,1000,44.6725,29.6637942848475,-0.324790180362307,-13.4451814281655,2.15329926577337e-07,5.25194942871553e-07
"Abcd3",0.4428,0.448697619047619,1000,44.2836,29.8904669417587,-0.278442950697625,-12.9738222191676,3.50803227748786e-07,8.35245780354253e-07
"Afg3l2",0.4354,0.4355,1000,13.4165,18.3378447296807,-0.381429106636026,-17.7825416209992,2.46669624225567e-09,7.70842575704897e-09
"Rapgef4",0.374,0.372,1000,37.3975,27.6152265357217,-0.836603401803806,-50.449514827939,9.67939439934527e-24,5.53108251391158e-23
"Birc6",0.5523,0.552083333333333,1000,8.0448,16.5976759417814,0.330620301889729,-1.00904386361424,0.155434781362071,0.191894791805026
"Tef",0.4987,0.490369047619048,1000,49.8725,32.6986263006274,0.0830956157634624,-2.77319895589301,0.0185187595479473,0.0282729153403776
"Mpped2",0.3428,0.34,1000,34.2838,27.3092060579005,-0.815400390538185,-73.0348766249818,1.25340683008027e-33,9.64159100061749e-33
"Fermt2",0.5,0.496,1000,50,34.2347818404691,0.0207043937645341,-2.14859149847541,0.0381755570384263,0.0541497262956401
"Gm9895",0.7968,0.8,1000,20.3171,22.9627944986969,1.8973599578704,-162.005779040999,1.93692924694801e-72,3.52168953990547e-71
"Ankhd1",0.5398,0.535769047619047,1000,46.0204,32.8164529906388,0.164571766948105,-0.0525108117968784,0.745884736690729,0.807224325267307
"Ube2k",0.4501,0.4506,1000,45.0084,32.4787069673129,-0.341939236707974,-12.5319825432575,5.54596341048995e-07,1.28975893267208e-06
"Cdh8",0.044,0.0448571428571428,1000,4e-04,15.6208294511848,-4.43176264649335,-532.686923147607,1.1086412863791e-233,2.2172825727582e-231
"Fbxl20",0.5172,0.522,1000,48.2762,34.0944182994843,0.0874628412503397,-0.052169934251765,0.746682500872259,0.807224325267307
"Miga2",0.5,0.493116666666667,1000,50,34.8433229474367,-0.0665831098812935,-2.47027943155479,0.0262335531964279,0.0388645232539672
"Gdnf",0.1291,0.1275,1000,0.0031,16.5708524615472,-2.75323398331096,-311.798981832342,1.23372049992542e-137,4.93488199970169e-136
"Tnrc6a",0.6267,0.627399999999999,1000,37.3305,30.793739782942,0.794155424302751,-19.7508174528701,3.27784880367429e-10,1.09261626789143e-09
"Rab7",0.4769,0.475,1000,47.6867,34.7264739601572,-0.0595208114459219,-5.83884494224833,0.000632540231937575,0.00112953612845995
"Gm16685",0.6964,0.6985,1000,30.3639,28.5327647472575,1.19581932573754,-60.3523737237595,4.43454085336214e-28,3.05830403680147e-27
"Elp4",0.4462,0.445,1000,44.6185,34.3320125855171,-0.347292892643009,-14.302909418346,8.87151912786015e-08,2.27474849432312e-07
"Maml3",0.4971,0.485,1000,49.7119,36.702612539585,-0.121438127449975,-3.61943910646471,0.00713415397545516,0.0112348881503231
"Tshz1",0.654,0.65525,1000,34.6018,31.2654033815841,0.898051792373697,-33.1295741907473,3.95368474151385e-16,1.83892313558784e-15
"Adcy9",0.5244,0.526,1000,47.5605,36.3925723619584,0.187370135901722,-0.0102626547636646,0.886079658233371,0.932715429719338
"Slc6a6",0.5079,0.517,1000,49.2105,37.1764231937615,0.124498542117886,-0.110849564610248,0.637748305804754,0.704694260557739
"Klhl33",0.591,0.593,1000,40.8991,34.179544335767,0.5668565637625,-8.39039935088476,4.195570211523e-05,8.22660825788824e-05
"Macrod1",0.6695,0.670500000000001,1000,33.0532,31.4697714235686,0.954102290051159,-41.4181610398481,8.91369157739964e-20,4.57112388584597e-19
"Cdc73",0.5354,0.537,1000,46.4598,36.6153696751268,0.212867619139294,-0.124750406520434,0.617426789825818,0.686029766473132
"Lncbate10",0.7571,0.76,1000,24.29,28.3608651122062,1.51687351087899,-114.700015504355,8.05724451869912e-52,1.07429926915988e-50
"Sqstm1",0.4819,0.478,1000,48.1909,37.4922491424317,-0.0934946881541893,-5.21274441341234,0.0012428795648764,0.00212458045278017
"Rad51b",0.3855,0.384,1000,38.55,33.8311478766089,-0.682597503843286,-42.7121055930435,2.4075464420638e-20,1.26712970634937e-19
"Zbed5-ps",0.556,0.5565,1000,44.3971,36.1621366862922,0.441808728074485,-1.56076532289865,0.0772641749072055,0.100998921447327
"Tmem182",0.4761,0.475,1000,47.6145,37.6621981522571,-0.115957555377057,-5.86099787841204,0.000617656790983357,0.00111289511888893
"Ambra1",0.533,0.532416666666667,1000,46.7023,37.4836425627147,0.12832409697554,-0.0208437554863394,0.838216593196593,0.891719779996376
"Pdss2",0.5,0.5035,1000,50,38.7919744566622,-0.0501334334746443,-1.30082882419424,0.106752007110533,0.135989817975201
"Rock1",0.654,0.654666666666667,1000,34.6026,33.3373731363392,0.956483277905498,-32.483764319921,7.61424929272778e-16,3.46102240578535e-15
"Nr1d2",0.5773,0.575583333333333,1000,42.2669,36.3038448901266,0.397421956361872,-4.30588101434614,0.00333999028783973,0.00543087851681258
