"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Ank2",0.470892767940832,1000,-1663.99013670186,-1662.89668673884,-1.09344996302457,0.139189212389682,0.535343124575702
"Pln",0.645739512328875,1000,-1556.15173766325,-1555.92377800197,-0.227959661274554,0.499537283990077,0.640852288464821
"Camk2d",0.473426864399504,1000,-1389.74641701386,-1387.96402235247,-1.78239466138893,0.059017229153174,0.310616995543021
"Ghr",0.512265088261412,1000,-1327.91993145632,-1327.84596741873,-0.0739640375848012,0.70052327929349,0.800598033478274
"Cdh13",0.502687629445718,1000,-1317.81710053817,-1317.6940695153,-0.12303102287342,0.619861663992375,0.72076937673532
"Gm35330",0.81998116050616,1000,-953.068626055831,-951.795500813307,-1.27312524252386,0.110556348923805,0.442225395695219
"Resf1",0.33873431417224,1000,-1093.4388804608,-1018.03743166345,-75.4014487973521,1.1573599430406e-34,2.31471988608119e-32
"Ppip5k2",0.604051971394618,1000,-1194.93307293368,-1190.24189825601,-4.69117467767137,0.00219084598957889,0.0257746587009281
"Actc1",0.387720277039782,1000,-1093.34815576018,-1093.42732077808,0.0791650178930468,1,1
"Atp1a1",0.469595115995116,1000,-1078.14405391706,-1076.65804119236,-1.48601272469546,0.0847157259055372,0.387312047886928
"Pdlim3",0.245988123662543,1000,-791.441124545692,-771.313159680282,-20.1279648654097,2.22778129915251e-10,7.42593766384171e-09
"Rapgef2",0.527948352962827,1000,-995.471373827645,-995.444766358643,-0.0266074690019877,0.817560590486624,0.91860740504115
"Pakap",0.484451461620817,1000,-1007.46253585706,-1006.65710404942,-0.80543180764721,0.204370446896606,0.578969283358501
"Gphn",0.644181551781552,1000,-984.313165473574,-980.777706764,-3.53545870957464,0.00783451297373097,0.0652876081144248
"Art1",0.359757921245421,1000,-1000.66476881062,-993.420424748064,-7.24434406255739,0.000141003730718308,0.00225184861286257
"Ube2b",0.527949603174603,1000,-1048.73547870739,-1041.5263106487,-7.20916805868569,0.000146370159836067,0.00225184861286257
"Ralgapa1",0.639555086580087,1000,-966.889074913108,-961.38270341562,-5.50637149748843,0.000904876396907568,0.0120650186254342
"Vps13a",0.482571031746032,1000,-962.263590641701,-958.588430185728,-3.6751604559729,0.00670507864549236,0.0583050316999336
"Myom2",0.500167063492064,1000,-817.018043150244,-808.54509876651,-8.47294438373399,3.84605200132221e-05,0.000699282182058584
"Ubr5",0.372116666666667,1000,-893.148356791496,-888.5843074294,-4.56404936209515,0.0025171317327097,0.0279681303634411
"Dtna",0.434027777777778,1000,-913.585352295116,-909.179764187071,-4.40558810804498,0.00299390971233665,0.0315148390772279
"Slc24a2",0.722666666666667,1000,-629.395981726012,-609.067226374614,-20.3287553513982,1.81388706624086e-10,7.25554826496342e-09
"Nfyc",0.506984415584415,1000,-904.641639190933,-900.496732094308,-4.14490709662596,0.00398680678464468,0.0398680678464468
"Lnpep",0.495183333333333,1000,-844.197630040878,-843.151545199388,-1.04608484149014,0.14805566952731,0.5587006397257
"Auts2",0.643197619047619,1000,-736.363705818177,-733.945354171455,-2.4183516467225,0.0278601067115398,0.16884913158509
"Atcayos",0.515294047619048,1000,-877.551136943835,-873.597659031812,-3.953477912023,0.00492450693775462,0.0469000660738535
"Agl",0.527428210678211,1000,-852.291782415078,-850.634036138315,-1.65774627676308,0.068629751975797,0.334779277930717
"Aox1",0.841558333333333,1000,-474.237742233354,-471.695483299774,-2.54225893358011,0.0241403879255007,0.157935830599365
"Pard3",0.52712619047619,1000,-872.659645641652,-868.792752774929,-3.86689286672367,0.00541969975915494,0.0492699978104995
"Usp28",0.554904761904762,1000,-787.269947206405,-786.936252182402,-0.333695024002509,0.413963037601328,0.578969283358501
"Abhd18",0.459990476190476,1000,-795.064240336724,-795.064490166073,0.000249829348831554,1,1
"Lclat1",0.461455555555556,1000,-783.729961145263,-783.636792223318,-0.0931689219446525,0.665982238464074,0.765496825820775
"Lims1",0.44305,1000,-841.638260854595,-838.291855325915,-3.34640552868075,0.00968024481326707,0.0774419585061365
"Arih1",0.497111111111111,1000,-844.136302526182,-841.542561932257,-2.59374059392542,0.0227501661678712,0.156897697709457
"Sptan1",0.601928571428571,1000,-783.470013299461,-783.065114258089,-0.404899041372687,0.368179954320507,0.578969283358501
"Casq2",0.469866666666667,1000,-776.773419828602,-776.743062256065,-0.0303575725370138,0.805369174234757,0.910021665801985
"Grk5",0.692125,1000,-668.795212805288,-666.647523152062,-2.14768965322639,0.0382160705755288,0.218377546145879
"Sema3a",0.68,1000,-646.915494696468,-638.416485896125,-8.49900880034306,3.74188666508176e-05,0.000699282182058584
"Osbpl9",0.528333333333333,1000,-767.141805361376,-766.93726495115,-0.204540410226059,0.522436413617153,0.648989333685904
"Thrb",0.5294,1000,-791.020292260871,-790.675190416077,-0.345101844794044,0.406095106980243,0.578969283358501
"Tnni3",0.423864285714286,1000,-845.605120001252,-839.070172511857,-6.53494748939443,0.000300079958554069,0.00428685655077241
"Ces1d",0.455616666666667,1000,-741.606918337856,-738.748862152692,-2.85805618516429,0.0168099105532379,0.120070789665985
"Mef2a",0.506607142857143,1000,-790.752107018618,-789.946399213058,-0.80570780556036,0.204292924934771,0.578969283358501
"Nppb",0.509,1000,-711.172328145519,-702.144165996066,-9.02816214945346,2.1446504900244e-05,0.0005361626225061
"Vti1a",0.572166666666667,1000,-771.845064564088,-771.073466955727,-0.771597608360594,0.214142829484554,0.578969283358501
"Chpt1",0.409933333333333,1000,-730.61475043871,-730.445904313827,-0.168846124883203,0.561164337615627,0.684346753189789
"Idh3b",0.275747619047619,1000,-668.534065480963,-667.067784539845,-1.4662809411185,0.0868096380064135,0.387312047886928
"Tafa2",0.559,1000,-699.432318615205,-694.487729856386,-4.94458875881878,0.0016625366291075,0.0207817078638437
"Snhg11",0.601583333333333,1000,-691.058948639045,-688.09549778406,-2.9634508549841,0.0149114366226746,0.114703358635959
"Irf2",0.375283333333333,1000,-719.520572308057,-719.323519300226,-0.197053007830959,0.530148963388662,0.650594120329594
"Ppip5k1",0.568166666666667,1000,-727.393321177848,-727.421351638648,0.0280304608005508,1,1
"Dennd4c",0.44755,1000,-715.614072289219,-713.783183908184,-1.83088838103436,0.0556742319666634,0.300941794414397
"Abcd3",0.448697619047619,1000,-749.985069118876,-752.39000629588,2.40493717700349,1,1
