"","AR","N","log2FC","llr","pval","padj"
"Mrpl24",0.106333333333333,3000,-3.09218362489542,74.3256153047429,1,1
"1810062O18Rik",0.203333333333334,3000,-1.99094149722212,-0.656132711109194,0.251984897640806,0.789987312253084
"Pfdn1",0.310666666666667,3000,-1.14256623647855,-0.449614652320861,0.342988446966455,0.907376843826602
"Tmem234",0.383666666666667,3000,-0.671245259689351,-0.567064665564203,0.28689625598304,0.82492410350079
"Cfdp1",0.627833333333334,3000,0.75738580912866,-13.9765599979391,1.24290392315803e-07,1.05330840945596e-06
"Ces1d",0.609922222222222,3000,0.676193104446584,359.850438670132,1,1
"B3gntl1",0.753333333333335,3000,1.61800940165553,-21.1880815071788,7.53022339555143e-11,7.45566672826874e-10
"Tef",0.793261111111111,3000,1.8929140528392,-52.1570461021647,1.72656637388424e-24,2.80742499818576e-23
"Dnajb9",0.897,3000,3.12274688257276,82.8691441927507,1,1
"Usp28",0.0971710678210678,3000,-3.20382997031002,-58.4584279220194,2.99357772224989e-27,5.20622212565198e-26
"Pan2",0.210333333333333,3000,-1.95102262121734,-0.0293433655231183,0.808583785856619,1
"Cdc5l",0.284,3000,-1.31308854825568,-0.363312030848419,0.393979654976775,0.964454479747307
"Ppp4r1",0.401833333333332,3000,-0.592248854799649,-3.12339186434451,0.012441902006232,0.0734035516591861
"Marchf7",0.464666666666667,3000,-0.192875374860578,-0.760865668743463,0.217357678180077,0.725467579799148
"Tbc1d22bos",0.592333333333334,3000,0.509769522306707,-1.91905117947522,0.0501001938096121,0.245589185341236
"Gm56730",0.690888888888889,3000,1.12898644072008,79.1436053724292,1,1
"Bcas2",0.795666666666667,3000,1.96051609688371,-0.227204449771079,0.500248640362973,1
"Pex26",0.929333333333334,3000,3.69268695230703,95.7837743532561,1,1
"Galnt7",0.102666666666667,3000,-3.15226983931636,101.556673075815,1,1
"Klhl33",0.207666666666667,3000,-1.9688673827451,-0.556148173008069,0.291583318113721,0.82744076115021
"Them4",0.291666666666666,3000,-1.29584103504297,-2.70682339081645,0.0199799343575873,0.110999635319929
"Macrod1",0.393455555555556,3000,-0.643756632915388,73.1780664444072,1,1
"Plekhg1",0.495,3000,-0.0313365513276231,-0.199715999450746,0.527382742119442,1
"Daglb",0.605333333333333,3000,0.613761258180984,-0.800284461544379,0.205822604674514,0.704871933816828
"Leprotl1",0.710333333333333,3000,1.30134376273127,-0.0795611718597229,0.68996584206975,1
"Gm35330",0.800519067628278,3000,1.94587086342164,-15.841814734928,1.81445235277641e-08,1.59863643416424e-07
"Aldh6a1",0.896333333333333,3000,3.12245098346254,227.047235432789,1,1
"Mthfsl",0.139666666666668,3000,-2.60177486917199,16.1200541092282,1,1
"Ddit3",0.189666666666666,3000,-2.06129941007403,-0.612742412926764,0.268286932342335,0.813219162749623
"Rexo4",0.355333333333333,3000,-0.843315063046445,-0.0658405200740617,0.71669540686212,1
"Rmnd5a",0.422166666666667,3000,-0.444525675301502,0.286298823864399,1,1
"Hdgf",0.505333333333334,3000,0.045661550770175,-0.65783203318415,0.251371700236244,0.789987312253084
"Zw10",0.598333333333333,3000,0.567314634901732,-0.235192209202523,0.492810371258688,1
"Rnf157",0.705333333333333,3000,1.25474739240021,-0.0435841638548027,0.767808387057235,1
"Dis3l",0.800333333333333,3000,2.01465779912742,0.184187265529999,1,1
"Arhgef18",0.851333333333334,3000,2.52739721318734,56.4858425135901,1,1
"Rimoc1",0.113,3000,-3.02031665694287,135.300052326071,1,1
"Zmym5",0.184999999999999,3000,-2.17595266103225,127.964846464252,1,1
