"","AR","N","log2FC","llr_var","pval_var","padj_var"
"Mrpl24",0.106333333333333,3000,-3.09218362489542,0,1,1
"1810062O18Rik",0.203333333333334,3000,-1.99094149722212,0.352843923301407,1,1
"Pfdn1",0.310666666666667,3000,-1.14256623647855,0.0120235490403502,1,1
"Tmem234",0.383666666666667,3000,-0.671245259689351,0.00804673707034453,1,1
"Cfdp1",0.627833333333334,3000,0.75738580912866,0.0287940633565995,1,1
"Ces1d",0.609922222222222,3000,0.676193104446584,0.965245584279273,1,1
"B3gntl1",0.753333333333335,3000,1.61800940165553,0.32801342699986,1,1
"Tef",0.793261111111111,3000,1.8929140528392,1.40216963801322,1,1
"Dnajb9",0.897,3000,3.12274688257276,0,1,1
"Usp28",0.0971710678210678,3000,-3.20382997031002,0,1,1
"Pan2",0.210333333333333,3000,-1.95102262121734,0.010697348915528,1,1
"Cdc5l",0.284,3000,-1.31308854825568,0.0148849506936131,1,1
"Ppp4r1",0.401833333333332,3000,-0.592248854799649,-0.00243286114391594,0.944388879984682,1
"Marchf7",0.464666666666667,3000,-0.192875374860578,0.011698199908551,1,1
"Tbc1d22bos",0.592333333333334,3000,0.509769522306707,0.0186187948461338,1,1
"Gm56730",0.690888888888889,3000,1.12898644072008,-9.6099405778923,1.16493825625745e-05,0.000310650201668654
"Bcas2",0.795666666666667,3000,1.96051609688371,0.00799114970686787,1,1
"Pex26",0.929333333333334,3000,3.69268695230703,0,1,1
"Galnt7",0.102666666666667,3000,-3.15226983931636,0,1,1
"Klhl33",0.207666666666667,3000,-1.9688673827451,1.79154958885556,1,1
"Them4",0.291666666666666,3000,-1.29584103504297,0.011301259999982,1,1
"Macrod1",0.393455555555556,3000,-0.643756632915388,0.00134356155422211,1,1
"Plekhg1",0.495,3000,-0.0313365513276231,0.0142786429892112,1,1
"Daglb",0.605333333333333,3000,0.613761258180984,0.00480646953747055,1,1
"Leprotl1",0.710333333333333,3000,1.30134376273127,0.00960079893366128,1,1
"Gm35330",0.800519067628278,3000,1.94587086342164,-14.0238492985222,1.18361785494121e-07,3.81812211271356e-06
"Aldh6a1",0.896333333333333,3000,3.12245098346254,0,1,1
"Mthfsl",0.139666666666668,3000,-2.60177486917199,-75.9346160091354,6.76715925874334e-35,3.38357962937167e-33
"Ddit3",0.189666666666666,3000,-2.06129941007403,-0.927545070513133,0.173192539537015,1
"Rexo4",0.355333333333333,3000,-0.843315063046445,0.0062344347375074,1,1
"Rmnd5a",0.422166666666667,3000,-0.444525675301502,-0.0191870224161903,0.844693961498741,1
"Hdgf",0.505333333333334,3000,0.045661550770175,0.0044856269128104,1,1
"Zw10",0.598333333333333,3000,0.567314634901732,0.00642307404814346,1,1
"Rnf157",0.705333333333333,3000,1.25474739240021,0.0164211007781887,1,1
"Dis3l",0.800333333333333,3000,2.01465779912742,-0.0742215374716579,0.700027673663016,1
"Arhgef18",0.851333333333334,3000,2.52739721318734,-109.092903143213,2.24963879011676e-49,1.3233169353628e-47
"Rimoc1",0.113,3000,-3.02031665694287,0,1,1
"Zmym5",0.184999999999999,3000,-2.17595266103225,267.886317980732,1,1
"Rhbdl3",0.324666666666667,3000,-1.05519687119333,-8.65377367996325,3.17921625576116e-05,0.000794804063940291
"Mto1",0.401666666666666,3000,-0.573802483432787,0.0103374796808566,1,1
"Fbxw4",0.468333333333333,3000,-0.196837403025151,-0.0175982333803404,0.851184570675788,1
"Gm10138",0.614,3000,0.688187770725988,-0.0171411573442128,0.853107589219893,1
"Atp6v1d",0.765,3000,1.70281085182079,0.388812805083489,1,1
"Atf1",0.802666666666666,3000,1.97079561883167,0.685965070667862,1,1
"Dnajc13",0.89,3000,3.01878714707488,0,1,1
"Maf",0.0969999999999997,3000,-3.19802121639804,0,1,1
"Fam20b",0.195,3000,-2.0122556548429,-0.0775482127387477,0.693711844050809,1
"Msrb2",0.232666666666669,3000,-1.7364084614924,0.368456634134873,1,1
"Kdm5a",0.411333333333334,3000,-0.506769935361567,-0.0133450170601463,0.870226454070166,1
"Fkbp9",0.486833333333333,3000,-0.103785146552272,-0.0480170179844208,0.756641878879554,1
"Rapgef4",0.746,3000,1.56090003269908,-0.00272805009262811,0.941117471962901,1
"Nolc1",0.701333333333333,3000,1.24592598363592,0.0167575711793688,1,1
"Tpd52",0.795666666666667,3000,1.97760547806316,0.0010507161687201,1,1
"Macrod1_rep1",0.899377777777778,3000,3.22645130952386,0,1,1
"Gm15943",0.0964999999999999,3000,-3.2726139815646,0,1,1
"B230369F24Rik",0.204666666666667,3000,-1.98328025664149,0.51861867806474,1,1
"Galnt7_rep1",0.418333333333333,3000,-0.486443167501735,-0.109387603110008,0.639974738543507,1
"Usp20",0.409666666666667,3000,-0.502322416740231,0.0170352449777056,1,1
"Ufl1",0.519833333333333,3000,0.0863577879637597,-0.0219522903607867,0.834031240598577,1
"Marchf7_rep1",0.589666666666667,3000,0.53918152374023,0.0100882067254133,1,1
"Atp1a1",0.731582602752997,3000,1.4518374174818,14.8640698279792,1,1
"Ltbp1",0.811166666666667,3000,2.08214195265745,-0.90985201949934,0.177348509836717,1
"Frmd5",0.909,3000,3.29333567322808,0,1,1
"Galc",0.0653333333333321,3000,-3.86609871293026,0,1,1
"Tsc1",0.431666666666663,3000,-0.407301850499239,0.0183326701016995,1,1
"Btbd10",0.312333333333333,3000,-1.16359539850563,0.0175033143495966,1,1
"Slc25a42",0.399,3000,-0.587669246432381,0.013718147200052,1,1
"Atp1b3",0.517666666666666,3000,0.11356914275893,0.00353655117442031,1,1
"Rexo4_rep1",0.656666666666667,3000,0.90105228625256,0.00669797809769079,1,1
"Plekha7",0.753166666666667,3000,1.59567752640678,0.0344601985416375,1,1
"Actr1a",0.872833333333334,3000,2.79946323719883,-106.558550179761,2.86963141443548e-48,1.63978937967741e-46
"Gm11734",0.833905555555557,3000,2.31856908279745,298.519181358072,1,1
"Stk38",0.0969999999999998,3000,-3.16402625583464,0,1,1
"Atp2b1",0.206,3000,-1.94924197512668,0.408086253610236,1,1
"Gm26862",0.286185485810486,3000,-1.35118833302809,36.8592903400604,1,1
"Gcnt2",0.350666666666667,3000,-0.898818505853036,0.00950846643263503,1,1
"Recql5",0.507333333333334,3000,0.0389712315128322,0.0139743719241778,1,1
"Sema3a",0.589666666666667,3000,0.494701026118143,-0.00746009953718385,0.902781596687567,1
"Senp8",0.695333333333333,3000,1.179287104646,0.0112421554313187,1,1
"Fbxl20",0.666888888888889,3000,1.07800251200127,-0.0219307034108169,0.834111677283756,1
"Kat2b",0.895833333333333,3000,3.18840873987379,0,1,1
"Hsd17b11",0.0980000000000001,3000,-3.26041452620805,0,1,1
"Comt",0.183555555555556,3000,-2.15075885443659,-0.201951756481776,0.525080174677272,1
"Arid5a",0.310666666666667,3000,-1.11880475538842,0.012441884366126,1,1
"Actr10",0.413333333333333,3000,-0.500649248001435,0.0137812067255254,1,1
"Polr3b",0.494666666666666,3000,-0.00248241249814996,0.0178127302679059,1,1
"Tef_rep1",0.593063492063492,3000,0.570060924488365,0.0156935748436808,1,1
"Gm15489",0.703666666666667,3000,1.26254210245386,0.00929881589036086,1,1
"Rcc2",0.794,3000,1.95426545962076,0.00713125003494497,1,1
"Rbm28",0.897666666666667,3000,3.13419478842592,0,1,1
"Rnf122",0.108,3000,-3.05475523102213,0,1,1
"Rimoc1_rep1",0.197666666666667,3000,-1.97780028240218,0.0166960209921854,1,1
"Gm26881",0.303333333333333,3000,-1.2114708169684,-3.87604951809499,0.00536501489517575,0.106237918716351
"Blm",0.399333333333333,3000,-0.567146825560795,0.0125847973340569,1,1
"Hivep2",0.498999843674844,3000,-0.0153864794022643,0.748254026620089,1,1
"Hectd1",0.512,3000,0.0585521823551127,-0.00985926348766952,0.888326045199295,1
"Pitpnb",0.706,3000,1.28544039398208,0.00979797019590478,1,1
"Atp6v1a",0.661999999999999,3000,0.957007907153699,0.0112468648435424,1,1
"Ikzf2",0.898333333333333,3000,3.03952836418664,-429.135237759455,1.15759776629788e-188,2.31519553259576e-186
"Parp2",0.0736666666666666,3000,-3.68003075815069,0,1,1
"Cdc73",0.199,3000,-1.99540076542819,1.77947768807371,1,1
"Rpf2",0.0900000000000001,3000,-3.30200843286363,0,1,1
"Atf1_rep1",0.428666666666667,3000,-0.432218025584531,-0.00675459019157643,0.907471054025235,1
"Auts2",0.49854126984127,3000,0.000544310529335096,0.605459954221715,1,1
"Enox1",0.532277777777777,3000,0.156801228423019,-0.0284726312443127,0.81139089897074,1
"Hmgxb3",0.699666666666667,3000,1.21485546884828,0.00694846611577304,1,1
"Chchd7",0.797666666666667,3000,1.96633377811413,0.314567003540105,1,1
"Ets2",0.909666666666667,3000,3.2725968386849,0,1,1
"Lncbate10",0.0983333333333333,3000,-3.15314504694915,0,1,1
"Cdk10",0.260666666666667,3000,-1.51776602735021,0.00472949886898277,1,1
"Msl1",0.298333333333333,3000,-1.2316041070621,0.0041739214957488,1,1
"Plin2",0.593666666666667,3000,0.563519788744528,-0.0157701591042496,0.859040312595664,1
"Dapk2",0.518911111111111,3000,0.0729541878067218,1.20746209636582,1,1
"Nr6a1",0.595,3000,0.536108733172003,-0.00121753345592879,0.960643244951205,1
"Atf1_rep2",0.613333333333333,3000,0.661652541023962,-0.00689182874612015,0.906540055258721,1
"Synpo2",0.80427245743315,3000,2.04230785915461,1.18264478256697,1,1
"Stard5",0.900333333333333,3000,3.20590429854788,0,1,1
"Arpc5",0.0996666666666668,3000,-3.20652601587743,0,1,1
"Add1",0.189666666666667,3000,-2.08825574868491,0.14738112742225,1,1
"Rexo4_rep2",0.308,3000,-1.18494488833508,0.00642686088485789,1,1
"Dcaf13",0.392333333333333,3000,-0.636125936758908,0.00476265739052906,1,1
"Usp50",0.496333333333334,3000,-0.042718619957935,0.0154012399325438,1,1
"Gm56730_rep1",0.609794444444444,3000,0.653763182726804,-6.00163233612238,0.00053107437967834,0.0119342557231088
"Tdp2",0.698111111111111,3000,1.20284963988317,-0.0411091588093768,0.774313423702849,1
"Tbcd",0.738333333333336,3000,1.52443693538691,0.010473001056198,1,1
"Rab7",0.897333333333333,3000,3.13943940188768,-518.503250732348,1.62379383609937e-227,6.49517534439749e-225
"Slc41a3",0.107333333333333,3000,-3.11492361225547,0,1,1
"Impa1",0.206666666666666,3000,-1.97571696353694,0.374235312724977,1,1
"Macrod1_rep2",0.232222222222222,3000,-1.79808488431325,0.0551178105938561,1,1
"Rab30",0.39958700409896,3000,-0.629572085062722,0.534847282623105,1,1
"Pias1",0.506666666666667,3000,0.0144850116495054,-0.0170772394485539,0.853378609920909,1
"Csde1",0.610583333333333,3000,0.69657163705215,0.0114145402312715,1,1
"Ctdspl",0.695666666666667,3000,1.19143425534435,0.0155481360334306,1,1
"Eif1",0.887666666666667,3000,2.94316270898334,0,1,1
"Ndel1",0.900333333333333,3000,3.15750574218824,0,1,1
"Tnpo3",0.103,3000,-3.11071761684184,0,1,1
"Galnt17",0.194111111111111,3000,-1.99811781442202,0.0344442796472322,1,1
"Gss",0.294833333333334,3000,-1.28054574962336,-0.0191375155950482,0.844891906556812,1
"4930412C18Rik",0.405888888888889,3000,-0.5594995199299,-11.1699076138316,2.28421248439533e-06,6.52632138398664e-05
"Vps35l",0.424333333333333,3000,-0.43531916252049,0.0131283846590122,1,1
"Atg4c",0.627333333333334,3000,0.715260632075619,0.0161495752049632,1,1
"Hnrnph3",0.702166666666667,3000,1.19534220910912,0.288419569812959,1,1
"Adgrl4",0.803666666666667,3000,2.10698933844755,-0.0363145114442887,0.787546693939589,1
"Atg4d",0.905666666666667,3000,3.27351096583666,0,1,1
"Ube2b",0.151097441447441,3000,-2.43533915364281,30.1669660255325,1,1
"Eif2d",0.210166666666667,3000,-1.92844673897497,-0.0151612743416081,0.861760381766777,1
"Hmgcs1",0.298,3000,-1.25574050297458,0.0147360157611729,1,1
"Heatr6",0.391333333333333,3000,-0.645280370582274,0.00913118438393212,1,1
"Polk",0.502833333333333,3000,0.0065914222751634,-0.0175605443132554,0.851342151728403,1
"Srpra",0.608333333333334,3000,0.645027683985169,0.00217172049542569,1,1
"Cyb5a",0.699833333333333,3000,1.20063600464167,-5.20371320996537,0.00125509537934988,0.0267041570074442
"Nipsnap2",0.835624086099086,3000,2.25711220119964,21.8724723417276,1,1
"Fyttd1",0.892666666666666,3000,3.07719145969085,0,1,1
"Pafah1b1",0.100854497354498,3000,-3.0477138899235,8.87847585216787,1,1
"Lrrc28",0.197,3000,-1.99402609895537,0.484427077211421,1,1
"Dpy30",0.320333333333333,3000,-1.09788120657959,0.00702387529236148,1,1
"Cpt2",0.403333333333334,3000,-0.517009472380122,0.0157831396518304,1,1
"Echdc3",0.460333333333333,3000,-0.225108850383927,0.00737061110385184,1,1
"Eif3h",0.604666666666667,3000,0.582729966775867,-0.00901522745607508,0.893183121223026,1
"Slc9a8",0.694000000000001,3000,1.19325010837311,0.0160276535589219,1,1
"Ube2e1",0.702666666666667,3000,1.29188576405881,0.0150016371794663,1,1
"Pam",0.89481752677866,3000,3.16103633089268,-1.32141503927778,0.104018099259252,1
"D830024N08Rik",0.108194444444444,3000,-2.9857861407803,476.981344944944,1,1
"Atxn7",0.193,3000,-2.07980267881655,-0.0592944811842244,0.730569940947118,1
"Rgs5",0.389611111111111,3000,-0.604650835643268,-0.0807793161011432,0.687725557549083,1
"Eno1",0.397,3000,-0.649611140657993,0.0142643783506173,1,1
"Far1",0.512,3000,0.083247246962392,0.0109645524657935,1,1
"Plin2_rep1",0.583333333333333,3000,0.497152370793299,-0.00853170665004654,0.896070382304103,1
"Dync2h1",0.713,3000,1.29157950329086,0.0118818743139855,1,1
"Fkbp9_rep1",0.806,3000,2.03257035494764,-0.10088726228787,0.653292297535352,1
"Ndufb2",0.895,3000,3.11393075458466,0,1,1
"Clk2",0.102666666666667,3000,-3.12841627312743,0,1,1
"Spta1",0.199333333333333,3000,-2.02315923834781,-0.557864344697009,0.290840040089614,1
"Lncbate10_rep1",0.283333333333333,3000,-1.33488828449375,-0.0316782742993382,0.801267339045853,1
"Nod1",0.402166666666667,3000,-0.584587043323881,-0.0428963731669683,0.769595540303972,1
"Ipo9",0.495333333333333,3000,0.008017467603889,0.00516684598005668,1,1
"Usp19",0.607,3000,0.63394935188033,0.00297499689077085,1,1
"Pfdn1_rep1",0.696666666666667,3000,1.19422174864529,0.0114975353831142,1,1
"Miga2",0.832333333333333,3000,2.33082052179193,-0.308534510643767,0.432138545790999,1
"Gse1",0.9025,3000,3.15757535062852,0,1,1
"Coa7",0.0983333333333333,3000,-3.18160680648995,0,1,1
"Manea",0.183833333333333,3000,-2.17704240631146,-0.0976844911506305,0.658485127509232,1
"Mindy3",0.275666666666667,3000,-1.37643147945087,0.0167892537242551,1,1
"Xpot",0.393,3000,-0.646861945724286,0.00783698900204399,1,1
"Ndufb2_rep1",0.497666666666666,3000,0.02078248327565,0.0173657356299373,1,1
"Cyp39a1",0.604,3000,0.600650071340532,0.00851814876932622,1,1
"Cyp39a1_rep1",0.654166666666666,3000,0.918359356354091,-0.0127837269265001,0.872961218459678,1
"Ipo9_rep1",0.799333333333333,3000,1.97022992106622,0.238004151035511,1,1
"Metap1",0.904,3000,3.21947297000449,0,1,1
"Fkbp1a",0.106,3000,-3.04727237732319,0,1,1
"Aftph",0.516166666666666,3000,0.147882143706169,0.0325612189781168,1,1
"Stam2",0.392,3000,-0.661646357199527,0.0159347369208263,1,1
"Rnf217",0.401333333333333,3000,-0.555447654857623,0.00583519271140176,1,1
"Atf1_rep3",0.482666666666667,3000,-0.0493277123635686,-0.00786482378862274,0.900192724362978,1
"Fam114a2",0.598666666666667,3000,0.554494978167445,0.00470109874868285,1,1
"Farp1",0.699666666666667,3000,1.26046046216997,-0.0125540217400157,0.874098137046713,1
"Gm16793",0.791333333333333,3000,1.93141291474259,0.352914276093088,1,1
"Zfp386",0.903666666666667,3000,3.23370898468076,0,1,1
"Birc6",0.094422222222222,3000,-3.2373807039993,0,1,1
"Slc9a8_rep1",0.258333333333334,3000,-1.53120501643355,0.016232470329669,1,1
"Kcnv2",0.423244444444445,3000,-0.445271417733457,-10.8112693960188,3.31928315682093e-06,9.22023099116925e-05
