"","AR","N","log2FC","llr","pval"
"Malat1",0.46693863338515,8520,-0.22041923034681,-826.655563978005,0
"Ttn",0.49888008939224,7543,0.00575647172492033,-85.851386391194,3.14249435370858e-39
"Ryr2",0.459925990330637,7484,-0.21801863411677,-141.421573688185,1.80316735516953e-63
"Myh6",0.570343689788913,7302,0.448032611791402,-188.200381940558,7.56103416913886e-84
"Slc8a1",0.523925205904541,7893,0.155442803375073,-193.206087493585,4.9998877844925e-86
"Fhl2",0.563342031261074,7331,0.410425007428352,-2222.70265318907,0
"Cacna1c",0.581199616950002,7608,0.441111680099126,-8.06600912852809,5.90767859642683e-05
"Sorbs1",0.502093525428765,7526,-0.00808794454969775,-18.2109448949886,1.58908478168354e-09
"Rbm20",0.54430179315159,7128,0.240215011823688,-31.5388725226912,1.98706589686247e-15
"Atp2a2",0.523115172392815,7742,0.165333932239852,0.482440709820366,1
"Pdlim5",0.537574572422501,8093,0.246155246302119,2.88619505863971,1
"Pcdh7",0.583124856224344,7657,0.455062191017471,-9.99132050166372,7.81484092755548e-06
"Fhod3",0.619760736119187,7136,0.719159851302559,-8.3310125117805,4.46662524982623e-05
"Cacnb2",0.532075286582483,7221,0.176434785352249,-125.590234116322,1.4357847539628e-56
"Neat1",0.543326464434539,8142,0.23646120300371,-23.1246387303818,1.04124938987665e-11
"D830005E20Rik",0.41718578745303,6989,-0.489631982089755,-52.90107565986,8.14770953603726e-25
"Cdh2",0.495911180118001,7046,-0.0454254511157988,-145.025709000425,4.84565847492795e-65
"Ablim1",0.480470024174287,7734,-0.0932955946273841,12.8388308091999,1
"Sorbs2",0.477919256472916,7089,-0.138582505392931,-8.96227185147291,2.29837942813989e-05
"Lama2",0.343855560404228,7972,-1.04843485814479,-155.663733436908,1.12213970711149e-69
"Lncpint",0.458828056039862,8167,-0.30194479858433,7.26537054297842,1
"Myocd",0.469910459858008,6860,-0.194530808301353,-408.782768480918,8.1855626176619e-180
"Palld",0.472363104200056,7085,-0.180496072548654,2.5136085627546,1
"Trdn",0.492553071419312,6987,-0.066729645143369,-20.5664202882035,1.4222642411901e-10
"Limch1",0.473492679144826,7410,-0.179267532612475,8.91842251694834,1
"Zbtb16",0.484431811541345,7961,-0.0854513699926231,-9.02347508499406,2.15523619812403e-05
"Myom1",0.51739006846525,6991,0.101731606927641,-26.805074243437,2.44493171661593e-13
"Celf2",0.588318940170566,8037,0.498530194046349,-41.1721084341243,1.14335516053273e-19
"Actn2",0.510053119787649,6856,0.0790709611396376,6.70922620675628,1
"Lmo7",0.49994781581056,7266,0.0202094993383923,1.13353953688784,1
"Ank2",0.492291756851105,7771,-0.0583215383237563,-1.19842583027275,0.121579715547194
"Pln",0.589167528787911,6819,0.479130215214713,-7.28803231355414,0.000134613585192842
"Gpcpd1",0.505727124338795,7255,0.0479371291156456,-383.592574538321,7.3584660667226e-169
"Ckmt2",0.468392023496871,6796,-0.198644717540354,-38.4454590957484,1.80666008787076e-18
"Mlip",0.482641555221744,6863,-0.103268753499809,9.01291220585153,1
"Cd36",0.508824798862813,7405,0.0666067269872568,13.6658062483766,1
"Dlc1",0.493271217937735,7657,-0.0241557853547445,1.4154921585523,1
"Pde4b",0.459859389470783,7302,-0.226180290954904,-17.2091681441361,4.4451572606971e-09
"Grm1",0.992055681732366,5882,6.80418993996226,-19.2269455093042,5.60626944018273e-10
"Ptprm",0.449712084892223,7977,-0.276703829116699,16.7525525913024,1
"Ldb3",0.501696529133268,6924,0.0265023022802804,-19.4930420951914,4.26837299688176e-10
"Mir99ahg",0.468241619131342,7910,-0.186587847373414,5.57855084804214,1
"Mhrt",0.553831011055097,6921,0.308198494470938,-38.4369558036688,1.82228475307509e-18
"Ppargc1a",0.545899670572347,5825,0.293826931737686,-682.588492071327,7.75554858087249e-299
"Adk",0.479925314615612,7560,-0.0549978941920837,3.31341824228002,1
"Arhgap26",0.487642916482351,7472,-0.0822110944874002,21.9616231439995,1
"Mbnl2",0.510414847166342,7965,0.0245751681027939,38.8471475724091,1
"Mast2",0.480196675968539,7436,-0.105845087629924,20.7298229281932,1
"Cpeb3",0.559264843874659,6951,0.329890175121675,-0.932017986695428,0.172159712864622
"Acyp2",0.428381359899962,7386,-0.407162232406825,22.33251005895,1
"Kcnd2",0.669126830176002,5652,0.709217602287783,-270.181539960435,1.5719737390897e-119
"Akap6",0.511838425272278,6923,0.077201938814822,20.6390552551929,1
"Sptbn1",0.486230453388714,8112,-0.0642301657261792,-13.8369219283159,1.43591172892733e-07
